region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4866624206366416e6,0.0,0.0,0.0,95067.81130835862,5.130767120334372e-5,0.0,0.0,1.4866624206366416e6,5.6797387599999994e7,-5.5310725179363355e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5926660097003863e6,0.0,0.0,0.0,251539.79398544854,0.19368942699670225,0.0,0.0,3.5926660097003863e6,1.295391149e8,-1.2594644889029962e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66012.9777221647,0.0,0.0,0.0,4783.536835383344,0.0030702263392258494,0.0,0.0,66012.9777221647,3.3676233e6,-3.301610322277835e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5691810412263258e6,0.0,0.0,0.0,115659.89243079862,0.08284297711270552,0.0,0.0,1.5691810412263258e6,4.30715296e7,-4.1502348558773674e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328902.5515183298,0.0,0.0,0.0,20505.317910707272,0.015311182524716986,0.0,0.0,328902.5515183298,1.4608994600000001e7,-1.4280092048481671e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792686.178802913,0.0,0.0,0.0,42932.25604533666,-1.1350330186339108e-6,0.0,0.0,792686.178802913,3.0430972e7,-2.9638285821197085e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2674496248843677e6,0.0,0.0,0.0,98242.52161758747,-1.5688276988359042e-6,0.0,0.0,1.2674496248843677e6,8.02164678e7,-7.894901817511563e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,3.894827399662784e7,0.0,0.0,7.4880641301451465e6,0.0,0.0,1.8744371656309067,0.0,0.0,1.2429119388641787e6,0.0,0.0,0.0,105493.52826482618,0.0,9.90454339647551e-7,0.0,1.2429119388641787e6,4.6436340001211144e7,-4.5193428062346965e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,6.940971281371947e7,0.0,0.0,11.314836011980695,75.83928123556441,0.0,10.193597934271036,0.0,0.0,0.8331425421675561,0.0,0.0,0.0,896430.0485466246,0.0,2.4992255205990133e-13,0.0,0.8331425421675561,6.940981016143464e7,-6.940980932829209e7
