Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,258128.64062040165,0.0,0.0,258128.64062040165
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,1.0538788209779952e6,0.0,1.0538788209779952e6
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,19324.208485046067,0.0,19324.208485046067
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,502199.0985459421,0.0,502199.0985459421
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,83080.8679974795,0.0,83080.8679974795
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,191068.86618141958,191068.86618141958
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,396693.9989587434,396693.9989587434
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,324537.8731619463,0.0,0.0,324537.8731619463
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,2.757756871631475e6,0.0,0.0,2.757756871631475e6
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,7.789872196672337e6,0.0,0.0,7.789872196672337e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,1.3335180285127073,0.0,0.0,1.3335180285127073
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.7916662509429828,0.0,0.0,0.7916662509429828
NENG_Rest,NENG_Rest_nuclear_1,1,1,2.486271291274932e6,0.0,0.0,2.486271291274932e6
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,0.20423714804405707,0.0,0.20423714804405707
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,0.23110203531486376,0.0,0.23110203531486376
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,0.23154247756219556,0.0,0.23154247756219556
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,0.4113903435833382,0.0,0.4113903435833382
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,94316.0855870893,0.0,94316.0855870893
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,0.10618980287865686,0.0,0.10618980287865686
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.0,864696.3178661246,0.0,864696.3178661246
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0,0.18967622867495335,0.0,0.18967622867495335
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0,2.129208961751188e6,0.0,2.129208961751188e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.0,220806.88934613988,0.0,220806.88934613988
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0,71762.23904143141,0.0,71762.23904143141
