Constraint,CapRes_1,CapRes_2,CapRes_3
t1,8.503520343815614e-11,5.61284622336687e-11,1.0873662592846616e-11
t2,8.333968334421312e-11,5.527114868295282e-11,8.852399557347155e-12
t3,8.13502533443003e-11,4.856999967175945e-11,8.503977687338809e-12
t4,8.227039461258834e-11,4.735185284299376e-11,8.385981777151318e-12
t5,7.335368631477145e-11,4.8042608884040364e-11,8.161639960559921e-12
t6,6.346590422213517e-11,9.396627142208308e-11,2.3656700330456817e-11
t7,6.651427463041431e-11,5.340291714986427e-11,1.1161289289292781e-11
t8,6.580774481264584e-11,5.7345589513491404e-11,4.381890647041767e-12
t9,6.846516200128311e-11,6.045197966287256e-11,1.1799499952110302e-11
t10,7.237796164672443e-11,6.155071723343289e-11,1.444210336295699e-12
t11,7.531679585364456e-11,6.321132689246593e-11,1.7317249048162862e-11
t12,7.78433491248954e-11,6.292410996190573e-11,8.267519656405125e-12
t13,7.863953932648463e-11,6.105413717274871e-11,9.438413775192056e-12
t14,8.90529705407312e-11,6.749176028594198e-11,9.802621103850945e-12
t15,8.599452246687367e-11,6.015461339903122e-11,1.0189079968907725e-11
t16,8.993489883594637e-11,6.218164621436427e-11,9.789315450229631e-12
t17,1.1331092152401172e-10,6.788909003776276e-11,1.1150494325051353e-11
t18,1.0866530749358327e-10,7.544202737726436e-11,1.148339096962279e-11
t19,1.0140206977942341e-10,7.798458182110815e-11,1.5458218253991474e-11
t20,1.0548373421446856e-10,1.273945607571186e-10,1.743265210904578e-11
t21,8.713770619566173e-11,9.656118774364642e-11,2.3009563518571365e-11
t22,9.9762109727944e-11,8.142176435091359e-11,1.5598203177529516e-11
t23,1.2114221627101505e-10,7.722575669571163e-11,1.5139633164100885e-11
t24,8.979654323609202e-11,7.769859826038257e-11,1.4186100957037244e-11
t25,7.790437194823124e-11,7.481498386699106e-11,1.1437622012127382e-11
t26,7.341759315007966e-11,7.470298184030473e-11,1.1538814662004005e-11
t27,7.315234646979904e-11,6.599598129812157e-11,7.608367101620545e-12
t28,9.530501594485932e-11,1.0442048368184667e-10,1.3320118948882257e-11
t29,9.583415205155478e-11,6.924227578789554e-11,1.1331465240727306e-11
t30,1.25783267934169e-10,7.451835066973892e-11,7.823036815955936e-12
t31,8.005926789881425e-11,7.598886033595634e-11,1.1446093813741553e-11
t32,8.86417038719125e-11,8.445806876865601e-11,1.3291328595080652e-11
t33,9.602667662371856e-11,1.2258842524829284e-10,1.3309148677843888e-11
t34,1.2135058320096648e-10,1.353965951066104e-10,1.161966328337188e-11
t35,1.2304413810822107e-10,1.395230994785192e-10,1.6547790304229062e-11
t36,1.102266946425176e-10,1.4272727922562377e-10,1.4773287816453142e-11
t37,1.0112056531370589e-10,1.0026572114971053e-10,1.5977092991245707e-11
t38,9.813830564956539e-11,1.4052867083600324e-10,1.4747538145091274e-11
t39,1.1365249695836349e-10,9.66759979916816e-11,1.8368854856668707e-11
t40,1.3766069099593398e-10,1.0016666737192664e-10,1.518531887222728e-11
t41,1.5166238616891032e-10,1.0276370041612406e-10,1.6655663656385456e-11
t42,1.6181789486454488e-10,1.3230334976251273e-10,1.751128964078867e-11
t43,1.8556022672519914e-10,1.549723304987923e-10,1.9823514556778846e-11
t44,1.2175739599309146e-10,1.6430448850921768e-10,1.99938546934662e-11
t45,1.219157898183604e-10,1.205937864750671e-10,1.9553925570676335e-11
t46,1.5835015859415026e-10,1.1533764338161952e-10,2.080328358225214e-11
t47,1.5766690842175448e-10,1.0612764205170677e-10,2.411969520449795e-11
