Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0
t1,5483.758984166809,0.0031260158318073975,12372.676289721068,0.0018601530867767755,0.0014854930965716607,34695.86592601725,0.002228247013532177,0.0015596648091736312,308.6977734318289,0.002381952942684516,0.0,0.0012620701923553843,0.0017363325351723343,0.004769929903134713,0.0021034200533470676,27917.982742061136,0.002248624422921566,0.0026038667003767386,23813.460467317687,0.0034348946305608366,0.0,5173.241330077307,0.0014365160816433387,0.001000844084384345,0.0013140554550422937,0.05451836305916546,3297.115419698946,0.0014021467124768728,0.002356388725923519,0.004104775166904267,539.4966862473275,0.0014338836978130345,0.0021103018352718154,0.0,0.003194675655092479,72501.81819838868,0.0013752309109418893,0.0017038591100505388,0.002036824478277885,0.0018367723556151456,75975.21444996329,0.004040467852168741,317942.65610687854,0.0018279756061107871,108963.26052414587,0.0013742854398435343,0.0018106038714260128,0.0010337501520857678,0.0011258931328142255,30658.097697440127,0.003329195845912908,0.002097888086601192,0.0009802155838023467,0.0009171258525238313,0.003024157887982746,0.0013803656110221371,0.0009824122995447772,0.0006671662083124349,0.009751011420313148,0.0014912943767606194,0.0009193407249161065,0.0008785604932571266,0.006244065104088379,0.002064288105290529,0.0012052461320774881,0.0008784016019752303,0.0053087532166270456,0.0019297952051089665,0.0008860563623977991,0.0007624920720949362,31777.97726766405,0.002329090104433795,0.0013421223291571454,0.000985534117031707,0.00556470386493591,0.001745178723437723,0.0012240368285969334,0.0007577756958109077,0.0036231405067026165,0.0021690824131814558,0.0009717093030053828,0.0007528225793718998,0.002291046639715104,0.0017637487623102417,0.0009393545574731884,0.0008230608174577764,0.005367847203598308,0.0024182379700804614,0.0010339202856046714,0.0008891777444047681,0.000854553142050934,0.07945509523473943,0.002153767271035238,0.0011770076016091628,0.0008752668673965885
t2,5483.758963866269,0.002967445991756149,5109.919126637368,0.0017350203363134644,0.0014685458619425758,34695.86589101654,0.002114418906464018,0.0013916475304312807,308.69763881530025,0.0023279097246352155,0.0,0.001250827222012823,0.0017257763221531681,0.0038865840681927243,0.0019403521461997342,27917.982711085773,0.0019394781339446582,0.002564907437119359,23813.45928501319,0.003360241092506773,0.0,5173.2409828318805,0.0014019080170134947,0.0009868575935352629,0.0012313594220396229,0.04605738597256178,1454.0512152609037,0.0013887115238384417,0.002206761861621294,0.0035784062383684818,539.4928851677294,0.0014121337482601761,0.002028723543693056,0.0,0.0029972053049674304,72501.81714307892,0.0013497673598182197,0.0016393769149219007,0.001980571758547819,0.0017365509659251312,75975.21440844452,0.004014351241833779,317942.6560473054,0.0017982422857782576,86698.35594721057,0.0013670598073581121,0.001793410859523892,0.0010266622489104248,0.0011154058658372022,30658.097691795767,0.0031148270207727448,0.001956452780335751,0.0009727341364235737,0.0008990193964166289,0.002920041526779339,0.0012546020982322251,0.000975228758487547,0.0006581436095983266,0.009617668433699477,0.0013448398866230274,0.0009127349097155953,0.0008625860625407219,0.006084118587126535,0.0018053563470934958,0.001193742146860186,0.0008576528778894875,0.005149641296395693,0.0017038848125597746,0.0008787016598426336,0.0007473337153179474,31777.977085431146,0.0020422373052321435,0.0013302348590454828,0.0009627414610523203,0.005418251217495777,0.0015358724274216911,0.001213535440382394,0.0007446226074036425,0.0035007443640271635,0.0018870847122755706,0.0009640491358534338,0.00073968944512791,0.0021775321608819456,0.0014943444106370054,0.0009312132250549941,0.0008047928569050137,0.005216458647933953,0.00195058571223045,0.0010242025414755667,0.0008656824226730139,0.0008449070606757952,0.07938448972853308,0.0021404605284899474,0.0011707630126048271,0.0008658853210007089
t3,5483.758970103237,0.002956839645809649,5109.918377864905,0.001739759750600594,0.0014785116917881852,34695.86589485289,0.0020966853877154917,0.0013937757531419972,308.6976373904348,0.002313132734013024,0.0,0.001250775704664502,0.001723180513069022,0.0037112297980579335,0.0019308021833561733,27917.982712482168,0.0019122866939028543,0.002542935558637812,23813.458954264155,0.003359716053839622,0.0,5173.240999323229,0.0014017753653159514,0.000987700181021502,0.0012340942003862155,0.045331631611868546,1454.043841956853,0.0013851821657625868,0.002220505651734288,0.00355874108671718,539.4932477703592,0.0014109561797167268,0.0020366083387396727,0.0,0.002968116503884817,72501.81715103914,0.0013434219982476178,0.0016321713969768771,0.0019681120673234733,0.0017330091198898305,75975.21440799034,0.004011568278454372,317942.65599316836,0.0017807991234434588,78789.81803677385,0.001365707007399339,0.001779042120757872,0.001020948590166081,0.0011059994014453094,30658.09768604965,0.003078432175630208,0.001960038797117994,0.0009703985307483378,0.0008988418780623575,0.0029033780157667476,0.001253420882394282,0.0009721964711912759,0.0006560221318555412,0.009607917595168306,0.0013445095942676,0.0009096775416087867,0.0008585964710052905,0.006077386799512056,0.001807447409953048,0.0011890755472883383,0.0008524166978031851,0.005135462953551452,0.001705022217949346,0.0008754844059184102,0.0007431048231291084,31777.977067588952,0.002033074678239661,0.0013255654373047646,0.0009580284277783234,0.005416586406855385,0.0015415480594537492,0.0012099974258555826,0.000742856476405918,0.00349425199571386,0.0018969366803200719,0.0009612508045948975,0.0007380683311636822,0.002162806311126271,0.001499401132333387,0.0009285570803991207,0.0008026514490579809,0.005202850971312608,0.001946306115174281,0.0010205501292873001,0.0008598664438948794,0.0008382803730313189,0.07935599753464632,0.0021395049747665006,0.00116820399891219,0.000860174094953047
t4,5483.758964054023,0.002950725942522552,5109.917093919506,0.0017130695039795905,0.0014804589566709938,34695.865881358266,0.0020438893881370586,0.0013435259313241206,308.6975237796442,0.002267298148103841,0.0,0.001243811765894323,0.0017158004166540539,0.0033348852111123044,0.001876575958478717,27917.982692778798,0.0018381013573731506,0.0025042664327651525,23813.41450622134,0.0033333713831366933,0.0,5173.2403594598845,0.0013868449214223314,0.0009815199643365888,0.0012048467697088315,0.03543965773388845,1454.0301865083702,0.0013767746030144716,0.0021782607242236784,0.0034696678543250023,236.8429852874402,0.0014031920423720795,0.002020695406932898,0.0,0.0029018987213827174,72501.81357986097,0.0013310221426395925,0.0016088350671451233,0.001941350813085834,0.0017096151634493839,75975.21439083933,0.004001019040558357,317942.6559370143,0.0017648556705129582,83297.95800490354,0.001365703540980593,0.001765133141924876,0.0010160106373743984,0.001096675023535705,30658.09767979431,0.0029337101326582142,0.001928801043475742,0.0009680014048908691,0.0008937785856170474,0.002827252288181938,0.001209755951322743,0.0009685485314318083,0.0006499846678168135,0.00945689985104288,0.0012831037209008966,0.0009054855906552696,0.0008462900179879181,0.005935279790959948,0.0017343648809098706,0.0011826686149484862,0.0008396469316205027,0.005026448921039726,0.0016516159542622087,0.0008718636557967279,0.0007340191738874902,31777.9769174108,0.001972854969131132,0.0013202206271084528,0.0009480358035956202,0.005296420864095396,0.0014790257321645333,0.0012045745688898575,0.0007359066093466382,0.003399001256236765,0.0018225653152401625,0.0009574855193626382,0.0007312286051126281,0.0021113579421354273,0.001451775270124403,0.0009258098048135751,0.0007965172486726247,0.005117528610601925,0.0018695064497306988,0.0010165998420726464,0.0008496611762941229,0.0008322816007532835,0.07933651549473716,0.0021429648623488857,0.0011673749934737905,0.0008554248812848043
t5,5483.758968995442,0.0029850442049491233,5109.917153161679,0.0017200041110229283,0.0014933275177254584,34695.86588743023,0.0020298717791491804,0.0013436799267316844,308.6975186783872,0.0022429411550965177,0.0,0.0012439216192420613,0.0017163142072998962,0.003311631190234266,0.0018724288093537533,27917.982690599525,0.0018284341219490022,0.002466541292789068,23813.415376739697,0.0033363534098037207,0.0,5173.240370274795,0.001386098039341228,0.0009819531483834327,0.0012047004857201917,0.03544944258192591,1454.0302498135034,0.0013744462815633146,0.0021874295556451526,0.0034784049599603257,236.84294561829796,0.0014010272328406107,0.002024849578411541,0.0,0.002879100996930773,72501.81316160747,0.0013239604956450392,0.0015989975860635822,0.0019247231913744898,0.0017081279567812784,75975.21438948083,0.003999470583372497,317942.6558780481,0.001748827736757023,97899.52191153064,0.001365609563176972,0.001748530004628619,0.0010112684327945579,0.0010865783482771536,30658.097672726333,0.002932983793949754,0.001936205948089872,0.0009699662234267289,0.0008968393844161838,0.002825413470551231,0.0012125710179424418,0.0009687277688195678,0.000647325479860705,0.00945722226934245,0.0012847344678745649,0.000905532837715115,0.000842153334048874,0.005924708678336728,0.0017313980847890034,0.0011815867054779294,0.0008337614892839169,0.005015453707266095,0.0016495381397628284,0.000870992841346966,0.0007282180447744794,31777.976915880896,0.001973880820284525,0.0013203905983044098,0.0009460774690024161,0.005289655878765188,0.0014793226496903234,0.0012046447053193552,0.0007344732192238808,0.0033925081878960015,0.0018266939553169374,0.0009578609960626671,0.0007302060770859049,0.002102987530169413,0.0014531430777270265,0.0009258776350686156,0.0007948559323800359,0.005105090037343691,0.0018631347919901185,0.0010161559981229943,0.0008450887680442818,0.0008258617326325893,0.0793254869174347,0.0021438305595712225,0.0011678460305366931,0.0008503622546925335
t6,5483.758976323422,0.0030413347102204048,5109.918019872964,0.0017454472192459112,0.0015132411797125,34695.865907090745,0.0020263757668187517,0.0013448564598165119,308.697515121505,0.0022221155025726534,0.0,0.001245525265862044,0.0017232650850752447,0.0035117109605637465,0.0018897802841950021,27917.98269027365,0.0018411099110880076,0.002420295859308499,23813.45483787694,0.003349914933132431,0.0,5173.240629427535,0.0013908388436698275,0.0009834457197541416,0.0012109098115323244,0.03599523553204645,1454.0306144723206,0.0013746130497323263,0.0022089700871376753,0.0035204919731753608,236.84286089654597,0.0013986520379769616,0.002027640359424089,0.0,0.0028693682375636105,72501.81346289093,0.001317100289481025,0.00158992076022369,0.001908051204930833,0.0017099714163408904,75975.21439032046,0.004002322948759756,317942.6558214482,0.001745321333441575,118279.11550606956,0.0013652489383607013,0.0017316707768526137,0.001006050390431323,0.0010754129471251008,30658.09766489933,0.0030736050538884927,0.0019646491237459798,0.00097676376719019,0.0009075519063855748,0.0028488697215710906,0.0012160225079386046,0.0009723277684476119,0.0006457823800063976,0.009507066402106976,0.001302004376917308,0.0009095382779978455,0.0008418722158862489,0.005958783118860141,0.0017430722490024985,0.001185673427644844,0.0008314080798939412,0.005014884985933395,0.0016432144383197154,0.0008725664622205278,0.0007229570514446776,31777.976956697355,0.001991014264566397,0.0013264178611605364,0.0009499321139359408,0.005322223819282357,0.001494403338629071,0.0012105120478026158,0.0007368038207171027,0.0034274569222413655,0.0018498367833142894,0.0009627807847939211,0.0007331459967888384,0.0021164717076829127,0.0014526977336489862,0.0009292775645357912,0.0007957646318155002,0.005105202780145616,0.001868908730655264,0.0010196982151839944,0.0008438338188376899,0.0008203484106877873,0.07932541478941656,0.0021480296794218904,0.0011712290404577608,0.0008464762037704679
t7,5483.759037317926,0.0033791418078048877,12372.677022294218,0.001921312391622443,0.001562552267779783,34695.8659597714,0.002187702613049163,0.001678181406411854,308.69777651295044,0.0022630303873089172,0.0,0.001267298756084504,0.001745534530557975,0.004703095767107091,0.002120336252362502,27917.982735768586,0.0022563095653174146,0.0023946639426747087,23813.46063481023,0.003482128441795436,0.0,5173.241398787467,0.001447051489393228,0.0010061821654970752,0.0013365248560358125,0.05500100847801115,3297.116108250119,0.0013896664072416724,0.0024793642286248065,0.0042458638302530485,539.4969307834659,0.0014224462828475177,0.002144120035157053,0.0,0.003067236148048921,72501.81804320091,0.0013331536162120845,0.0016491409197982834,0.0019411028627184972,0.0018304296651005505,75975.21444780778,0.004037646586941263,317942.6564673618,0.001844784147233673,124901.5411129479,0.0014655389895151677,0.0017574336978332871,0.001008210178417179,0.001079005684012217,30658.097721952396,0.0034061167180978224,0.002167493133894864,0.0009927123303951316,0.0009439750879341706,0.003036888866834956,0.001450740033303931,0.0009835638895381743,0.0006572920261803006,0.009757907641710752,0.0015747778867943115,0.000919678520036267,0.000862529043542298,0.006208474506115433,0.0021172461990826064,0.0011996434663912037,0.0008498388983326624,0.005266730781691198,0.001966043344003886,0.0008806073336081597,0.0007344339991999622,31777.9772644394,0.002431613047013202,0.0013448019062089144,0.0009833781485732674,0.005564131058778376,0.0018308612598999748,0.0012287672594943207,0.0007574850299621416,0.0036336925733405127,0.0023232696038106926,0.0009764041544462383,0.0007546974849554925,0.002278357393862911,0.0017894865409014314,0.0009413144889379178,0.000819586209943787,0.005321441816772058,0.002413535537090966,0.0010322140412340956,0.000865401026300106,0.0008328983505139639,0.07982648709656705,0.0023418467028959613,0.0011842043600640813,0.0008604198296718514
t8,5483.759056914169,0.004033650743038761,12372.677637768693,0.0026019877294996326,0.0016337973539006356,34695.86601194151,0.0021551443462699982,0.001658386912770112,308.6977592222281,0.0021990284454569647,0.0,0.0012663495562492343,0.0017453788817044904,0.004846570604778325,0.0021596429519036412,27917.982734801215,0.0023433909787589414,0.0023067356323864226,23813.460682119417,0.003493714690420099,0.0,5173.241515508721,0.0015016282097675992,0.0010270258817038675,0.001538275471351974,0.05541140886315513,3297.1165932927597,0.0013954423490311835,0.0029618636320551993,0.004749351748489588,539.4972486923997,0.0014366470874741374,0.002263845187651131,0.0,0.0031288592295886843,72501.81821952506,0.001323305312631036,0.001668850434060238,0.001934479438237309,0.0019046142886468902,75975.21446774522,0.0040488712045333,317942.65662095934,0.001940732425442569,124901.54131319035,0.0016059712879813652,0.0017754418872265153,0.0010027221158843875,0.0010700800912038296,30658.097734672065,0.003563161246666778,0.0028831548145797792,0.001003821661282213,0.0009789173402635488,0.0030320517695473386,0.0014449800560870317,0.0009808439494792096,0.0006510071443146547,0.009744884670718343,0.001572186634464206,0.0009168500142766442,0.0008535130760134796,0.0062109338176672985,0.0022103714314179192,0.0011970399929869685,0.0008431682308987649,0.0052714237295498016,0.0020353607755827932,0.00087725391522157,0.0007268244062719038,31777.977280552048,0.002604469979849966,0.0013473825237359498,0.0009875923987643178,0.005646269163143977,0.0024079849789055223,0.0012383896999887043,0.00077099845833818,0.0037119734611726703,0.0033065906401719167,0.0009831949907120404,0.0007689482842735575,0.002345868719837122,0.0022784869135435435,0.0009471380099690858,0.0008345317396293169,0.005373076125232374,0.0029257769034008894,0.0010350473412770696,0.0008687494389353982,0.0008409771073566774,0.07990285676903087,0.0027022607735503897,0.0011902690336089241,0.0008698580355270182
t9,5483.759034753168,0.0035247303143417274,12372.677224558562,0.001972073050572191,0.0015819916963450444,34695.865986198594,0.0020540703148013827,0.0016514671719702328,308.6977163343619,0.002089221354412368,0.0,0.0012624990011147795,0.001720009548757604,0.004529131228716982,0.0021090517464765484,27917.982734364632,0.0021908716792050325,0.0021473397854935507,23813.460603755637,0.003434633444268312,0.0,5173.24136962627,0.0014340958211602947,0.0010053464353319708,0.001345000853199527,0.05511217455752674,3297.1162836638537,0.0013591367208077585,0.002498842744601735,0.00426066787429606,539.4969673678097,0.0013997219767605596,0.0021366961875982074,0.0,0.0028973219939374874,72501.81775786266,0.0012911349225805274,0.0015797561607715403,0.0018446892754434808,0.001793556081703697,75975.21442798035,0.0040179838088260575,317942.65618666407,0.0017541619246319534,124901.54097663672,0.0014558281784599356,0.0016881011220718045,0.0009731240390368996,0.0010252626384211862,30658.097696072677,0.003473296323564697,0.0022066543538180098,0.0009919981406185053,0.0009487717370903211,0.0029465177439233674,0.0014253104645437743,0.000958259879483791,0.0006359601721864044,0.009680726418662052,0.0015148239592949774,0.0008973827788335629,0.0008310349375703545,0.0061432984308424496,0.0021022586527074793,0.0011690134767484628,0.0008194712693916722,0.0051891841185411096,0.0019474819927986584,0.0008552227768455078,0.0007055528068529711,31777.977241143475,0.002368010098670124,0.0013296956947090063,0.0009680131383908325,0.005532165538657285,0.0018538589463386475,0.0012162821903473377,0.0007477935422812301,0.0036053710543402975,0.0023723988179102217,0.0009652566416189027,0.0007449601894408944,0.0022581615729926666,0.0018022755526219288,0.0009326341831586694,0.000811440484180732,0.005240073195299381,0.0022355125326982586,0.0010172544801232979,0.0008365242978195436,0.0007983379685008195,0.07969654322913232,0.0023335163262278172,0.0011632219451151891,0.0008291605261697279
t10,5483.759030781789,0.003322977955269888,12372.67551180861,0.001867589319317178,0.0015814609568847618,34695.865964599434,0.0017117560502057192,0.0012099762211280507,132.74283718887887,0.0018092146910055778,0.0,0.001217642926249068,0.0016018971683512424,0.002742959135582572,0.001742877353465855,27917.981763151252,0.0015662129387569834,0.0017194380499187165,12859.269649485344,0.0031848214909125923,0.0,2819.4176681851222,0.0013259869965635432,0.0009626487906548169,0.0011444560351874745,0.034488081865596674,1454.0291721014735,0.0013095412200013691,0.0021131141154036113,0.0033682596048589426,236.84050388318656,0.0013427176841886545,0.001967247612485269,0.0,0.0025568405462149863,32625.819808024204,0.001239035997988846,0.0014681940037080184,0.0017304572849758967,0.0016529016075176083,75975.21431975708,0.003906375206837806,144877.91756336438,0.0015148970840951274,50085.51885323793,0.0012877705338154744,0.0015524051224444719,0.0009300514073934261,0.000955160121621967,30658.094006881827,0.0033701439264822437,0.0021003558239713403,0.000993054088576696,0.0009416392379891719,0.0018506506329146056,0.0010824079020072515,0.0009026891312903396,0.0005924630802783019,0.005845265577061144,0.0011518340970043356,0.0008476358535044635,0.000761435748437431,0.0037660056847674253,0.001577432308586765,0.0010939050235115268,0.000752770858584343,0.0031038059603922174,0.0014813448464343038,0.0008007528633183489,0.000647764275416522,26693.491156029457,0.001838023382316885,0.0012886941916780313,0.0009008743160329897,0.0039537140747802286,0.0013595601982545904,0.0011777352563860114,0.0007033797769854667,0.0026417535365157014,0.001712557300501105,0.0009399176735606284,0.0007032330382771827,0.0018481355402931792,0.0013708998447620208,0.0009112476348797432,0.0007692728733859948,0.003989150393961984,0.0017249562509226732,0.0009780613848688494,0.0007867932635080081,0.0007386299703151723,0.03130556334366592,0.0020140882256657333,0.0010967052108749684,0.0007683903411672557
