Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.997438261517368e10,6.459128131877486e9,1.7519927472565898e8,3.0409027574847113e7,2.8455393509358387e9,8.588526989282917e8,8.041363229000882e8,1.790623283124778e9,2.666092202018928e9,8.58868631398389e7,8.06410545105444e9,2.596541635941992e10
cFix,3.79007784009278e10,5.434827084192183e9,1.6463111793675986e8,2.8775523042992905e7,2.678600010433768e9,8.581388266941881e8,7.265183530231131e8,9.255859666476444e8,2.46456612463702e9,2.604031737072745e7,5.919895259412821e9,1.867319981753657e10
cVar,1.0893996827913892e9,1.2944842831266817e8,1.6930527291927647e6,653500.6732781276,5.469218986360389e6,713447.1720611855,8.988278711005814e6,8.678116609061803e7,2.5268427019414973e7,8.589216827986194e6,1.785618757265911e8,6.432330705422466e8
cFuel,1.0395563453027264e10,8.618656917293109e8,7.5623034909045445e6,495718.20757373155,1.6146996344601208e8,323.63965652519653,5.5407983442687325e7,7.72683524806054e8,1.7067463628819355e8,4.458325038434377e7,1.9539221063148525e9,6.366897951277626e9
cNSE,1.2811405469506837e7,2.0149201793950472e6,170.93055477793195,128174.38954177052,80.31158551503181,32.35888983484743,156414.36128320757,281823.3939325223,1.0571189719936328e6,337552.32737712277,2.7856368093516324e6,6.049481435601778e6
cStart,3.468360234841845e8,3.0972007463930618e7,1.3126296382470562e6,356111.26146058104,77.75811296598415,69.06349619080474,1.3065293361998728e7,5.290802186529263e6,4.525895102305549e6,6.336526229404378e6,8.940572790822528e6,2.760360386278785e8
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.2861358947275665e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
