Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-1.3833696624450971e-11,-1.364383009717657e-10,-1.823278227549936e-10,-9.061045076757425e-11,-8.776043265276075e-10,-1.48379505285034e-10,-8.29141644580168e-11,-2.252900661112871e-11,-6.84393238509552e-11,-9.995190246755751e-12,-2.844592983096516e-12
t2,-1.4768867204405305e-11,-1.465964529738669e-10,-1.9657333106808344e-10,-9.747418152673054e-11,-9.45011217464744e-10,-1.5984163698467898e-10,-8.896964412954122e-11,-2.415384998727099e-11,-7.353520081158586e-11,-1.0327026353082318e-11,-2.9206488634081904e-12
t3,-1.532670215077696e-11,-1.530003043020076e-10,-2.0565603786296806e-10,-1.0182067070238999e-10,-9.904768940730618e-10,-1.670699567315167e-10,-9.277507177702955e-11,-2.515520824989154e-11,-7.67354998975881e-11,-1.0483549299406667e-11,-2.9694732125850095e-12
t4,-1.557391415839541e-11,-1.566277282327112e-10,-2.1090500283337513e-10,-1.0430157600683717e-10,-1.0176255891180947e-9,-1.711904410963535e-10,-9.488094496443392e-11,-2.5736120644268182e-11,-7.856802913443832e-11,-1.0505874889945327e-11,-2.96681827647974e-12
t5,-1.5680087623938455e-11,-1.594307281943486e-10,-2.1452109027520676e-10,-1.0611775882252579e-10,-1.034363085269008e-9,-1.7444182722418918e-10,-9.652417593082152e-11,-2.6157299400376333e-11,-7.990388938940572e-11,-1.0368420584193822e-11,-2.9068270463517853e-12
t6,-1.525343928192765e-11,-1.5815467168055898e-10,-2.1269093487001551e-10,-1.0529357051660994e-10,-1.0287034692209877e-9,-1.730609856270555e-10,-9.571988445405727e-11,-2.5980587281425453e-11,-7.922872570745545e-11,-9.777282711728348e-12,-2.727135935187846e-12
t7,-1.4545706959124583e-11,-1.5029061967784764e-10,-2.0159387550086703e-10,-9.996734835137615e-11,-9.697148948640495e-10,-1.6409909104645075e-10,-9.089925434826922e-11,-2.4793464014953828e-11,-7.502003927441738e-11,-8.788805470067516e-12,-2.4447188228624997e-12
t8,-1.2430606398283174e-11,-1.3389582693403307e-10,-1.789636956365709e-10,-8.893022873088326e-11,-8.572165477151627e-10,-1.4568959474480687e-10,-8.12488654186125e-11,-2.2209114283463554e-11,-6.690114360299619e-11,-8.35809272269731e-12,-2.296451776212023e-12
t9,-1.1257386193449827e-11,-1.2846064953331694e-10,-1.6726199438335344e-10,-8.750028800450959e-11,-7.098583282668838e-10,-1.385455618666744e-10,-7.932382572796085e-11,-2.1653219078227137e-11,-6.67639664929849e-11,-8.388491075788699e-12,-2.3248012653772398e-12
t10,-1.1605268547776092e-11,-1.2055443524604714e-10,-1.6015545506985273e-10,-7.994233058727961e-11,-7.674238722638727e-10,-1.3042118006029806e-10,-7.350247536534813e-11,-1.9994911884363115e-11,-6.050490582810526e-11,-8.312862939083723e-12,-2.3946996859233353e-12
