Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.3430618200280762e8,1.9536741817828104e7,8.94012232445504e7,1.600789407086069e8,3.493128768868061e8,49.350532112535966,607.6482598335674,3.495611050273112e7,19.657353106230122,6.244990543367414e7,18.80709549678976,17.76230991702038,14.952040416459653,28.16343139983449,4.5707741706896536e7,8.195162071219039e7,6.960452082492721e6,1.825241651303006e7,0.0,350257.4852310437,7.783634599594752e6,1.5822988315085906e6,3.74559605097491e6,8.110633844666569e6,30961.630606929648,23327.74132308111,44476.565196863514,5396.379185920415,28530.972291471873,47335.458873791664,166632.1192659632,59011.537692731305,384451.3707636593,1.853809408911161e6,340259.2229732806,1.0635690882488617e6,791972.8162297225,1.5874012869477596e6,183953.89382997464,1.0062694790171183e6,1.8233339541997951e6,7.641555649251134e6,2.4448043276369735e6,2.178464173644609e7,7.150566511569867e7,2.165729497721886e7,1.1589620434964218e9
t1,27967.324753173976,2769.668568961441,14290.785271187317,18267.510409302933,47530.04712274679,0.008504186921742093,0.0954275689083575,7039.491962607371,0.002928286569871279,7529.939035812896,0.002921806306820955,0.0026140884292560258,0.0022002919582682925,0.004379425808516777,5378.479280721989,10294.848410799672,549.7175706274791,1896.104808851358,0.0,32.50072131736728,682.07429812087,151.73712995824587,330.2137636991805,476.43887299407356,5.789505259887561,4.371521192809667,8.68483923973154,1.0040255450157631,5.317073300623564,9.807422315599577,35.2135553307292,11.993540967001355,39.22031043957581,390.9845432099716,48.71353294786941,383.93325374384386,290.9066861696992,575.7411305452912,66.49243206073254,351.80591679312573,650.8658140185604,2331.579027362115,794.5615871900136,3211.214596319385,22209.93582118449,5799.6669403746355,182414.8040320486
t2,27967.32462614596,2769.668111302765,14290.785002877516,18267.510391926186,47530.04709942554,0.00848867348242154,0.09492703664334218,7039.491460677718,0.0028860985236693446,7529.9386907854105,0.002880145217283285,0.0025795385779139174,0.002172565737444017,0.004314988521791402,5378.479239342472,10294.848375886115,664.0921918888016,2139.155374226992,0.0,40.1369050621611,665.3741316941877,174.68649055046737,401.1050838011197,686.5774960122816,2.579187943604193,1.9412275569754665,3.861263553932296,0.4445847461229149,2.362287428177328,4.358578425152067,15.723871257161415,5.375904583927718,25.72250505609759,143.27955367100947,44.96143445112578,222.65115573508962,169.30004113853613,350.2540550949414,38.860250988027815,210.49459849598134,400.1809240469148,1535.8143091946463,514.371946265856,1812.2281768379924,14733.844400501474,4066.860433709368,170144.80961133452
t3,27967.32453255953,2769.667654104541,14290.784725651672,18267.5103743779,47530.04707530742,0.008482484857596197,0.09442803501036143,7039.490961536766,0.002844183737273044,7529.938341309616,0.002838699862139787,0.002545359350763731,0.0021452197865260655,0.004251106100443097,5378.4792204047235,10294.848339038897,866.9826279477539,2585.7623807779364,0.0,53.045373264489434,716.0325876415352,220.48183346992198,438.9856018868256,924.9413074349808,2.0016628334441777,1.5114434670545627,3.00255619768568,0.3471830096671165,1.8382759407793585,3.3906621058769737,12.173887727207603,4.146428632268463,13.464220531054384,63.396251613451334,26.59952044984235,162.94522322236847,123.46384633735833,244.35019312695303,28.220172160140734,149.30994887241226,276.23383857776406,989.5445647676736,337.2196990790241,944.9401161043014,7730.9281690201815,2484.317316660477,160477.78565224024
t4,27967.32450440554,2769.6675963252214,14290.78469018394,18267.51035991577,47530.04705060508,0.00864084694455649,0.09438069364225099,7039.490918308296,0.002867287211345266,7529.938319581707,0.0028615681535606933,0.0025903129599159007,0.0021983754032365546,0.004273311236052088,5378.479206981665,10294.848299765055,1011.5876495301545,2917.1666785341536,0.0,60.79325312968974,834.1306498954359,258.90929849426294,451.5960505909792,1128.1085910963059,0.49751644249750265,0.38283997256997365,0.7999747128993366,0.09524670151742722,0.47960699890348557,0.9464250016773909,3.3408630551393164,1.157649599017142,7.869406477066725,34.293033443297816,7.239873682945488,69.03822588377176,51.0020200223319,116.40892631392727,10.96808646006547,69.59866772064866,76.79505932648402,182.33606066273902,98.33168227680522,620.3457126914948,2778.47942008252,344.9130471200485,152205.82027438714
t5,27967.32447788052,2769.6675533352086,14290.784652005977,18267.51034790698,47530.04702594242,0.008843003785600392,0.09434617972181708,7039.490886205484,0.002885465413033528,7529.938292613877,0.002879624978020091,0.002634533948865282,0.002250630803908468,0.0042950857280089775,5378.479215068245,10294.84825819573,1067.5999823806196,3047.9352818197667,0.0,63.29992710846311,900.436770498341,274.5999292372545,449.07938113476365,1206.669883383251,3.662982602489158e-5,3.5711579932320066e-5,3.431296071115034e-5,2.3252083936063355e-5,3.0818436639858813e-5,2.928535677776232e-5,3.333523229581068e-5,3.7775928818547055e-5,10.467692784432053,34.23765496134138,3.4575862053152156e-5,2.158346000778585,1.6354001804581062,3.2365783005717805,0.37387179592693115,1.977732499299726,3.658842569814189,13.106880147339533,4.466642605629312,209.4939519912498,313.46210999706295,5.54926961798213e-5,148676.1060542652
t6,27967.32434937908,2769.6672535798175,14290.784403074815,18267.51033795953,47530.04700403599,0.008838371019017022,0.09401616329062547,7039.490564720653,0.0028450650084564186,7529.937968495035,0.0028394873792158665,0.0026032215844706613,0.0022261587949809567,0.004266868256147832,5378.479190471061,10294.848218282483,1034.919823822999,2978.068152437342,0.0,60.571709391498004,899.789041027961,267.5811644040712,439.9933417505354,1160.6739019664851,0.00015872581157049526,0.00015334371543213244,0.00016897466083751745,0.0001279768821570453,0.00015776503873372996,0.0001732350906633724,0.00019414693720933,0.0001432382835320135,17.208131375732073,3.837419813423896e-5,0.00020619943136803155,10.503456761805888,7.958494189760197,15.750797956386949,1.8191122219029625,9.624516387891136,17.805973337650197,63.78586497954114,21.737113874230136,162.86670141192806,641.6724652555174,0.00029216740381248955,148880.5385020345
t7,27967.324131406625,2600.6250207630924,13154.327513366368,18267.510319609108,46923.11675308227,0.008828162393992164,0.0888588483231429,6215.882060026526,0.0027879570954067565,5201.69293489202,0.0027830251686329953,0.002559230336284695,0.0021916502869941904,0.004219287729748998,5378.479187146561,6863.232585552878,913.5471525714656,2707.3217821076796,0.0,52.60858618928617,832.1874818482623,237.82552490056375,428.20338252350336,990.0627551129004,0.009128660070822862,0.008687081294533062,0.009787528951098284,0.48703518383080335,0.00884555103425073,0.0004321591126210461,0.00048536617443015146,0.00013897760285604512,35.45703848449267,206.92413606662691,0.00017210143875021294,31.085599613894335,23.55361236370087,46.61546879935389,5.383678920474438,28.484335254562534,52.69797590288909,188.7785530573276,64.3324398001518,261.7860752118197,1938.9559927186244,0.00026097912540058835,141618.63927904295
t8,25854.16016466317,2323.488776796846,11807.098882431163,18267.510307437802,42658.682577887914,0.0051518554218097845,0.019897947821764586,3107.9369129410697,0.0009562944747230864,2651.8476228423,0.000962553962407731,0.0009332084980649177,0.0008144731951845834,0.0014907461214698245,5378.479181815662,3431.6164705274737,703.5424653127026,2235.9396583935645,0.0,39.4105555396243,697.5513452356707,185.3604685319196,411.94743305579186,694.8456125215396,7.209005247068082,5.445327979397834,10.809606182172471,1.470863530012415,6.620978782000704,12.196145890244289,43.787511223858985,14.914174880977113,103.02692258896315,764.0866435032898,105.70076062277504,73.01277331146308,55.321911185861275,109.48877876427207,12.644963188775145,66.90303369887026,123.77518850065763,443.3962662092555,151.10179793908227,1059.2760149563173,4564.408757310907,716.906256295838,128900.95232480577
