Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,349040.6681566735,0.0,0.0,349040.6681566735
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,456770.7827036228,0.0,456770.7827036228
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,8612.162496959476,0.0,8612.162496959476
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,206421.09196665877,0.0,206421.09196665877
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,37388.22244913194,0.0,37388.22244913194
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,92400.97964497586,92400.97964497586
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,217236.57995064117,217236.57995064117
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,331086.03117018833,0.0,0.0,331086.03117018833
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,2.813399770383442e6,0.0,0.0,2.813399770383442e6
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,7.947047423658058e6,0.0,0.0,7.947047423658058e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,705409.7814580996,0.0,0.0,705409.7814580996
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,455356.6783931865,0.0,0.0,455356.6783931865
NENG_Rest,NENG_Rest_nuclear_1,1,1,0.1601730960143448,0.0,0.0,0.1601730960143448
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,134982.29022556808,0.0,134982.29022556808
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,14262.96672284666,0.0,14262.96672284666
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,13656.032052659955,0.0,13656.032052659955
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,36142.964833590544,0.0,36142.964833590544
