BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.1129194947332539e8,4.1260926768755815e6,-5.501775923324628e6,7.856926568659279e6,-7.856926568484909e6,3341.484080700277,0.00046933891549949113,1.6767334148995504e7,-237326.8349632806,-1.26449615e8,3.577393660308204e7,5.5715223935524225e6,-6.68938596196854e6,495507.4302406674,-495507.4302406599,236.7188878098917,0.0004800771985105537,-2.332314462625957e7,-156326.11813006742,-1.1176839e7,1.5925424909906026e6,657401.2239273963,-776702.7690306765,374693.0475022981,-374693.04737309326,212.70772052100128,0.00047532525918841836,7.121311180352014e6,-132534.82705346553,-8.46223e6,3.626400605100336e7,30.25259891341885,-35.742412867771435,745484.8090291308,-745484.8088898204,421.40939926334823,0.00047519605320150683,-1.8881348367887415e7,-617267.5944613678,-1.6765806e7,9.432023756467443e6,12800.719004832345,-15123.722571088714,85139.36206441323,-85139.36192512326,48.013454474668265,0.00047514210711548186,-7.453764198441135e6,-59160.5610325038,-1.916824e6,6.2941823149709694e7,3.3697929586902778e6,-4.433523584784627e6,453430.2053161102,-453430.2051768029,259.5688873011418,0.00047571092012248115,-5.108910801833891e7,-442853.0674345668,-1.0346391e7,5.84210227116765e6,920257.277683541,-1.08726048859963e6,862867.5867500496,-862867.5867500431,467.40187964543736,0.0004811560041846956,1.3634861185031515e7,-810036.6393655868,-1.8500391e7,2.8058146089719914e7,32.0523426236958,-37.8688656830411,3.1207425348244235e6,-3.120742534824444e6,1753.1249427525283,0.00048001120521446247,4.231079125084679e7,-159082.6345065712,-7.0211602e7,2.823361188468101e6,85878.5579181539,-101463.3244133083,1.0649626889262272e6,-1.0649626889261992e6,559.808744117658,0.00047854779573836367,1.943180073137835e7,-191381.95504521695,-2.2048755e7,1.6660111303998375e8,5.642770797184767e6,-7.173848723487823e6,9.460051180015896e6,-9.460051179965444e6,28895.576194986097,0.0004671665218411198,3.7577302700048704e6,-128882.92955841961,-1.68727778e8,6.258032519628364e8,7.721296914131263e6,-1.019511662599405e7,2.8643437539855402e7,-2.864343753985664e7,23593.88500639602,0.00047294350800571505,-2.276463555682022e6,-382153.5527541327,-6.20694409e8
t1,14307.929296183507,0.0004678819553053031,-0.0002698432920450478,213.87912030520596,-2323.118859294055,9.204674956712135e-7,4.27264318421921e-8,1518.9830474902224,-32.67280062978702,-13685.0,1963.987437579834,100.62993009904483,-0.0002727323805465582,14.207125546181318,-151.6480587948611,8.945704597376763e-7,4.3177027803119565e-8,-604.144965575956,-17.031195946534165,-1306.0,256.2676417213059,0.0003058268601663217,-0.00020093890787380072,10.759714406936878,-114.8913301124181,9.09445789618844e-7,4.2599345059796957e-8,844.8019529981689,-7.938083942206687,-989.0,3851.9597830107964,0.00029912426998905927,-0.00019654690852270143,21.30567571347533,-227.41119408978963,9.147251242804536e-7,4.266291588710226e-8,-1611.60470048785,-74.2496666379357,-1960.0,1741.5041256982088,0.0003100463332783396,-0.00020143171846083734,2.460916816003106,-26.264781506907763,9.118988093869565e-7,4.276055566855195e-8,-1483.6854863132373,-10.014883415247018,-224.0,7887.226441440107,561.3392114204838,-0.0002560488753008607,13.022209144137268,-138.9677158450473,9.192576807296672e-7,4.2765325325175704e-8,-7059.627582445701,-55.9923079030617,-1207.0,760.3721538546743,0.0003156437064147194,-0.00018440607800002172,24.08217556277486,-257.0755297215642,9.062747266398598e-7,4.329335568410192e-8,1744.4951458296102,-101.87407688287328,-2170.0,3562.422817464759,0.0002882039908081634,-0.00018089381210306302,86.29573215791673,-920.9814561694773,9.146674374333941e-7,4.330217116410326e-8,5463.286651767756,-20.02385146633086,-8170.999999999999,527.9018154828584,0.13597628168713233,-0.0001255593319634001,29.40593097374686,-310.79427220800767,9.194559833630627e-7,4.2554331887987574e-8,2379.3058312016947,-30.95515583470037,-2595.0,19681.337338279558,145.79227642241378,-0.00017321316275311754,250.33139952906365,-2637.1511063216713,9.123962729654193e-7,4.21759405791168e-8,1918.1889629856753,-19.49869419250175,-19339.0,80867.3009955441,841.0454281499692,-747.6146628569963,625.1721850195928,-9968.233595816784,9.151621646890479e-7,4.284060327714478e-8,-3109.9988574503827,-50.671489736933374,-68457.0
t2,12327.405539535892,0.00021540850184355957,-0.0021068830382976658,115.73718161258441,-2029.5792607693093,9.168215990212388e-7,4.2740160705967844e-8,2391.883716165272,-34.445281655736814,-12771.0,1732.6231786049923,0.00026926728371431545,-127.94032599740615,6.261309611422728,-177.1242005322978,8.898538204209003e-7,4.316533103850309e-8,-202.87248820620752,-15.947742562496252,-1215.0,194.17182014268687,0.00012693631429440362,-211.21748252644545,4.702525758304693,-134.96477907087063,9.046147132342215e-7,4.258483231605644e-8,1071.1810817886483,-3.8732930576491222,-920.0,3653.232654673501,0.00012860890058048413,-0.0028661263816546433,13.206946655919044,-217.79704339807694,9.101482785017931e-7,4.265023097485672e-8,-1557.1161679863683,-68.52365224601992,-1823.0,1790.7100560864003,0.00013111573904561242,-0.0031834786375745344,1.5237039112213224,-29.792740224641562,9.069993388503684e-7,4.274494775020089e-8,-1543.0225580545714,-10.415409457147076,-209.0,7864.468038320835,0.00028191864730053634,-0.0021059330442037474,8.071924440922963,-137.87424301084266,9.147687628883281e-7,4.274902885539846e-8,-6565.073966566968,-46.58992930925836,-1123.0,759.4978298224546,0.00012850744669284773,-0.002095165410731709,14.927822431347886,-242.40745718078333,9.013403706007721e-7,4.328417463863915e-8,1583.1956043397768,-97.21183269832316,-2017.9999999999998,4376.681167200302,0.00012377501059522848,-0.001961800344739624,53.50139912829825,-814.7235170640498,9.096873838445605e-7,4.3294291107877084e-8,3993.71706120797,-15.174271311719329,-7594.0,527.9015254477935,0.0001641307981310947,-0.0004047588151431197,18.231134817070277,-303.36206082782934,9.145595312054474e-7,4.254623060424242e-8,2196.216905695044,-24.98726419856163,-2414.0,19444.53259941221,0.00028296337621970687,-0.00046473449438730585,159.29570851668277,-2641.5119025949084,9.071139455534875e-7,4.2170245404567534e-8,1741.886654073804,-18.202874162968005,-18686.0,78886.00164988982,264.03498560003413,-375.17838830892816,370.412462982631,-9246.603411076045,9.158635849016349e-7,4.2859627549786916e-8,-3109.9958424564006,-50.671454118319474,-66738.0
t3,11449.870847252416,0.0002161732071806543,-0.002204417731730534,45.442713147982914,-1670.2990631488574,9.176546889105535e-7,4.27398246449443e-8,2489.1680937867472,-33.18059957107394,-12281.0,1521.9232942991125,0.00026755436504071085,-226.79498757150688,2.557960870095955,-108.24164138818182,8.900259944784404e-7,4.317017668269636e-8,-10.017859766662141,-15.427033815135907,-1164.0,136.4783601837185,0.0001260990202318303,-149.14495253253142,1.9155024615937515,-81.7512408792452,9.048428372539189e-7,4.2588428190426375e-8,976.3889923014199,-2.8867876650715374,-881.0,3548.1693573653756,0.00012944329387400762,-0.0022901087552752875,5.803676951496878,-138.29453188911177,9.104091451960147e-7,4.2653328581888934e-8,-1603.215280699852,-66.46106097274182,-1746.0,1650.261620796526,0.00013273958203335995,-0.002543119081994342,0.66838219102292,-11.335627969003871,9.069944448314378e-7,4.274595188306231e-8,-1429.9398633948438,-9.65210134135212,-200.0,7841.698952718008,0.0002791315981082931,-0.0021765307810015563,3.546450531332385,-79.726413242657,9.14853064722844e-7,4.274738168263892e-8,-6644.241568832907,-45.275523949457714,-1076.0,760.4309075085622,0.0001275010575041509,-0.0020750675959980555,6.5603033751183295,-160.1370446558117,9.012804032541353e-7,4.328517814012606e-8,1423.123538194229,-96.97575677353525,-1933.0,3828.3708209570377,0.00012338621620094637,-0.0018307889482741648,23.513580864102803,-627.373525629546,9.097196425071167e-7,4.329817943267911e-8,4067.9099399566435,-15.41910768513796,-7277.0,527.9015170636092,0.00016309654354177935,-0.00040849968505374446,8.012814311688407,-188.07277615943423,9.148026195004614e-7,4.25480565464724e-8,1989.6842420022797,-24.525551498017766,-2313.0,18285.052158271472,0.0002806373723851289,-0.0004757615840350985,71.97410516955176,-1796.155627050899,9.07682470857273e-7,4.217664792223757e-8,1851.1354134892656,-19.00585124579469,-18393.0,76269.75947651465,244.34376553555927,-292.44707449603925,170.35515403868337,-7550.344219786557,9.162796443560466e-7,4.287269526409275e-8,-3109.9956470363186,-50.67145145642389,-65681.0
t4,11342.889413614626,0.00021886238835787112,-0.002191417605807403,60.6823198780874,-2100.4103180575785,9.197113222875883e-7,4.2770581610315067e-8,2800.9935017855864,-29.15294240777988,-12075.0,1726.1989155749784,0.00027328889926683055,-605.9773805923206,3.787522328109251,-66.27695474125102,8.90430421169669e-7,4.317686091427561e-8,94.41269081535975,-15.145066490997339,-1137.0,151.2346974201857,0.00012640929909003994,-147.70679149564296,2.864632293116953,-49.532891236072366,9.053527769161917e-7,4.259401002652076e-8,905.5853371051996,-2.445110530083712,-860.0,3627.6184739361206,0.00012633807946232288,-0.01298431914410552,5.578439534530965,-166.56951543925533,9.108650188335032e-7,4.265843634315533e-8,-1695.9989857295968,-65.61555420182366,-1705.0,1581.9217729174723,0.000128993126038992,-12.644897962520126,0.6467440049628985,-19.329010913730475,9.069864911593816e-7,4.274823398798429e-8,-1346.505815690593,-9.088921448922727,-195.0,7841.269508474528,0.00027218607265177717,-450.31029380587324,3.4086151692852136,-102.50416185566564,9.152736605655728e-7,4.275105603412165e-8,-6198.344000472924,-42.51993981682083,-1051.0,761.9155119603225,0.000123709310769991,-1077.0078792178306,6.33525865715458,-189.15935320014776,9.015336873113387e-7,4.328916793110362e-8,2476.232307903943,-89.31596975700717,-1889.0,5215.971497288937,0.00012061883366870089,-0.007372514240140559,23.09384941826775,-668.3158798915148,9.098527399829853e-7,4.3299531175392356e-8,2544.650022432977,-10.392236223674086,-7105.0,527.9011676087049,0.000121094531538484,-0.46701195517162325,7.7811244617293145,-221.3562130001233,9.130606324900815e-7,4.254484796019061e-8,1963.538660412017,-18.397848287131165,-2259.0,18699.301337279623,0.000205395911545209,-192.61840881427642,73.20104993808452,-1776.4090890296652,9.052626117097989e-7,4.217388049953033e-8,1565.4308326289076,-16.905923922391846,-18352.0,72808.21531024692,273.59091896520255,-299.3322618988061,221.22925778711675,-4107.037236233624,9.168577953652179e-7,4.2883480573173486e-8,-3109.9945511908763,-50.67143519155806,-65736.0
t5,9504.010038204855,0.00021690831354722668,-0.002595110375955738,46.20237506668134,-334.1626568928187,9.202234042143688e-7,4.278702254353346e-8,2801.107040638402,-29.15441754917111,-11988.0,1932.618375111796,0.0002751175201446257,-968.8902895652054,3.1028479191896996,-37.407040051218665,8.895592237806908e-7,4.315744942038724e-8,202.4292524745307,-14.853420820725505,-1117.0,204.1592834966596,0.0001264789029318737,-127.60401315849651,2.352916845235857,-28.32116686326203,9.046425017547754e-7,4.2584987559901444e-8,797.566310420677,-2.153457253243803,-846.0,3640.2023977961767,0.00012724925777410852,-0.00779195748892567,4.647735503179004,-64.57572902163086,9.099239302012299e-7,4.2648831251839514e-8,-1837.845615525495,-66.42112392684848,-1676.0,1566.7055383324484,0.00012952660177735874,-4.879664652332009,0.5367990108903833,-7.154041920851423,9.060196677345456e-7,4.2737789581847615e-8,-1354.0687887791876,-9.139971617250284,-192.0,7864.083464986609,0.0002719472684630112,-265.8417748140364,2.846607120095808,-38.13115730680839,9.14156264547427e-7,4.2737793504678865e-8,-6485.23961990871,-45.7177921578925,-1032.0,762.6284659251836,0.00012340525925343663,-788.9382148423422,5.23439890431432,-71.86863850785376,9.004816539727531e-7,4.327605136017722e-8,2043.5707551612463,-94.62688999228193,-1856.0,3848.599655131529,0.00012020627467522187,-0.00657020143583609,18.71407943533012,-283.66667861162927,9.087304722582898e-7,4.328353073358328e-8,3413.6192329481096,-13.25983777801094,-6984.0,527.9011706655609,0.00011995422333778666,-0.6680760874535174,6.397767259347077,-94.4945358176716,9.115539376088405e-7,4.252487716757608e-8,1801.4533674628735,-19.589813108113134,-2221.0,18133.910107849042,0.00020436451129898686,-329.81094088881355,58.52186258701255,-964.9272363172345,9.036441139170198e-7,4.2149337766831494e-8,1727.4024228525914,-18.09641685666453,-18607.0,70797.34570729829,656.1763460500903,-280.01668473416476,205.88738798936035,-1176.7269635650093,9.155757631228157e-7,4.284675891850152e-8,-3109.9943577450367,-50.67143183760695,-67042.0
t6,9493.352285444163,0.0002099049191113471,-0.004357393624479252,154.16899811458055,-76.4010969520889,9.211994288709537e-7,4.276363625200415e-8,2802.050649610131,-29.166686405479176,-12344.0,2133.3876541012123,0.0002789770211878665,-1194.5436850745566,9.924012130914457,-15.804297574490912,8.903259523224325e-7,4.316479563268993e-8,207.87470184018542,-14.838664211900332,-1126.0,234.27946028707268,0.00012670039436601485,-166.6751225286589,7.523262949130803,-12.109583589092674,9.05196286996707e-7,4.259024774137041e-8,792.1206149182822,-2.1387587713529523,-853.0,3644.072222842522,0.0001266519383816726,-0.011254257563120065,14.876193390682806,-25.5519123081547,9.100252884151314e-7,4.2652789478583945e-8,-1880.8263092614275,-63.55906693699051,-1689.0,1420.4917133201354,0.00012956741103949614,-6.074308908502558,1.7182775420664775,-3.1602429851763967,9.061464632380661e-7,4.274102987900449e-8,-1211.7959384100086,-8.179630225274487,-193.0,7886.908393381058,0.000274943984003719,-152.6036286152279,9.168315955952442,-16.30488962039252,9.138516593596374e-7,4.273617000315761e-8,-6642.258112242149,-44.91035392780567,-1040.0,759.4036960232522,0.00012284370217690367,-189.56336933069502,16.786475643334317,-29.139513485288436,9.006300971301821e-7,4.327408526199397e-8,1411.214136913418,-96.70154856054255,-1872.0,3032.487580562501,0.00011893137503259784,-0.010325489404003635,60.04407952916177,-87.79453915836714,9.090083247806402e-7,4.328451978440162e-8,4044.615211265874,-15.342124531083861,-7034.0,527.9011303548041,0.00011993385502373418,-1.454743787817475,20.47230773925687,-38.42808020461012,9.116568175557616e-7,4.252317005335405e-8,1751.4717850969325,-19.962518793358512,-2240.0,18535.094320158383,0.00020751659059254555,-358.23494587537004,204.13544862051137,-348.97792645565596,9.048104011522535e-7,4.2156768283208567e-8,1776.4397406961193,-18.456841154136477,-19790.0,70188.12126740659,3692.997854828842,-0.001048321570948966,624.2749957304051,-125.91711363107937,9.165136335443986e-7,4.285164118074885e-8,-3050.9064804273576,-49.56947320806522,-71279.0
t7,10513.560632375518,0.0015006104982500284,-0.00023379602944842366,391.83673341418626,-51.97036848213542,9.179568267139102e-7,4.301274721397339e-8,2687.2973493975155,-27.725612688744004,-13513.0,2333.7099233515205,358.0960021018949,-0.0001720064159790461,24.81131817591634,-1.48837177847243,8.997286175886488e-7,4.319651799626274e-8,-1516.3089634423122,-13.819736230461592,-1185.0,243.27557532413883,119.83693355331123,-0.00012487105302460687,18.8017741854721,-1.1068141967042924,9.14315708777051e-7,4.262254991359097e-8,518.7793335334543,-1.5866775722240187,-898.0,3671.8766787329146,0.01360408641995332,-0.00012454384087296554,37.189108809218325,-2.270432487309044,9.187070131738967e-7,4.2681778812996305e-8,-1902.278213251563,-26.53062125894743,-1778.0,1295.207075826015,5.639966199033064,-0.00012654271556475835,4.301646670108163,-0.2515499806266324,9.150815243232809e-7,4.277234810967638e-8,-1093.5157740719444,-7.381238204029476,-204.0,7909.722481015897,1322.882547991379,-0.0001742654159217843,23.379429581788635,-0.0012743302530714355,9.208517594361392e-7,4.2744059500893904e-8,-8110.4444952194235,-50.53851490997371,-1095.0,758.042929820936,34.39707983403719,-0.00012222993723124963,42.00420938590857,-2.5807507509828413,9.095021165275145e-7,4.3292243722069385e-8,1236.4687706388438,-94.33211638903948,-1974.0,1942.6982208042232,0.014611261603553395,-0.00011896396743291795,150.08867740507483,-11.051148062986307,9.181713199163555e-7,4.331129951866765e-8,5323.818383379466,-17.568624813176523,-7388.0,527.9018673918652,0.001023945203019505,-0.00012776805000868009,51.11369888237117,-4.701464981708102,9.200635795482899e-7,4.2537719960574584e-8,1799.928752713424,-8.243749868203102,-2366.0,18132.487569328598,3392.80886297222,-0.00016661838737750951,519.6339541617589,-0.0007552540185696645,9.155918625312018e-7,4.2188662338969555e-8,83.68565688944807,-0.615117917914581,-22128.0,72704.96694477349,3881.3485414238635,-0.00012797754003536691,1656.2428060439495,-38.77564574784036,9.293524330296409e-7,4.2885173186134255e-8,972.5691994330934,-12.351716380061736,-79164.0
t8,9709.971065088406,1830.0449267283907,-0.00010166845516699707,822.6065364960479,-0.00014901882892134815,9.193140492915386e-7,4.31445662268866e-8,3567.4951682292967,-39.11744453586894,-15891.0,2407.3460484422462,2875.017237945453,-0.00016194346467138167,49.12701271819975,-1.4982965030081272,9.007587138554838e-7,4.3182372172980614e-8,-3978.2505685307706,-20.74127195670476,-1331.0,249.71424824490978,297.8619883404024,-0.00011818629356519827,37.20490404519306,-1.1335834232384616,9.142833805710979e-7,4.262062768696227e-8,443.43424631980713,-20.08168536244021,-1006.9999999999999,3807.2299063937517,0.004948605227530907,-0.0001231214548382554,73.67308406837176,-2.167690783607742,9.180374397815218e-7,4.267994182425733e-8,-1812.2800168434999,-69.4601082160724,-1997.0,1180.9979589072243,2.370512053089293,-0.00012583059798042427,8.510248324603115,-0.2635815789479088,9.146699914347058e-7,4.277106647486449e-8,-956.160919338556,-6.454092646516475,-229.0,7936.011259651497,1801.5560859485836,-0.00017171240966674586,45.03078989987926,-0.0014462970408769826,9.203717182947138e-7,4.2747473595939626e-8,-8500.871601681874,-52.72491580462874,-1229.0,764.303215457023,1609.6008929516402,-0.00012040141850141862,83.27287392939054,-2.4395668476477788,9.096289816380198e-7,4.329488127623302e-8,-126.60148504260826,-112.13580969815638,-2216.0,1248.152168942058,0.004716517806033082,-0.00011857472793106325,298.4046824859742,-6.470271227087578,9.182582261785346e-7,4.3303631270664395e-8,6779.27543308984,-24.366610012527765,-8295.0,535.7349301399935,232.7122949827164,-0.00010712291371544861,101.68334500739817,-0.00038621294854205147,9.222777296316319e-7,4.2586815699871164e-8,1809.729254050509,-23.859330710222906,-2656.0,18356.184555297088,4064.6815762415285,-0.0001352834610010033,1026.0147784453286,-0.00036139413013829165,9.181255663531806e-7,4.2540699452954876e-8,430.99137854102474,-3.8717884321412885,-23874.0,73437.63750564955,5132.9982589524125,-0.0001303924732339379,3182.615208500742,-0.0007773866175353119,9.199499322243865e-7,4.285132732976616e-8,2343.239111206832,-40.489174139092235,-84056.0
