Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.82969675736793e10,7.91419090844104e9,1.6521694757252517e8,4.2613702548369056e8,3.1783043814234023e9,8.007034165437552e8,6.56817904370238e8,2.2025078816684756e8,2.651068913675153e9,6.775097634096608e7,7.580630936995793e9,2.442361553201725e10
cFix,3.395283525978581e10,5.731773924494774e9,1.5773631005570784e8,3.908134420148701e8,2.997081793075844e9,7.994907240281e8,3.399947957063753e8,9.16947580859793e7,2.419070003632415e9,2.6039083443208e7,5.662864647455657e9,1.5336275777792881e10
cVar,1.2207136543002079e9,1.9843007183625406e8,1.4001415558100562e6,3.7646065199034116e6,6.127495562473184e6,1.2126446441410254e6,4.4031669935768634e7,1.8625997156152222e7,3.169852645845857e7,6.018488963995173e6,1.9466939284747222e8,7.147346188198128e8
cFuel,1.2634269362505846e10,1.9024836139212775e9,5.779401208503387e6,3.0328088303090233e7,1.7484097695718914e8,36.743721126851554,2.715550231107551e8,1.0667212540362878e8,1.932136801498431e8,3.1375096067549437e7,1.697370873023171e9,8.220650447617116e9
cNSE,2.216311767712706e8,8.150329106953107e7,65916.00680949271,64856.41164402038,254109.9854994859,5.646287173939619,156525.50728391865,281873.0691391132,3.9722273216440002e6,1.9238357928238083e6,933281.7799119877,1.3247525418069611e8
cStart,5.523827766749321e7,7.119203754243376,235178.74569443116,1.1660322341826882e6,5.842396699294509,5.481505874367932,1.0798901100549034e6,2.9760344519481063e6,3.1144761127924267e6,2.394472073389667e6,2.4792741889580447e7,1.9479433606744025e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.0431156297297034e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
