Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,0.0,7.948351661490141e-5,0.000156910347602952,688.6738983573626,1846.1030677728143,-999.9999820007471,1153.1401875295435,-499.28941287949124,5.025963609287158e-5,4218.288009318221,-1509.999986562575,2490.8854788024614,3607.062792448458,1530.9664968442153,0.00015956414299998664,4.029378396850251e-5,-599.9999711993162
t2,0.0,0.00036787134167514226,608.2116368868575,759.9996333270897,1483.817072915345,-999.9999813380831,751.8646647454225,-406.2452825125737,2.8088930033528705e-5,3728.0357949537124,-1509.9999834212995,2431.281125490694,2627.8210761231558,2579.9990574544036,151.121553760688,1319.9999141354817,-599.9999720272785
t3,0.0,0.00029739285747131986,268.1469653208671,759.999819936402,1401.9885119046112,-999.9999794255364,697.0972102065978,-364.3214991863023,2.6762075098392476e-5,3742.2460259873155,-1509.9999826892674,2517.8230360482753,2566.837998981385,2579.9993895216853,5.708930216302961,1319.9999472587754,-599.9999717416136
t4,0.0,0.0003378096083443249,154.32287453803247,759.9997840760939,1197.8450816214045,-999.9999546035451,466.6514463298764,-294.9405308545833,1.108633750231783e-5,3462.3612912405156,-1509.99995561087,2490.089635591538,2152.461871153651,2579.9992200327742,246.1079103296978,1319.9999687203835,-599.9999729072986
t5,0.0,0.00032701385724337646,71.47298477050292,759.9997614107084,1468.893182218157,-999.9999530277283,837.7863556913725,-374.2794504551998,1.2625698885040201e-5,4014.362897884581,-1509.9999602823623,2583.6707962700757,2838.2322127860652,2579.999173374868,132.73593822520994,1319.9999636695134,-599.9999728885764
t6,0.0,-402.1654817704799,-1.5563927491942806e-5,3.9342725934472567,1727.4188518041688,-999.999951871765,1193.8671802783297,-450.8787696442386,336.3475616223297,4299.9996291272155,-1509.9999618973743,2584.511638581511,3141.690566087726,2579.999878376892,349.9998581232416,1218.806051228573,-599.9999621331307
t7,0.0,-3.0506277108759156e-5,4.173414688055259e-5,9.348822678600362e-5,164.50098197070258,999.9995737972877,-369.766549229799,-701.5980922108032,1.2268151121779785e-5,2914.081828884512,387.1724202854459,3639.686927207001,3511.6436384886183,1802.8052815197384,0.00015782928855443256,-6.5499747573926e-5,2.9085341711880997e-5
t8,0.0,-1491.087802608917,-3.6802650107202756e-5,5.408419693049666e-6,621.9419998856425,999.9999986222307,-0.00013603298200158263,-1599.999630006009,1294.7447723133237,4299.999599051396,1509.99999862465,3495.188926970396,4958.637249459577,1392.6541678282113,0.00013850020735991695,-644.136343380562,599.9999814556776
t9,0.0,-1599.9998517453203,-298.22508992217945,-9.32868195011028e-5,612.7394313976502,999.9997194118558,-140.9472752417626,-1548.0789964696364,1655.0595712878146,4299.999696478539,1506.7535906507514,4233.528421308522,4704.094030247629,1895.4765176020144,0.00013513177484819313,-357.5645880428689,0.00015393891159816835
t10,0.0,-1599.999974835641,-856.8579737907241,-759.9999710493225,981.2807078372311,999.999905006797,202.59298618879086,-1104.4879117068135,1765.0203402492168,4299.999660340256,1127.3811583269808,4269.151131120843,4225.455064247483,1781.9621268297733,0.00022026430192983754,-1319.9999142100903,599.9998807124047
