Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,0
AnnualSum,-338774.2730159348,-26667.363547978905,-92957.98390895576,-1535.6338282736278,-96667.31586990318,-3.665502052076965,-9.584508552411778,-58964.34310776,-0.7118376418474972,-0.6878808114794703,-0.2556551100871858,-0.2540010051662635,-0.2965984575691593,-0.584724454329868,-702.929464325458,-135850.17764781226,-752136.0610990291
t1,-5.330796461129409e-5,-0.0001429871004848372,-0.0001040687144513384,-0.00015771549205063798,-0.0004475218252073071,-8.703568927858035e-5,3.197269784296399e-5,1.5103644281750032e-5,-3.136233623020136e-6,-8.998713232938961e-6,-4.792750019372802e-5,-4.391994075635106e-5,-5.0301021108663596e-5,-9.672475675924663e-5,-0.0001517171993892248,-0.00027388991849540076,-0.001622175727517855
t2,-5.280631176211283e-5,-0.00015049445448604733,-0.00010649600909904388,-0.00016509713888807707,-0.00048659495102457693,-9.391852731214206e-5,1.6763106110204375e-5,1.6653037372640113e-6,-1.721998191657155e-5,-2.700330705146773e-5,-4.104938922084043e-5,-3.721421147332874e-5,-4.4649574794091385e-5,-0.00011306578835802628,-0.00016257210284535985,-0.0003154068797561312,-0.0017951602181403487
t3,-5.3905797230695705e-5,-0.00016010558652965204,-0.00010965742691853732,-0.00017329049401530874,-0.0005328277592130954,-0.00010352686438261985,8.988989825055845e-7,-1.1686797926987348e-5,-3.129967336907285e-5,-4.05752775898638e-5,-3.6482816890595025e-5,-3.356144640220734e-5,-4.12856555782099e-5,-0.00013035115497343877,-0.00017311329991046692,-0.00036218756872866413,-0.0019929587206769096
t4,-5.539998043379793e-5,-0.0001697048591262672,-0.00011347586591140625,-0.00018204802134162647,-0.0005915124269796734,-0.00011205827494809991,-1.498394763978163e-5,-2.538126382700637e-5,-4.513516679652729e-5,-5.2440839741093094e-5,-3.33321388670437e-5,-3.063803957205198e-5,-3.899944725590414e-5,-0.00014674857806468245,-0.00018265440630283039,-0.00041957529324533225,-0.0022140885500531245
t5,-5.552442027472143e-5,-0.0001785482764100022,-0.00011513879688798723,-0.00019011714394952074,-0.0006666066840463606,-0.00012291766062203684,-3.173835032003948e-5,-4.1041790320666436e-5,-6.088252450474989e-5,-6.74941871654047e-5,-3.441575318434527e-5,-3.016756850023466e-5,-3.848239223174886e-5,-0.00016405998341417104,-0.0001949122918898405,-0.0004994628113265998,-0.00249151063504843
t6,-5.6835668471111764e-5,-0.00018925325610524277,-0.0001189316187923115,-0.00019963098168972475,-0.0008165010352263886,-0.00013904831298367523,-4.9485214290671645e-5,-5.6842242699619044e-5,-7.546744706730707e-5,-8.27846101370746e-5,-3.506591330210765e-5,-3.0334247492398948e-5,-3.835171831409245e-5,-0.00018192721608734297,-0.000206095698227124,-0.0006049770528564522,-0.002881532233742645
t7,-4.9079967975112746e-5,-0.00020286331878472877,-0.00012327378708007554,-0.00021233968888276857,-0.0012425290255803142,-0.0001802748884486069,-6.767109322381526e-5,-7.374684582434559e-5,-8.996530286956311e-5,-9.871440925373752e-5,-3.925143158002711e-5,-3.37761582430931e-5,-4.04967063595304e-5,-0.00019950581010352253,-0.00021935492401862434,-0.0007588974742242694,-0.003631740832452135
t8,-5.4465103958946284e-5,-0.00021398020482750438,-0.00013945304831810664,-0.0002448174453707658,-0.0017889270655902755,-0.0002095321665429091,-8.228617088577473e-5,-8.528575714873505e-5,-0.00010549374147749846,-0.00011498287795329508,-3.932814349066158e-5,-3.2936127646170636e-5,-4.0340120665244286e-5,-0.0002207852315278944,-0.00024323458112844582,-0.000970570412615299,-0.004586418199147527
t9,-7.122350541078089e-5,-0.00027694845815398416,-0.00017125037826931186,-0.0002383388429653771,-0.003554099506297058,-0.00018649874775406616,-0.00010947803353035617,-0.00011345969180558599,-0.00015308646312248392,-0.0001698567841647844,-4.219121219580634e-5,-3.5164131189091326e-5,-4.103830449651252e-5,-0.00031033381356353114,-0.00028403293030204355,-0.0025077234687340554,-0.008264724271954828
t10,-4.580815514506092e-5,-0.00023369019349412133,-0.00012819605686203758,-0.0002411868375676716,9.890895685348025e-7,-0.00023412414856028882,-0.00011109841416181728,-0.00010732564243945982,-0.00017766000702668867,-0.00018164359574827541,-1.9285569455815245e-5,-1.9493541536856e-5,-3.067567503923898e-5,-0.00026351374144087695,-0.0002594629655988258,-1.0559690395490135e-6,-0.0020532314235480486
t11,-4.603507983972252e-5,-0.00027816753696200194,-0.00014208629997060715,-0.0002539063811195089,0.0005079053216494104,-0.00023779128274819554,-0.0001511221744511923,-0.00015539832658036622,-0.00026529590956148936,-0.00026330654257970105,-1.7264749298879233e-5,-2.3983028642725325e-5,-3.7194677269517524e-5,-0.00032436059500903845,-0.000276510745852217,0.001862537787676981,-0.00010198022055877128
t12,-4.926324400630671e-5,-0.0002749150232054531,-0.00014689821071910069,-0.0002668151113435299,0.00030129352784870144,-0.00025194987887643236,-0.00014371425233780863,-0.00013890344194711197,-0.00023970448876237712,-0.00024105991807803746,1.0057400535156333e-6,-1.109507818575631e-5,-2.2404858242702425e-5,-0.00030217590336187436,-0.0002930650309700899,0.0005616120074851817,-0.001518053164649182
t13,-5.386861916947148e-5,-0.0002885596720363599,-0.00015456170318946857,-0.0002793057750928265,0.00021852237321438262,-0.00021004276323116744,-0.0001606172152944129,-0.0001554637739019988,-0.00026155133800014264,-0.0002639859889114258,2.012627658622224e-6,-1.0826452345951992e-5,-2.2823609311490018e-5,-0.0003282271567687007,-0.000311879176013347,0.0004110978442906923,-0.0018700803981030667
t14,-5.228026339615108e-5,-0.00030796469424809205,-0.0001643534591406033,-0.0002935206660852473,0.00016879896950047015,-0.00021533977214169929,-0.00018678988555645594,-0.00019593204637335384,-0.0002931147244645121,-0.0002919720516698299,-1.239595130688915e-7,-1.2420079382793217e-5,-2.5751089246407612e-5,-0.00035270913470449185,-0.00032954390509465153,0.0003104294605540158,-0.0022425873009628717
t15,-5.184089065321412e-5,-0.00034873893061745784,-0.00017359878117968915,-0.0003093071686511852,0.00013388191569096324,-0.00022500907408079667,-0.00023339985456606948,-0.00023882759936568794,-0.00037139063742825274,-0.000373313150816293,-1.9626299054739073e-5,-2.938392644384671e-5,-4.719295148716528e-5,-0.00043759012485768253,-0.00034825328605299035,0.00023957396208948081,-0.002834016797474626
t16,-5.227012273590913e-5,-0.0003417737438034423,-0.00017070447818440544,-0.0003271679510413485,0.00010670470268359415,-0.00023391055806249993,-0.000224118520365608,-0.00021550265508128895,-0.0003430713830792006,-0.00034598410159422227,-1.5349948024695972e-5,-2.5430450029530956e-5,-4.285521176757111e-5,-0.0004153619906997159,-0.00036814684798522725,0.0001891456478602744,-0.0028257976119107978
t17,-4.559730936978824e-5,-0.0003794474176636478,-0.00016289250232605698,-0.0003448196993294743,-0.0007705543131084571,-0.0002841824397571261,-0.0002890085726553272,-0.0002834287321051003,-0.000448692141031312,-0.000454904004500892,-4.57407211986557e-5,-5.1218182716516074e-5,-7.36453362917913e-5,-0.0005261884851491534,-0.0003934419222752146,0.00014247854034146797,-0.0044112832391370455
t18,-4.957467920229928e-5,-0.00015782169155500157,-7.980449696051114e-5,-0.0003789166361160462,0.0005980818688731919,-0.0002639308798719941,-0.0003188675713653646,-0.00031298512286215773,-0.0004841060103593979,-0.0004920297796483397,-5.9509929683218825e-5,-6.321799862018233e-5,-8.737120947837997e-5,-0.0005741369590109292,-0.00046878820878327364,0.00010397564900209286,-0.0030890036556418116
t19,-4.7950986306039445e-5,-0.00016124336660086331,-8.03927769322897e-5,-0.00039245322245746837,0.00032432787408024244,-0.00027827470568639827,-0.0003576908892610153,-0.0003524059326969482,-0.000528792501678129,-0.0005373879976484248,-7.085334179392004e-5,-7.503772979885799e-5,-0.00010297234605689019,-0.0006310885053049615,-0.0004591002150829032,6.950724294079184e-5,-0.0036818094002840744
t20,-4.9457658970265546e-5,-0.00016704258185818441,-8.562007178794485e-5,-0.0004201571460121845,0.00020047801546647825,-0.00030176981071850667,-0.00038852800996150234,-0.00038396819724886784,-0.0005888527490236673,-0.0005986505492618749,-6.421621990367136e-5,-6.586804303760895e-5,-9.45063547281148e-5,-0.000722295109689966,-0.0005075451489388136,3.508290854752732e-5,-0.004202916727127167
t21,-4.7072147748691536e-5,-0.00020385889014135048,-0.00012302962919356656,-0.00046200608989541364,0.00014256518859270717,-0.00032654005738593254,-0.0004775990639532978,-0.0004802194620596376,-0.0007073408040097882,-0.000718448423926648,-8.799692103593256e-5,-8.814264728182154e-5,-0.000121589482087593,-0.0008446118782305255,-0.0005900950380088621,-7.39363261287668e-6,-0.00514337897897923
t22,-4.9094290237113424e-5,-0.0002190646432528305,-0.00013197308408922163,-0.0006926336005290548,0.00013161530310881384,-0.0003042512212092882,-0.0005749199250694952,-0.0005935656240397512,-0.0008324544263776214,-0.0008325682958739326,-9.938903969637173e-5,-9.877348031898149e-5,-0.0001359319190902457,-0.000962549325242319,-0.0006540662163302613,-1.161851135900596e-5,-0.00606123829960668
t23,-3.840658376866043e-5,-0.00018663478308523815,-8.464528696628389e-5,-0.0005419992414520532,3.6890358021097057e-5,-0.0004657644755583506,-0.0005798243964947882,-0.0005626978921527314,-0.0008776653441087403,-0.0008927188155180048,-0.00011745780825598792,-0.00011859844543347826,-0.00016160869330412533,-0.0010492946772177366,-0.0007075269096529211,-8.70241038480449e-5,-0.0064349770987960474
t24,-3.6460509023296786e-5,-0.00019553856054026138,-8.87654480432753e-5,-0.0008211158599562401,7.80268871806907e-6,-0.0005256233194211265,-0.000675345467624466,-0.0006355434470267587,-0.0010725324719506716,-0.0010865460914875325,-0.00011959257903733513,-0.0001183186459707362,-0.0001653297931524346,-0.001268489204846418,-0.000787672751616227,-9.01284905296204e-5,-0.007679199951508332
t25,-6.351864060370052e-5,-0.0001971116325677763,-0.00012025671923706023,-0.0008516909813456265,-0.00016906173914695369,-0.0005900745865251848,-0.0007275558585033522,-0.0007447503684816549,-0.0011680929630213518,-0.0011489542535519225,-9.821457683947575e-5,-9.873894041451536e-5,-0.0001393121347468108,-0.001267188943411955,-0.0008917562764634135,-0.00017909735099007083,-0.008455375965850824
t26,-4.919948816077319e-5,-0.0008710680498801069,-0.0002038079351172307,-0.000658853179065123,-0.00016378309571450132,-0.0006498971931107171,-0.0006674118674462007,-0.0006637070782770803,-0.0008444969510474895,-0.0008502739491686217,-9.859015853539129e-5,-9.986033562959226e-5,-0.00013746395173620482,-0.0009389177273334829,-0.000987976183865012,-0.00026659540211972224,-0.008151902546207249
t27,-5.12308792171185e-5,-0.0009687766006023878,-0.00020451195087098492,-0.0008729698768628044,-0.00023634991851370806,-0.0007198464757355528,-0.0006252460949650562,-0.0006175124374026538,-0.0007292364598946607,-0.0007387126891447804,-0.00010310435609352674,-0.00010509214806785473,-0.00014208385619901687,-0.0007975930481255726,-0.0011569134654575066,-0.0003217225682891783,-0.008390902825442362
t28,-5.28202657823294e-5,-0.0011829857363199554,-0.00022351276113129526,-0.0011286183010607142,-0.00031317819697064184,-0.0008292088015131906,-0.0007056237505582327,-0.0007211488568763852,-0.000818694106886908,-0.0008322660321110683,-0.00013987075481531222,-0.00013663219948634495,-0.0001806665168251165,-0.0008586262636913788,-0.0014159539514911434,-0.00041163993859026117,-0.009951446434110278
t29,-4.3439829185630594e-5,-0.0013355331683153149,-0.00023097606614484368,-0.0010618372531125977,-0.00035809684356753567,-0.0009247467305754137,-0.0006731658785479188,-0.0006569643757324714,-0.0007241293270463402,-0.0007374425023597907,-0.0001395582389839301,-0.00014086497238308053,-0.00018251782035259986,-0.0007702168907784558,-0.0017626257034122734,-0.0005183788901625939,-0.010260494490660792
t30,-7.148388018018047e-5,-0.0017173080550254162,-0.00025227293917982766,-0.001202972602445872,-0.00043442448933990756,-0.0010532657688512906,-0.0007935869659619583,-0.0007715827512453738,-0.0008387463904259123,-0.0008545421208645688,-0.00018158270317342214,-0.00018313916296026068,-0.00023254482172258245,-0.00087555983697581,-0.0022549561271197993,-0.0006433121990926539,-0.012361280814564836
t31,-7.002929304814962e-5,-0.0025836591877936156,-0.00026749082364701697,-0.001569902223700894,-0.0006955791565618295,-0.0012145863506515338,-0.0012436279845973782,-0.0012581181767054891,-0.001371116926670593,-0.0014081877993236305,-0.0002499804760061752,-0.00025711893837860244,-0.00035468376768630364,-0.0013411194588004464,-0.004092559658225756,-0.0009270622749617155,-0.01890482249675913
t32,-4.618105650544102e-5,-0.0007957770507087396,-0.00015908940301661626,-2.1205029086542637e-5,-0.0015242526466128642,-0.0014117088434509879,-0.0008667760595420481,-0.0008501746918311071,-0.0008791830594843432,-0.0008970573492958468,-0.00032207651708518063,-0.0003199016384471026,-0.00043976949407549987,-0.0007778502999619732,9.429543421516226e-5,-0.001815215243850774,-0.011031922948739906
t33,-4.154271055496431e-5,6.940799466266089e-6,-1.3174905478679398e-5,0.0009624054276643466,-3.010513535964265e-5,-0.0006528633484598948,-0.00016807949632698135,-0.00016679441683901513,-0.00012703529789473986,-0.00012949124520350054,-0.00011739652141135788,-0.00011465063373729602,-0.00011702739357189539,-6.637952119671908e-5,0.0002833315897981416,-1.818717028906149e-5,-0.0005100499793949938
