Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,Existing_Cap_MWh,minimum_load_mw,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,num_units,capacity_factor,unmodified_cap_size,unmodified_existing_cap_mw,LDS,cost_case,tech_detail,basis_year,Fixed_OM_Cost_per_MWhyr,capex_mw,capex_mwh,Var_OM_Cost_per_MWh_In,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Max_Cap_MW,Max_Cap_MWh,regional_cost_multiplier,plant_inv_cost_mwyr,Existing_Charge_Cap_MW,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Unnamed: 21,Model,MGA,Resource_Type
NENG_Rest_hydroelectric_pumped_storage_1,1,0,0,1830.0,NENG_Rest,Hydroelectric Pumped Storage,1,203.33,28365.0,107.444,53201,0.0,9.0,-0.028,203.333,1829.997,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.866,0.866,1.0,16.0,-1.0,1,0,Hydroelectric_Pumped_Storage
NY_Z_A_hydroelectric_pumped_storage_1,2,0,0,240.0,NY_Z_A,Hydroelectric Pumped Storage,1,20.0,3720.0,1.0,53201,0.0,12.0,-0.101,20.0,240.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.866,0.866,1.0,16.0,-1.0,1,0,Hydroelectric_Pumped_Storage
NY_Z_F_hydroelectric_pumped_storage_1,6,0,0,1166.7,NY_Z_F,Hydroelectric Pumped Storage,1,291.68,18083.8,1.0,53201,0.0,4.0,-0.016,291.675,1166.7,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.866,0.866,1.0,16.0,-1.0,1,0,Hydroelectric_Pumped_Storage
PJM_EMAC_hydroelectric_pumped_storage_1,10,0,0,1490.0,PJM_EMAC,Hydroelectric Pumped Storage,1,135.46,23095.0,55.455,53201,0.0,11.0,-0.041,135.455,1490.005,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.866,0.866,1.0,16.0,-1.0,1,0,Hydroelectric_Pumped_Storage
PJM_Rest_hydroelectric_pumped_storage_1,11,0,0,3693.0,PJM_Rest,Hydroelectric Pumped Storage,1,335.73,57241.5,147.909,53201,0.0,11.0,-0.032,335.727,3692.997,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.866,0.866,1.0,16.0,-1.0,1,0,Hydroelectric_Pumped_Storage
NENG_Rest_battery_advanced_0,1,1,1,0.0,NENG_Rest,Battery_*_Advanced,0,1.0,0.0,0.0,4232,0.15,0.0,0.0,0.0,0.0,0,Advanced,*,2026.5,5495,169314.966,219820.613,0.15,14037,18224,-1.0,-1.0,1.03,14037.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.92,0.92,1.0,10.0,-1.0,1,0,Battery_*_Advanced
NY_Z_A_battery_advanced_0,2,1,1,0.0,NY_Z_A,Battery_*_Advanced,0,1.0,0.0,0.0,4232,0.15,0.0,0.0,0.0,0.0,0,Advanced,*,2026.5,5495,169314.966,219820.613,0.15,13673,17751,-1.0,-1.0,1.004,13673.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.92,0.92,1.0,10.0,-1.0,1,0,Battery_*_Advanced
NY_Z_B_battery_advanced_0,3,1,1,0.0,NY_Z_B,Battery_*_Advanced,0,1.0,0.0,0.0,4232,0.15,0.0,0.0,0.0,0.0,0,Advanced,*,2026.5,5495,169314.966,219820.613,0.15,13673,17751,-1.0,-1.0,1.004,13673.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.92,0.92,1.0,10.0,-1.0,1,0,Battery_*_Advanced
NY_Z_C&E_battery_advanced_0,4,1,1,0.0,NY_Z_C&E,Battery_*_Advanced,0,1.0,0.0,0.0,4232,0.15,0.0,0.0,0.0,0.0,0,Advanced,*,2026.5,5495,169314.966,219820.613,0.15,13673,17751,-1.0,-1.0,1.004,13673.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.92,0.92,1.0,10.0,-1.0,1,0,Battery_*_Advanced
NY_Z_D_battery_advanced_0,5,1,1,0.0,NY_Z_D,Battery_*_Advanced,0,1.0,0.0,0.0,4232,0.15,0.0,0.0,0.0,0.0,0,Advanced,*,2026.5,5495,169314.966,219820.613,0.15,13673,17751,-1.0,-1.0,1.004,13673.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.92,0.92,1.0,10.0,-1.0,1,0,Battery_*_Advanced
