Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,Min_Power,num_units,capacity_factor,unmodified_cap_size,unmodified_existing_cap_mw,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Max_Share_percent,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,co2_o_m_mw,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,capture_rate,extra_ccs_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Unnamed: 21,Model
NENG_Rest_conventional_steam_coal_1,1,0,1,438.0,NENG_Rest,Conventional Steam Coal,1,219.0,100.0,12.52,88923,2.12,3.306,1.92,7967.862,0.457,2.0,0.092,219.0,438.0,16.5,new_england_coal,140.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NENG_Rest_natural_gas_fired_combined_cycle_1,1,0,1,3721.9,NENG_Rest,Natural Gas Fired Combined Cycle,1,186.1,98.195,9.06,18649,5.15,2.162,2.446,0.0,0.528,20.0,0.205,186.095,3721.9,2.0,new_england_naturalgas,104.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NENG_Rest_natural_gas_fired_combined_cycle_2,1,0,1,10513.3,NENG_Rest,Natural Gas Fired Combined Cycle,2,457.1,188.87,7.48,11067,4.08,0.477,0.467,796.882,0.413,23.0,0.205,457.1,10513.3,2.0,new_england_naturalgas,104.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,0,1,933.2,NENG_Rest,Natural Gas Fired Combustion Turbine,1,77.77,18.625,9.94,11451,5.97,0.382,0.568,2145.58,0.239,12.0,0.092,77.767,933.204,3.5,new_england_naturalgas,135.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,0,1,602.4,NENG_Rest,Natural Gas Fired Combustion Turbine,2,31.7,18.005,12.22,14149,5.97,0.0,0.168,1151.558,0.568,19.0,0.092,31.705,602.395,3.5,new_england_naturalgas,135.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NENG_Rest_nuclear_1,1,1,1,3355.5,NENG_Rest,Nuclear,1,1118.5,158.333,10.34,253085,0.0,0.0,0.0,53466.099,0.5,3.0,0.0,1118.5,3355.5,0.0,new_england_uranium,280.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_A_natural_gas_fired_combined_cycle_1,2,0,1,444.8,NY_Z_A,Natural Gas Fired Combined Cycle,1,111.2,62.4,9.08,18649,5.15,0.649,1.012,0.0,0.561,4.0,0.07,111.2,444.8,2.0,middle_atlantic_naturalgas,104.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,0,1,47.0,NY_Z_A,Natural Gas Fired Combustion Turbine,1,47.0,9.0,10.1,15769,5.97,0.0,0.0,0.0,0.191,1.0,0.12,47.0,47.0,3.5,middle_atlantic_naturalgas,135.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_A_natural_gas_steam_turbine_1,2,0,1,45.0,NY_Z_A,Natural Gas Steam Turbine,1,45.0,10.0,6.86,58012,1.19,0.0,0.0,0.0,0.222,1.0,0.125,45.0,45.0,13.7,middle_atlantic_naturalgas,99.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.57,0.57,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1
NY_Z_B_natural_gas_fired_combined_cycle_1,3,0,1,119.1,NY_Z_B,Natural Gas Fired Combined Cycle,1,59.55,42.9,8.86,18649,5.15,0.466,0.659,0.0,0.72,2.0,0.031,59.55,119.1,2.0,middle_atlantic_naturalgas,104.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
