Constraint,CapRes_1,CapRes_2,CapRes_3
t1,1.7336798149263254e-10,1.383886995792233e-10,3.3860016538040485e-11
t2,1.3825738628943582e-10,1.2037921876162485e-10,3.1335869077165506e-11
t3,1.2337580121272021e-10,1.2672413394798634e-10,3.1276883823430393e-11
t4,9.237385410402396e-11,1.2480760111108478e-10,3.2456620796953e-11
t5,1.0708093183995339e-10,1.3791086842419474e-10,3.534775999465594e-11
t6,1.2884294909294256e-10,1.4614971577655e-10,4.200084812576208e-11
t7,2.273718247181182e-10,1.560457115304059e-10,5.2067843149882707e-11
t8,2.80953610825662e-10,1.7817943709182023e-10,6.49284350220431e-11
t9,6.448273510576022e-10,1.0341417646312386e-9,7.443922413683163e-11
t10,2.1865376007745504e-10,2.3246273676155528e-10,4.6100978552242414e-11
t11,2.191926099274161e-10,2.2280641424190596e-10,3.6229493652922246e-11
t12,2.2944271098602016e-10,2.932033958500538e-10,3.4041897378143564e-11
t13,1.756090457230786e-10,2.788438330013209e-10,2.975471356679463e-11
t14,1.5353221277557415e-10,2.4219248217694824e-10,2.987051932104473e-11
t15,1.662437698829728e-10,1.6310570587837504e-10,3.132792146949441e-11
t16,1.420099780522677e-10,1.388307468764941e-10,3.1027624093488515e-11
t17,1.9575515568662787e-10,2.2769492649701018e-10,5.0177572967460566e-11
t18,2.873262438609927e-9,2.7952331476549266e-10,2.02851937480214e-10
t19,5.948805739105488e-9,2.760899583512609e-10,1.3652322758428737e-10
t20,6.362372474046534e-10,2.307157893796439e-10,7.042094090249735e-11
t21,4.853976336291062e-10,8.940757737137327e-10,5.833197036346879e-11
t22,3.3705982109131804e-10,9.102679139649089e-10,8.079671162445395e-11
t23,2.1062985370103532e-10,1.6311158214221935e-10,3.7766328538255035e-11
t24,1.6000504243440963e-10,1.4487126064586633e-10,7.484325463468285e-11
t25,3.344605324193388e-10,1.3025333793417404e-10,1.0657029338165467e-10
t26,1.406671482759987e-10,1.2459468819233867e-10,3.120518313663287e-11
t27,1.5073674798633513e-10,1.2375518329605475e-10,3.05349448605077e-11
t28,1.4852354707223952e-10,1.2663471622648858e-10,3.3251590789559445e-11
t29,1.7744060497549613e-10,1.3333924074954943e-10,3.522449630434428e-11
t30,3.9936123920694937e-10,1.4041419378941953e-10,3.9494011807733143e-11
t31,4.5776179977081853e-10,1.5983050223049799e-10,4.9449159597488364e-11
t32,2.2540116103179988e-10,2.0845081443555545e-10,6.051725359495322e-11
t33,2.157111473241604e-10,1.9385606120700664e-10,5.200435420688891e-11
t34,1.7105959510849457e-10,1.4270278539737044e-10,2.466243423814077e-11
t35,1.4309454098844974e-10,1.215746351085009e-10,2.160960201886824e-11
t36,1.355789204341121e-10,1.0443315399116368e-10,2.117062883306774e-11
t37,1.189536009283863e-10,1.0571533147427668e-10,1.9611202869940926e-11
t38,1.0871835373703574e-10,1.1470414283370372e-10,1.896035237223653e-11
t39,1.1038398395366505e-10,1.164254293070958e-10,1.9536199514524207e-11
t40,1.0203726995638484e-10,1.0662589864563222e-10,1.9889584017173556e-11
t41,3.9967497884893856e-10,1.1432396695218292e-10,2.6275448677347118e-11
t42,2.1148460625448735e-10,1.7558193768997508e-10,7.69800968691848e-11
t43,2.3382761786560803e-10,1.8572984511317735e-10,6.748605224943988e-11
t44,1.6182431310538102e-10,1.4866977697962156e-10,4.4787602932538866e-11
t45,1.5585455528010624e-10,1.493479803554875e-10,3.8961716042569877e-11
t46,1.2920321805204927e-10,1.3753914068342884e-10,3.494864666928636e-11
t47,1.0168589182347341e-10,1.2436794363459377e-10,2.7898494606654657e-11
t48,9.683057878132907e-11,1.1242758727041408e-10,2.321522683477613e-11
t49,9.864712180988486e-11,1.087493008539659e-10,2.3801345442291308e-11
t50,9.823819568670283e-11,8.992050301758069e-11,2.1001377436657687e-11
t51,9.618872332936318e-11,8.716780498001795e-11,2.0082652687228144e-11
t52,9.829529867247231e-11,8.637027493775611e-11,1.9841704063216575e-11
t53,9.805296331075703e-11,8.723632022440231e-11,2.008445312001993e-11
t54,1.0260634411255569e-10,8.999359129492097e-11,2.1208190775703463e-11
t55,1.0614290774243494e-10,9.451556349508598e-11,2.2886602777724273e-11
t56,1.072632401061267e-10,1.1323400135104119e-10,2.4081021809234338e-11
t57,1.1340459728717365e-10,1.2203047833556693e-10,2.4922721406565113e-11
t58,1.1282964943315695e-10,1.1162034910943226e-10,2.027336909461469e-11
t59,1.1796310157864399e-10,1.2289093212374487e-10,1.9897889616069677e-11
t60,1.2070036750864946e-10,1.3370460907078764e-10,1.9687872277018433e-11
t61,1.1472116956005769e-10,1.2136315680453628e-10,1.9018663669730382e-11
t62,1.1213010911624181e-10,1.1259248511549958e-10,1.8033599744153013e-11
t63,1.1313768375205106e-10,1.0613157834188343e-10,1.870753838449728e-11
t64,1.0869761847781914e-10,1.0880609464881914e-10,1.801012389460137e-11
t65,1.0907711399848678e-10,1.0958913524615568e-10,2.002104716799322e-11
t66,1.510141369531428e-10,1.262682105300137e-10,3.6921570119183674e-11
t67,1.8058100013046108e-10,1.590518855751733e-10,4.906225790424215e-11
t68,1.790236600347962e-10,1.8022188076922164e-10,4.872785069864233e-11
t69,1.652933924390517e-10,1.25327237955531e-10,4.107414725285365e-11
t70,1.295145660553524e-10,1.2067694923070768e-10,3.591740399988843e-11
t71,1.0645615494515039e-10,1.1043682081254714e-10,3.0778681557560495e-11
t72,1.0230886998604725e-10,9.968678294506112e-11,2.5956741371989674e-11
t73,9.555627285677382e-11,9.211548886481753e-11,2.249719263539581e-11
t74,9.424508386784532e-11,8.62823132470238e-11,2.0868776383817862e-11
t75,9.350509759173128e-11,8.286569887852068e-11,2.0867771342311087e-11
t76,9.197770937740853e-11,8.791826006163147e-11,2.1448679661462985e-11
t77,9.555245404299893e-11,8.663092119583868e-11,2.2409270692773122e-11
t78,1.0181321516048655e-10,8.642470607459625e-11,2.4024794169515208e-11
t79,1.0647778115171967e-10,3.0225446797866053e-10,2.061952134413368e-11
t80,1.0848501793624647e-10,9.292833616764076e-11,2.4874274709390713e-11
t81,1.163656579351184e-10,4.766866103723437e-10,2.4903948309936692e-11
t82,1.0303801358947948e-10,9.779108451323712e-11,2.0874775932804182e-11
