Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0
t1,5483.7590326952395,0.001894860648642597,0.007520080353157723,0.001773432204364186,0.0011244653364931108,0.04153776069684038,0.0019343661098581593,0.0014944742217409283,308.69738721595826,0.002328572176648821,0.0,0.0009521178444732852,0.002149793123721508,0.004207584060078339,0.0017409364918177656,27917.98476790698,0.001879752011550552,0.0020938585618997816,17438.38655073931,0.0028358954170392787,0.0,5173.238183043331,0.0011061355331402662,0.0008218528825087128,0.0017780293274311122,0.0074985308832165335,0.006174637553423245,0.0012136506116261264,0.0018977302933982732,0.0027191713213927816,0.009993807687808377,0.0011715871881797966,0.0016041081598698137,0.0,0.0033274775650363694,4187.907095331523,0.001088109393657576,0.0014674011438287919,0.0017624388116570674,0.001668452869247,75975.21665873076,0.007100020733203825,317942.6565009291,0.001863858908320133,14299.315792720146,0.0014630937069005513,0.0015873465098652703,0.0009027899400094702,0.0010203564775476306,30658.101113880195,8221.490560204404,0.0012781429916476524,0.0009096441192271444,0.0007651909310333783,6972.773210906257,0.0012510404093955675,0.0009450548808281284,0.0005676639355577545,0.015203588489462749,0.0011689593967477484,0.0009521516868383667,0.0006699796837391434,0.00453686371480848,0.0014504753029206585,0.0009749450052306718,0.0007315756318728904,0.0070765545086736185,0.001224272625528214,0.0008289685561161591,0.00069043709155678,0.006278360118619622,0.0017188365431246202,0.001019148355965431,0.0006252719387782387,0.005319270934374527,0.0013031022002685428,0.0012185100733695445,0.000990271768966908,0.00292869991214377,0.0015926964836601792,0.0008367307066962547,0.0006800109999385119,0.004478653450130742,0.0015109311488086669,0.0007166844903567018,0.0007429673485634363,0.005246261728948687,0.001654209035935459,0.0008819094281620996,0.0009538855275953971,0.0007142139251079574,19936.692296787212,0.0015931090387385014,0.0010242650638364991,0.0009195778380880462
t2,5483.759011725093,0.0017740802563314686,0.006169281655652176,0.0017493463206714878,0.0010797476935125296,0.041515873140851194,0.0018321635878063695,0.0014776589547648713,308.69731619727867,0.002158625268232904,0.0,0.0009472690325055842,0.002140306648222994,0.003910375243966496,0.0017148939123656616,27917.984727289342,0.0018283720340695957,0.0019553361226557035,14424.121028229298,0.0025993770796281044,0.0,5173.237165823857,0.001069798119100192,0.0008176271617771994,0.0017736669667236568,0.00665338771922511,0.005566427368898503,0.0011627477552754184,0.001839436002685842,0.002519903481996861,0.008670178419228548,0.001128328609807077,0.0015366117610365606,0.0,0.003078379302237788,0.030839940605030335,0.0010630497832324263,0.0014111793893309913,0.001680509560335495,0.0016525843062745937,75975.21662805523,0.0070803993949379185,317942.6554803556,0.001797035812091728,4428.170342599462,0.0014539478592678985,0.0015504660647913911,0.0008886653111916267,0.0009988687343379342,30658.101105414702,8221.49060931808,0.0012570326634579975,0.0008994343352099051,0.0007362042127135185,6972.7730222774635,0.0012329268592595232,0.0009359683286506996,0.0005530033603306874,0.015063237018346158,0.0011483440181505036,0.0009426577144466033,0.0006489883395311445,0.004457603514433301,0.0014309108019630824,0.0009656698217923403,0.0007081424765680711,0.007306897432064138,0.001208310978346127,0.0008274095936149298,0.0006739170532975437,0.006184127555991346,0.0016976773973962978,0.0010094506320427153,0.0006069832935086144,0.005229587069274054,0.0012826777323079973,0.0012079005724789926,0.0009524367142161033,0.0028650088652708255,0.0015690457101328898,0.000828083481534186,0.000659353275255607,0.004398638466102748,0.0014889007028192891,0.0007089618746916566,0.00071913497823578,0.005087202871825489,0.001619962029852185,0.0008750662579020411,0.0009233233133002271,0.000701688071904075,19936.692092101253,0.0015909686388315546,0.001019199271921711,0.0008983735477702628
t3,5483.758995021972,0.0016597911767871044,0.005139557623434599,0.0017341461950940642,0.0010347486593215872,0.04150438638694125,0.0017196670089801493,0.0014666620440720942,308.6972178979166,0.0019663822030122173,0.0,0.0009429436181738513,0.00212941541705406,0.003612281844771957,0.0016993137692583992,27917.984719292548,0.0018166663320816918,0.0017872592698386898,6351.2555521755,0.0023333776832081695,0.0,3311.0336846681034,0.0010316466382464837,0.0008142487936557363,0.0017727894243408776,0.005643864167456632,0.004945503027821245,0.0011102372559734575,0.0017842628880956192,0.002306356099311284,0.0073231973765366404,0.0010828958352912144,0.0014652209368181696,0.0,0.0028368562923653915,0.023170187470977346,0.0010385871498810558,0.0013574751195819705,0.001597508523999658,0.001647806156513848,75975.21662052993,0.007071129687312939,317942.65451255144,0.0017372928052353518,2419.922854532314,0.0014496651721176907,0.0015133088153079879,0.0008735376495289914,0.0009755235026713801,30658.10110228021,8221.483213974201,0.0012444172247344574,0.0008894181686446726,0.0007086754763878941,6972.772990095254,0.001221503483597677,0.0009253247239575458,0.0005372397372947608,0.01505362359414893,0.0011345623009735779,0.0009316782565387795,0.0006269189854470623,0.00441893418596401,0.0014197356727678422,0.0009550663306789846,0.0006837101545080248,0.007498564411879964,0.0012384347647534954,0.0008180812819634775,0.0006608655823041872,0.006159978214936893,0.0016858693939363575,0.0009985830278861206,0.0005881870227393087,0.0051952922066290175,0.0012712735724769862,0.0011956416143981512,0.0009132292608486988,0.002811636130634656,0.001556058702761373,0.0008188531389178924,0.0006382466062757381,0.0043588277143769205,0.0014757245422988973,0.000700984518887498,0.0006947629413277475,0.005073111874446495,0.0016098841739291432,0.0008676529471578964,0.0008952424713438318,0.000688718938629453,19936.692511722213,0.0015951970753946905,0.0010151543013427957,0.0008778885371421033
t4,5483.758938210467,0.0014896083669861601,0.003611388098837022,0.001662376626091205,0.0009684115332044076,0.041409260489137296,0.0015157135639248215,0.0013695988945978711,244.49052704555186,0.0016863418163994268,0.0,0.0009264008546494973,0.0020836129127112485,0.0028578733567103465,0.0016035922409779002,27917.984685514515,0.0014617572573360597,0.001319990744789796,0.005080465974484827,0.001951122359978708,0.0,0.16452273653201538,0.0009663037391139683,0.0007975071997006606,0.0017211191452400976,0.00353153329002402,0.003414342464922022,0.0010426008932716562,0.0016438652088574066,0.001927998431654041,0.00380099330280808,0.0010176932383010556,0.0013398771319490324,0.0,0.00249055180688023,0.006837608066895958,0.0009986155611319226,0.001265828589824609,0.001478090089479566,0.0015928707808816843,75975.2165473029,0.0070102404037974434,317942.65274683305,0.0016047007993240233,0.009205811752169144,0.0013875119128199625,0.0014370307062164058,0.0008503812598667933,0.0009361594204362735,30658.101025331576,2959.730239035245,0.0011773779764448224,0.0008668377113915869,0.0006622017061774951,6972.770716495486,0.0011230401681906028,0.0008992404985219929,0.0005074842335359732,0.013264534738970758,0.0010352022406593408,0.0009051977804998435,0.0005864669144557495,0.0035542295297840607,0.0013088248490458311,0.0009286169213933554,0.0006380712382266928,0.0027657563207713646,0.0010065137223745587,0.0007578672963208663,0.0005664002306236411,0.005161417105754167,0.0015679313270240227,0.0009712310661373256,0.0005537764745914472,0.004367560269590516,0.001157605108966221,0.0011620900235776964,0.0008344099691441408,0.0023112927057070257,0.001424457852935277,0.0007976444844891208,0.000599188426019452,0.0036646376656178023,0.0013462757492118526,0.0006838895393199239,0.0006492889344055484,0.004244086225677031,0.001482300601667853,0.0008495433134947151,0.0008382890373443601,0.0006583975226908513,19849.644373263138,0.0015053776912638994,0.001001049748181499,0.0008283222078959037
t5,5483.758907907118,0.0013589312853461157,0.0030006197144379254,0.0016389225218194012,0.0009144249808602408,0.04130872342941849,0.0013600599347380654,0.0013435219985791975,68.53978515192581,0.0014442932265832653,0.0,0.0009181015351467245,0.0020181165705502385,0.0024791493988350452,0.0015717145829952613,27917.98450380776,0.0014077616562039967,0.001133489215091682,0.003638534962885919,0.0016266364503140821,0.0,0.004808283834219677,0.0009173820483663595,0.0007903614344891675,0.001710236661159791,0.0025823631587340266,0.0027340419373249676,0.0009800417636232229,0.0015674733637329424,0.0016636413321648035,0.0028448046876054533,0.0009617549408279301,0.0012463870623662069,0.0,0.002220099132677105,0.005606061402639924,0.0009676523638969672,0.001199128615904118,0.0013788214368284243,0.0015753181665139084,75975.21645684699,0.006948801376061684,317942.6478216266,0.0015341733144425833,0.00809813728619385,0.0013745163803300536,0.0013899087499859321,0.0008330546363352039,0.0009082579412023429,30658.10101671969,1644.2992017948854,0.0011571164699902825,0.0008397286379458024,0.0006285977847633398,5856.450117250366,0.0010956336549513795,0.0008664676699371289,0.0004847242667740752,0.008748320469624043,0.0010066167603492502,0.0008719495955060811,0.0005561432351191226,0.002650240039830538,0.0012801647253391742,0.0008950953683434685,0.0006044624193851825,0.0018382482988557132,0.0009941597223390374,0.0007276298752858705,0.0005401476452893124,0.0038359477704834805,0.0015390516805283611,0.0009361706283634757,0.0005279262314369282,0.0032932248432252093,0.0011285242925047547,0.001118059680570139,0.0007801378869854532,0.001833472786348524,0.0013924254468451836,0.0007711304946611426,0.0005702813750169705,0.002821990562562257,0.001313826171882245,0.0006632742551137241,0.0006161634406274568,0.0034073928620545297,0.0014494058161119618,0.0008297052823953027,0.0008012132585010984,0.0006426009244197326,15539.239183455751,0.0014958463285336808,0.0009947987739874359,0.0008039107317951557
t6,5483.7587154524,0.0011922275341439354,0.0024405615867803053,0.001571390971471909,0.0008405845313879559,0.035379446401014314,0.001152214607135867,0.0012606450506898487,68.53119401168313,0.0011607271421310895,0.0,0.0008939637011991981,0.001821210554350449,0.0020141975205531597,0.0014824688119766682,25077.053219337362,0.0013788072387094302,0.001001714516068835,0.002137456275703084,0.0012555276817813523,0.0,0.002140239926731568,0.0008431344899809751,0.0007652796342907563,0.0016546710010114654,0.0016800687973207973,0.0020593603665012444,0.0009009203946994468,0.0014347051386342494,0.001341836500459279,0.002011317597572435,0.0008848971655627786,0.0011120427408147712,0.0,0.0019474272465326101,0.004932504110733265,0.0009315240949691319,0.0011243864786409583,0.0012709120719595858,0.0015473216365234428,75975.21452770625,0.006481411106199741,317942.65447982383,0.0015002565829991042,0.008591149378240182,0.0013950901627542887,0.0013600900667975224,0.0008187185304060961,0.0008869870722413673,30658.101061793746,1644.2985269225846,0.0010936225794548843,0.0007858375436399245,0.0005774505059407261,1394.5549357075547,0.001010560275049792,0.000802666802664002,0.0004472233015429333,0.0033469253361063244,0.0009199311643937094,0.0008069278091639407,0.000507587199338272,0.0012440384990733764,0.0011875563460509203,0.000828619821099536,0.0005502594295660182,0.0017719077307759292,0.0009926931248352272,0.000701655395591552,0.0005211462904678919,0.0016012251679133403,0.0014386650488666104,0.0008647131055687973,0.00048427627114894597,0.001431483394925917,0.0010322279607227548,0.0010259655922215298,0.0006936170122390448,0.0009559691497942527,0.001288547656573069,0.0007239436653477372,0.0005230581002710462,0.0012789755303348415,0.0012097221513418463,0.0006243012564933585,0.0005620135510810326,0.0022253040247708143,0.0014002196379057142,0.0007930508043552284,0.0007555274446145524,0.0006325070590590619,18113.446529919565,0.0015410065130407058,0.000986446963140275,0.0007916854090471598
t7,2506.0806753991283,0.0010539064079583486,0.0021713906946775347,0.001511037424392796,0.0007684098517362438,0.025550409624042397,0.0009770022451170376,0.0011881440793038434,68.53097311238588,0.000942669440504404,0.0,0.000865327289078296,0.001544842073456516,0.0017490387426401688,0.0014066459618971951,18097.557699636916,0.0012808968687669277,0.0008674976056035146,0.001663623166906756,0.0010038146333881139,0.0,0.001613067918224429,0.0007687922477883069,0.0007370293073926572,0.0016045332897949795,0.0012810973175538373,0.0017357013698117338,0.0008241778812239961,0.0013240421396166523,0.0011203308253300312,0.0016901877870872046,0.0008108538073680666,0.0009950724854746477,0.0,0.0016112933368050298,0.0043419801186630426,0.0008688012980856811,0.0010091632504945212,0.0011300292668058871,0.0014577419317480674,56981.4108306031,0.00509676100735737,139894.8046790716,0.0013823544794818257,0.006434415441624921,0.0013460497450022823,0.001284394572545202,0.0007915229599463988,0.0008442461753655816,30658.100153412342,1644.2983842422489,0.0010375529370600192,0.000718674749696218,0.0005277586351667127,1394.5547174482133,0.0009390581428851061,0.0007246008065648735,0.0004079750847830238,0.003127691829397045,0.0008498769602076986,0.0007275786727860246,0.00045924353379011196,0.0010327164266790874,0.0011182403808690788,0.0007486924370500087,0.0004983825271857127,0.0015971416881663488,0.0009304273639306193,0.000650091003322335,0.0004771623219101406,0.0013785754231330006,0.001366511545608707,0.0007791452937151428,0.000441666699603925,0.001189281146669265,0.0009628350830348864,0.0009140261450806647,0.0006181537420736705,0.0007200544789869095,0.0012116899112553966,0.0006619013495556512,0.0004763652329048006,0.0010265526017576455,0.0011339359683260146,0.0005789859009675073,0.0005108301452306817,0.0012239658893020463,0.001272913006700493,0.0007276358223289259,0.0006766444503674291,0.0006025713631750248,5353.964438893528,0.0014751040935543972,0.0009414168202521294,0.0007435441304466442
t8,2506.0806602316206,0.0010015607229450533,0.0021058236665590087,0.0015030104389813135,0.0007376539139410254,0.021317942068942948,0.0009140014747411611,0.0011780862577447425,68.53096602157797,0.0008647986503428488,0.0,0.000862078979242666,0.0014315757881455573,0.0016779537742424525,0.0013987193649921638,13958.99283714385,0.001257741066157565,0.0008074178894781453,0.0015692500607832913,0.0009198401982353845,0.0,0.0015254228267012285,0.0007411922624641057,0.0007347841559239562,0.0016034713996258174,0.0011880051050228565,0.001664089973880955,0.0007859465889339838,0.001289756213993747,0.001053464389983949,0.0016229819780552276,0.0007780179875154448,0.0009502063397333987,0.0,0.0015050081891760565,0.004270803635285458,0.0008510819494130563,0.0009756297200508815,0.0010791232850202576,0.0014566872861248674,37987.60943165831,0.0043330865422544895,139894.7696267865,0.0012008160668627607,0.0055511253346380565,0.0012364918511397736,0.0011557907180265632,0.0007426650437412464,0.0007696543920572734,22993.575424932806,1644.2983794466309,0.001031256007152642,0.0006940120916503178,0.000510685198415069,1394.554707365743,0.0009285774244799081,0.0006953797806982481,0.00039548582502639475,0.003118720945358637,0.0008386164173922087,0.000697786906428277,0.000443223846086944,0.00102803132414706,0.0011107705411665509,0.0007197089361190537,0.00048195156012368506,0.0015926353583168911,0.0009241111929170793,0.000631635349063536,0.0004633956949593807,0.0013734294665192035,0.001358410650943501,0.000748308377859033,0.0004284209487615624,0.0011845392637104056,0.0009549848448894634,0.000873023847333457,0.0005954628632223942,0.0007162277120921686,0.0012039635426986978,0.0006393520561432008,0.00046237547935403076,0.0010222040448963391,0.001125904079029543,0.0005628240598955526,0.0004952927934983756,0.0012203063174681683,0.0012674688516771018,0.0007038390164788267,0.0006598822825592482,0.0005443966053511333,3987.338721134953,0.0013408492173600096,0.0008431860252740189,0.000654784356144363
t9,2506.0806691228695,0.0009691126439597379,0.002071417237728582,0.0014981403204767643,0.0007176986832071542,0.02129659078913455,0.0008760592848075529,0.0011697777356875561,68.53096103903201,0.0008199921139364476,0.0,0.0008596846827907421,0.0013977986811037817,0.0016383598746198258,0.001394261825420748,13958.99283576648,0.0012428935404810053,0.0007720636768089865,0.0015225858698654493,0.0008741066765196546,0.0,0.0014832103467535777,0.0007226334721506693,0.0007330155748327456,0.0016024902718796267,0.001139919261312627,0.001625979841716318,0.000760712028671651,0.0012674639631572136,0.0010175077699907593,0.0015898860642025875,0.0007564984048783602,0.000922532175553916,0.0,0.0014433143618251157,0.004237879036220178,0.0008401046299502322,0.0009554801418347835,0.0010498645169215697,0.0014563536452086977,37987.60913160859,0.004200984642432682,139894.76961451178,0.0011558965108232878,0.005461863353559662,0.001228563314838006,0.0011198846609491516,0.0007254419870671314,0.0007450316381744713,15329.052215511865,1644.2983769231669,0.0010276750827715316,0.0006860046721238849,0.0004996417169612337,1394.5546997402735,0.0009201405797529489,0.0006854494261268916,0.0003869737379490502,0.0031119907893654283,0.0008297617372116738,0.0006875626073549427,0.0004321995723018053,0.0010247567025074226,0.0011053738818073595,0.0007102840520271705,0.00047100977564454197,0.0015894050719566079,0.000919858913970482,0.0006254827153055726,0.0004543482529971053,0.0013699466932602866,0.001352774920480052,0.0007384775020633121,0.00041960488430674265,0.001181474876824463,0.0009495910776439883,0.0008603626319998245,0.0005812850471191835,0.000714210899642377,0.0011984501783766875,0.0006318334579332776,0.00045315196727025944,0.0010213566663089012,0.0011210702709839571,0.0005582045425180849,0.0004856795019951166,0.0012194982423143397,0.0012633279703133438,0.0006979929484050136,0.0006510394838388052,0.0005297091902956102,3987.3387121790306,0.0013361204574693628,0.0008004054697887742,0.0006348362814009224
t10,2506.080666114514,0.0009486854156317125,0.0020526225491943645,0.0014958497974481122,0.0007058709157449203,0.021297158827760586,0.0008528094211698467,0.0011637403519603746,68.53095829068151,0.0007927360338089189,0.0,0.0008582590613848641,0.0013878144962534184,0.0016156133346101034,0.0013931573169830085,13958.992835641215,0.0012345136189380428,0.0007518882070579304,0.001497461931551988,0.000848154629378871,0.0,0.0014607192864670587,0.00071080449493967,0.0007322546919690024,0.0016020027933243467,0.0011127846796939252,0.0016043749742528457,0.0007455360549572212,0.0012544019060703035,0.0009960916836566473,0.0015707227744611075,0.000743064368697308,0.000905548806291564,0.0,0.0014072024408645135,0.004227816680064647,0.0008361713050098314,0.0009477017713623249,0.0010380006590800172,0.001460128770546717,37987.60919251433,0.004229202283798148,139894.76961721727,0.0011326363971976003,0.005423123562593538,0.0012280119153008089,0.001102401028713047,0.0007163721250740495,0.0007318848629519143,15329.051974925893,1644.2983757137306,0.0010261065528503655,0.0006835924939805801,0.0004926906112453429,1394.5546950564035,0.0009146003210949083,0.0006823249303438873,0.00038159058656298184,0.0031075266102343346,0.0008234810392880831,0.0006840275003004141,0.00042487346285516406,0.0010232186796062357,0.0011028147872395512,0.0007076356882945233,0.00046422779433736184,0.00158774950979094,0.0009179494440807251,0.000623736626574611,0.00044888189670657394,0.0013680412550285057,0.0013497232909207503,0.0007355894498564552,0.0004139779467044725,0.0011799212405402394,0.0009465927001858874,0.0008569516617435458,0.0005728865680078481,0.0007134105313737631,0.001195617530372682,0.0006297357752695064,0.0004473626682829839,0.0010201077592931385,0.0011178411531615761,0.0005569459290208833,0.00047928942230700196,0.0012254828442340945,0.0012647302256039849,0.0006991246963120421,0.0006476341838710083,0.0005224517988632843,3987.33870944065,0.0013380932910201657,0.0007883685681234766,0.0006260119243822467
