Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,3.8501631183721195e6,809027.6065283733,3.801958497792631e6,3.6351019704134967e6,1.1842089960678529e7,2.4860077979183686,1.6746870405804957e6,121723.0825717257,634.3871248076745,41699.651842638086,1.320415938734532e6,121195.27816018347,33.416490590340445,9.837353079077284,795780.1782763824,1.0833200554833142e7,24502.38132234186,18559.017455930927,36810.59315902425,4096.927906221242,22461.839896863814,41516.62931700422,147610.23569135703,49401.94690853342,398833.8345883192,1.7588041450848137e6,328423.18572463695,86252.13105753537,65644.79064680834,130016.53566410937,15104.034135846303,79957.3677693558,147906.72767998738,526989.5248003186,181948.84069704,1.6769583903367014e6,5.069768729552637e6,1.3887696348039925e6,5.1048060449959904e7
t1,0.00010438575981087626,6.139068356527767e-5,6.767366662382742e-5,7.773578555953142e-5,8.762009030840655e-5,0.0002879599512651874,0.00030626269136463765,0.00028908326989749545,0.0002847174462518558,0.00012041041732430666,0.00030869222117269724,0.00029583104100212567,0.00027942473491923334,0.00028380858482176803,0.00016252422859139727,0.00031842993124148574,2.6612535438290323,2.0165379476865497,4.007138733454709,0.44554406397232077,2.4370966541318864,4.539692603960365,16.23165940331192,5.52102026725452,42.66324452658263,169.08661789666886,36.891495119742395,5.429481925190599,4.121918708833131,8.144237387196993,0.9464080194770781,4.981176148095621,9.215194189985608,33.00042370002836,11.245033229816366,99.06191539895093,328.61118236615795,83.76165118482989,875.0232589696615
t2,0.0001195196995058039,6.282398902383679e-5,6.891522386077586e-5,9.623252227395497e-5,8.574604606519241e-5,0.00016365769891662013,0.00018218683887133118,0.0001701898311569984,0.0001624713564464646,0.00011749017851911736,0.00016538114429438095,0.0001574612267792064,0.0001474324359513618,0.00015036147583959758,0.00014163402106428082,0.00023097068180553113,0.5095706541215839,0.3861892430992719,0.7670678868880022,0.08581429481361719,0.4666551319608409,0.8689913551401404,3.105995032125382,1.0567495603231842,8.175679203204545,48.44987124355152,6.916365864926625,2.1970319719844067,1.6679283828977298,3.2955531477422646,0.38296238671348354,2.015625332424498,3.728914096877809,13.35356979021657,4.550285333613898,40.055742142362895,142.79850401763474,33.22782899697024,318.0651175439636
t3,0.00013234078606995202,6.0040853664426563e-5,6.409806527814745e-5,0.00010282219877267489,8.199871310696743e-5,9.220729547971312e-5,0.00010382083990778905,9.710009638536353e-5,9.216135109514322e-5,3.700805477183379e-5,9.308662582663281e-5,8.810925582071149e-5,8.279575597472891e-5,8.500191197032079e-5,8.873823855557418e-5,0.00010214465446224052,0.3007746222210635,0.22794666223309207,0.4527678040007845,0.05064954580774302,0.2754421146068619,0.5129307257865298,1.8333708216487183,0.6237588530107081,4.862742750240942,22.955069941833496,4.024460743118331,1.8083192081583221,1.3728276470266396,2.7124838673679688,0.315206319789728,1.6590081041030396,3.069172143420278,10.990979727655416,3.745221788933688,33.169965150902506,105.89908735786254,26.973886516332126,227.83747589075767
t4,0.0007446911628117529,0.00014196581606262625,0.00015573728548563711,0.0002707628104962263,0.00018001937755883688,0.00015913087489905699,0.00020059695977810035,0.00018742176569883445,0.00017349601235634967,0.0012364278639773834,0.00017276793537961645,0.0001623536055214443,0.00015157435299543984,0.00015324690611079407,0.00017219786621942759,0.0010268122368295035,0.12893625914161222,0.09771497594223959,0.19409977085930424,0.021222427083500427,0.11807899318464551,0.21989256594740075,0.7859857816094229,0.26740637386969396,2.0917010127161526,8.120571139141546,1.6953460862548777,1.274962758384173,0.967916806570757,1.9124498023579657,0.2222291250817505,1.1696901846611831,2.163935060954549,7.749255784148802,2.6405882091367547,23.423454449880733,76.77071364954715,18.688913751105122,150.73035417041152
t5,1061.063581253716,0.0002145578959001854,0.0003311539693179059,0.00036767787948347613,0.00019400260424063347,7.542827146981602e-5,9.28185468212493e-5,8.63908337297556e-5,8.067052680330352e-5,0.0003179790583620162,7.782971423311032e-5,7.397278077677838e-5,6.951225410868652e-5,7.22060306884267e-5,0.00012352148314276296,0.0003244604566134019,0.2695034004389914,0.20425329252119404,0.405678801636961,0.04538028206552758,0.24680803375107274,0.4595810631123235,1.642602275831991,0.5588754407527192,4.353935661474104,19.09606933390419,3.5005951705151723,0.24003873262416103,0.18222896785609022,0.3600634994748038,0.04183078184785954,0.22021850595669515,0.4074125431396128,1.459006211256363,0.49715610656935827,4.397198188066156,20.188340809584496,3.4762201009236704,1123.3190806393247
t6,1829.9998398301238,239.99972568810932,1166.6996891507072,1237.9012083340133,0.00011310184410418382,9.077513826118001e-5,9.276977375743451e-5,9.359747229935725e-5,9.384388412829543e-5,9.589061568542441e-5,9.315441308534506e-5,8.924504483568493e-5,8.633306603455242e-5,8.938813244813873e-5,7.235571875780411e-5,9.6064808498759e-5,0.2864156904718378,0.21706968196349813,0.43113743989334835,0.04822791677919803,0.26229519396958323,0.4884233136986713,1.7456985678108545,0.5939500954914492,4.674709023913492,22.982449370596065,3.690773041356382,0.7236167505311805,0.5493476534054187,1.0854323643715482,0.12612366431630226,0.663867163369213,1.2281671270152388,4.398208588101985,1.498699597747986,13.354175319706746,40.38209168813832,10.401849780928613,4584.4342985564435
t7,1829.999946283943,239.99994181839511,1166.6999417803952,1489.9999057526281,252.62794007148682,0.0015033289269671055,526.3295748721474,70.34444489544698,0.4769591510523177,29.38068889052463,797.1126101483841,93.61758215415992,0.02716391421222567,0.009968710539725409,761.6553615089582,4.658812382948153e-5,1.6363446245983277,1.2470536071893692,2.455201352647119,0.27634908786586804,1.506939057441211,2.7800589405568648,9.903340035949482,3.299931564525006,26.594863945308322,146.7864490428594,20.457118603816976,1.038470297879807,0.7846113566425792,1.5504554988293142,0.1814475829448707,0.9450189276099806,1.7690031991281634,6.360853605404735,2.032963955178406,19.89766226316183,81.95074854758616,14.765286675313945,7606.5037516417615
t8,1829.9999460771278,239.99993809798184,1166.6999374307836,1489.999903808489,3692.999901433429,0.0008654339844119403,918.2607696614455,39.16425320820524,0.24738541099155484,14.712491858168482,1205.3561372420031,47.306990554403555,0.011972120258655712,0.006697960699749164,276.24266245809036,6563.377991211144,4.882276129795762,3.714709505686564,7.314407440564004,0.8227811911325211,4.469113019408643,8.31218148782142,29.526765990652592,8.606087257235082,78.59480155608637,334.40194740139225,58.71526607467946,1.8484763508865274,1.396206767217953,2.7504584861854013,0.3222022134640122,1.678124865516864,3.1324104232068173,11.230900946685086,3.540890559485004,34.89736376080948,109.8091741604777,25.087419191223976,18219.44180874682
t9,1829.9999465015835,239.99993804874646,1166.6999368795498,1489.999905734706,3692.999904300535,0.0005767461687874775,689.5328943178845,24.729991296248347,0.15256182346043992,9.99760475738733,486.95870519838707,28.452191253190502,0.007334978578057208,0.0014074752970887293,138.50215921958105,3270.4997830493935,4.945370287049392,3.7619470344103756,7.322176848432089,0.8268685122944264,4.48176725742984,8.32076823582159,29.307048694937873,9.343274418213804,78.61730984359367,355.78331100749,60.452160324115205,3.781066220825442,2.858092662143498,5.602096609559589,0.6571892633950719,3.425584547755616,6.381068133269073,22.822613830130667,7.596371319322914,69.66585153313906,219.93296055157842,52.25109423537173,14026.670832950975
