Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0,Total
Zone,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,11,0
AnnualSum,7.868863061693588e-5,0.0006836331718174184,724.4376029020199,0.0010272622601297928,0.0023714042177702976,1.3845180121470433e-5,0.0013291098691889957,0.0016164933584835266,0.0010685255845379851,0.0028165955789364342,0.0,0.0003090056068775794,1.7918917681399048e-5,109.08375959682513,0.0005422130541669763,2.2614030474901527e-5,0.00045609893406469955,0.002150627100686954,1373.169556677927,0.0020620323909210357,0.0,71.00022270220144,0.003523904249542199,0.001615566225071582,0.00280564882936392,10.011420711294575,62.499581970974894,0.0033229816240566284,0.0018837463711362562,54.126856168795314,104.97016424256265,0.0023945399732660665,0.0018711197339773104,0.0,249.0865030780401,453.4718726695515,9.778297116524639e-5,0.001992766832712756,0.0011557937884101599,0.00026755142027796547,1.5961114536250942e-5,1.0406722745938935e-5,0.00013391838676983818,1754.0599894606455,1575.2818506533965,1815.0260100258167,2317.366491558596,0.001263088323134747,0.0032340940801608574,2.106211732744743e-5,0.00014691277799069763,0.0005122536307481812,1.376755506380634e-5,7.64466688697265e-5,0.00015770187828865572,0.0005766640280111973,1.5912407970433995e-5,6.618651566391969e-5,0.00012461519013796094,0.0005455190902282423,1.57902687050899e-5,7.316201622680922e-5,0.00010359810782747855,0.000565572733018594,1.5502040396825243e-5,7.549095485844514e-5,0.00011140027956591402,0.000545382154617687,1.4799869724039998e-5,7.628240787568643e-5,0.00010838020842068708,0.0005990118929792847,1.5770603926227556e-5,6.685598182643952e-5,0.00010221241251244613,0.0005351568549561196,1.645760048859314e-5,8.659291515696853e-5,9.130430623904671e-5,0.0005577608648803618,1.3800878985486203e-5,6.720605474623796e-5,9.69422472219678e-5,0.0005451480251152266,1.2739681592280071e-5,7.060331630437482e-5,9.930712844343886e-5,0.000524554947966341,1.344797825236523e-5,7.895950913942737e-5,8.244487699337348e-5,0.00016364150053859502,0.0006169161643102198,1.4275941195404347e-5,9.24896437544618e-5,10673.642563361402
t1,1.1078503865822735e-8,1.2804536614810266e-7,4.580129179867401,1.3987866964672987e-7,2.904358513954539e-7,2.1844700731634924e-9,1.6848674190313663e-7,2.2146257784056712e-7,2.6207016619595756e-7,4.238400444248174e-7,0.0,2.5810052170587202e-8,2.4443525367768886e-9,4.2196959636772535e-7,6.451509428864796e-8,2.478020375362129e-9,7.301212772899025e-8,2.0459427800731965e-7,1.874168812374641e-5,3.4184009923209776e-7,0.0,1.7439688761195077e-7,4.045963181733145e-7,1.335039832076239e-7,2.782205280597396e-7,1.7518437854601538e-6,1.5185983646520958e-7,3.387151832023196e-7,2.5597216247799254e-7,4.876174267514975e-7,8.737515766728056e-7,2.5483725362743723e-7,2.5465128690089575e-7,0.0,2.157428814422282e-7,5.701229235511391,9.438751792745847e-9,2.508266578660822e-7,1.501943266306216e-7,2.6911441099827842e-8,1.8299659297699362e-9,1.4881101747339148e-9,1.705334516166933e-8,1.2362055534689948e-7,1.4103556049371055,4.096378276708992e-7,9.254745606895788e-8,1.0205168872721005e-7,2.531144160614647e-7,1.8662625070550045e-9,3.708007335834451e-8,7.711695829632844e-8,1.930609260713332e-9,1.4086006062260607e-8,3.4804234892703336e-8,7.406200714991082e-8,2.0211634714416278e-9,9.2058710625653e-9,3.1244573379547337e-8,7.785300479044658e-8,2.06782044157866e-9,1.110043199072842e-8,2.0549343017138515e-8,7.722149176438943e-8,1.9973271157123417e-9,1.1927006517716311e-8,2.202141979680013e-8,7.400582521602856e-8,1.911074772493406e-9,1.175426468296003e-8,2.2554955124422868e-8,8.177278320419755e-8,2.04297763595761e-9,1.0122016505455445e-8,2.1562309287135977e-8,7.775296287898392e-8,2.200772785562693e-9,1.567958211207669e-8,1.8011409344825964e-8,8.557683794139569e-8,1.8314951243058973e-9,1.0736004654920368e-8,2.0845621152158023e-8,8.653006218311479e-8,1.686822720384432e-9,1.1880859804824393e-8,1.9525197910715324e-8,8.279636809145709e-8,1.749235104757867e-9,1.381604015814515e-8,1.0930447270218386e-8,2.2663734460534293e-8,5.570265232252782e-8,1.677070734317707e-9,1.3010599341139738e-8,11.691743849059273
t2,1.1246254367924224e-8,1.3215615233244445e-7,9.181661493725097e-7,1.384810694539028e-7,2.96666453310238e-7,2.219680447809793e-9,1.8822045695924018e-7,2.248983592175486e-7,2.7775438833254603e-7,4.6217189464957e-7,0.0,2.6180022064772054e-8,2.5076175743263236e-9,4.816899038370073e-7,6.550267556193382e-8,2.5515332126269406e-9,7.633650102591378e-8,2.3995070767261875e-7,0.5182788755748456,3.715284025073003e-7,0.0,2.436990779936911e-7,4.178401995383789e-7,1.3510943639531177e-7,2.763573616642831e-7,2.0269336534669634e-6,1.7801322631278898e-7,3.376938806204061e-7,2.692260026759904e-7,5.28606215184504e-7,1.0613625280564422e-6,2.582730968650239e-7,2.698426132316178e-7,0.0,2.3147853452003417e-7,1.3705905166406818,9.496207179377995e-9,2.590327526336697e-7,1.5592052320009044e-7,2.691955996031988e-8,1.8421314235322923e-9,1.4861336960343634e-9,1.770116857723456e-8,1.2778105368961273e-7,3.4810786371002527,4.127819963152375e-7,9.475464933587583e-8,1.0078918497026205e-7,2.537455179724793e-7,1.8925802689364557e-9,3.4885878289617445e-8,7.642089390154836e-8,1.937578686311258e-9,1.4415114747760789e-8,3.751883580155133e-8,7.61910585906749e-8,2.058205151769055e-9,9.62151428984702e-9,3.2941073509832324e-8,7.969845307956777e-8,2.1049630597979902e-9,1.1573163226002015e-8,2.1004595558551818e-8,7.787553281379916e-8,2.0193512142870024e-9,1.2435596761459422e-8,2.227231515792595e-8,7.492599362968992e-8,1.9291047434502513e-9,1.2417099100978993e-8,2.3047042340339203e-8,8.233787756605995e-8,2.0666313061720838e-9,1.0462820152731043e-8,2.2044526803043784e-8,7.816226302497745e-8,2.224501471485319e-9,1.664692159447238e-8,1.830101163625928e-8,8.563979417612826e-8,1.8458266679592374e-9,1.1097279014238233e-8,2.117539182463447e-8,8.647912190766481e-8,1.6955804804372937e-9,1.227986441345423e-8,1.990747128633634e-8,8.197955963064765e-8,1.7254882862447225e-9,1.4169680780098926e-8,1.1123523052612698e-8,2.235135456281507e-8,5.567565363144664e-8,1.6705440903042289e-9,1.3298067410794253e-8,5.369960947777406
t3,1.1483774661090458e-8,1.379264596038314e-7,7.278760560738018e-7,1.36894456220759e-7,3.0625899446586923e-7,2.255214096522553e-9,2.1192696371758134e-7,2.2844299923069803e-7,2.961403995192925e-7,5.176661970926042e-7,0.0,2.6570423041607137e-8,2.5728749222921824e-9,5.702025269627674e-7,6.662322521039814e-8,2.628848124943639e-9,8.015736130693754e-8,2.939140625896507e-7,2.1388813228970527,4.1535769265826416e-7,0.0,6.531822651483236e-7,4.3432128299809146e-7,1.3679800803199189e-7,2.742924521106516e-7,2.5157326958230713e-6,2.1810691445630328e-7,3.4264823505067053e-7,2.8504630641839793e-7,5.891043163917157e-7,1.3505158863411377e-6,2.6559168036736067e-7,2.902442927272816e-7,0.0,2.4546841889585817e-7,2.8768222739759665e-6,9.605628692970109e-9,2.685222747974367e-7,1.6314064805466416e-7,2.692605949564726e-8,1.8949717983046916e-9,1.5125148997609705e-9,1.833008851478534e-8,1.318835800619478e-7,0.9271299418502471,4.1617423012703995e-7,9.808063892553662e-8,1.0056207514780699e-7,2.568686686329571e-7,1.9544091735045193e-9,3.3107564859827606e-8,7.572410222160017e-8,1.9416525302723448e-9,1.4880622724232008e-8,4.1056207050410084e-8,7.845548420153921e-8,2.0949183795823597e-9,1.013743545893327e-8,3.5251193295770724e-8,8.169499250833225e-8,2.140488727800389e-9,1.218916001946642e-8,2.1663421398140755e-8,7.852899419015263e-8,2.040188604917283e-9,1.310260047451063e-8,2.3255131725453045e-8,7.592226910884628e-8,1.9479908461443704e-9,1.3297088000878107e-8,2.378090632256482e-8,8.286336544822111e-8,2.087825852397786e-9,1.0924991182746932e-8,2.277048316234523e-8,7.86566988880984e-8,2.2461811252184437e-9,1.7919513774592312e-8,1.8790319652517526e-8,8.57288955782916e-8,1.8593954016304083e-9,1.1597987233799154e-8,2.179677243420399e-8,8.649724185179238e-8,1.7089320277355682e-9,1.285263889518368e-8,2.0260910737826296e-8,8.107929587599803e-8,1.7362674583817532e-9,1.4667157171410327e-8,1.1401189880225338e-8,2.2392086782408304e-8,5.55639662789218e-8,1.6935906915403738e-9,1.3755164279226713e-8,3.0660285960399296
t4,1.1838038934876328e-8,1.501552279138349e-7,8.324501482253104e-7,1.356741027934713e-7,3.23730201841346e-7,2.299978244406602e-9,2.522939006294176e-7,2.325449063323565e-7,3.1822645206973464e-7,6.31919281127009e-7,0.0,2.7007352106223323e-8,2.6434112629178427e-9,7.590063331216206e-7,6.797443767509844e-8,2.7336480454625506e-9,9.553408833784196e-8,6.482579494294178e-7,4.049023456477,5.21983666850036e-7,0.0,0.9999451833927566,4.578867872201478e-7,1.3870222366639503e-7,2.722719530003178e-7,4.478687013626911e-6,3.539038763008467e-7,3.5738529223150837e-7,3.0726180423203106e-7,7.18789847318716e-7,2.7284536023058173e-6,2.7945226739671825e-7,3.226163886749717e-7,0.0,2.7367689303802474e-7,5.203309607608432e-6,9.808755183157637e-9,2.843070180540804e-7,1.7561021226377527e-7,2.6959827106847958e-8,1.9623945588520225e-9,1.54657214855864e-9,1.9455943557831756e-8,1.3920889818484934e-7,0.9879700489228417,4.213000592151936e-7,1.0334609741112318e-7,1.015269954639986e-7,2.639473089952583e-7,2.0271666829943486e-9,3.087167865073724e-8,7.520253784138914e-8,1.945741079666606e-9,1.5675565640891576e-8,4.652137802904024e-8,8.105508518588188e-8,2.132568240482198e-9,1.0860876535006835e-8,3.887156742335442e-8,8.40664270906273e-8,2.1773569521927655e-9,1.3090153286353926e-8,2.2644977119224008e-8,7.937815246612195e-8,2.0612811498463203e-9,1.4089119463419438e-8,2.672788688803618e-8,7.912726609525558e-8,1.9778400185056804e-9,1.547460245708328e-8,2.4972519307527802e-8,8.355609624263062e-8,2.1091274550434502e-9,1.1619134040039703e-8,2.3941058926301494e-8,7.943550181603171e-8,2.266990772934307e-9,1.996219546608225e-8,1.9540588851396805e-8,8.606617255216589e-8,1.8735986711138093e-9,1.2358729234452302e-8,2.2818435801231787e-8,8.680702143634824e-8,1.7209413039575568e-9,1.3734850543942928e-8,2.0862177749136762e-8,8.0217923059986e-8,1.7460334258281243e-9,1.5470589765347153e-8,1.1878031919436724e-8,2.2866456570176034e-8,5.5458390589256394e-8,1.7153567991686136e-9,1.4500799242249395e-8,6.036962509921312
t5,1.1896624359928992e-8,1.4704059993036005e-7,4.1174991913818574e-7,1.311320434282564e-7,3.287392978423789e-7,2.281297930761353e-9,2.6410397877203683e-7,2.3138596170652894e-7,2.895827635376113e-7,6.252829585050362e-7,0.0,2.7261855495929638e-8,2.6799720349989646e-9,6.944522437762076e-7,6.75820095817901e-8,2.7610147974389666e-9,7.579358626605266e-8,3.135430653954819e-7,9.457450562281713e-7,4.926766350881622e-7,0.0,5.141615481499829e-5,4.6505786287000367e-7,1.396250092416532e-7,2.685071382739441e-7,2.4402612765549776e-6,2.414411133854577e-7,3.6198592290130114e-7,3.1110737024803467e-7,6.859691945587677e-7,9.894882549779228e-7,2.8463849514334157e-7,3.334901410453409e-7,0.0,2.631503959984817e-7,4.362129677639982e-7,9.807931662218711e-9,2.854745094821385e-7,1.7686964647705214e-7,2.6682126227793385e-8,1.9814003866690827e-9,1.5504117916053331e-9,1.845478208605558e-8,1.360673106731095e-7,5.075578016332528e-7,4.1758581157810816e-7,1.0410000035105099e-7,1.0108121798467646e-7,2.639032831248307e-7,2.051633836046673e-9,2.7357346691757193e-8,7.290903867805796e-8,1.9341194718309004e-9,1.588339928842433e-8,4.149651456768204e-8,8.179009916610822e-8,2.1530989730995327e-9,1.1319262259345965e-8,3.510910795620384e-8,8.44490973296765e-8,2.197815244228156e-9,1.35968381992459e-8,2.1293211758844564e-8,7.831981889186524e-8,2.0665068134549392e-9,1.460407271892372e-8,2.3230908829681175e-8,7.404749881972379e-8,1.9486571476078413e-9,1.4262278439176083e-8,2.3234601308215792e-8,8.217317912175245e-8,2.1140943815393167e-9,1.201657702162697e-8,2.2387960208122846e-8,7.833083311677389e-8,2.2653624135746332e-9,2.08925815530126e-8,1.867502786987113e-8,8.415801195177237e-8,1.872873567033801e-9,1.2760582524429435e-8,2.1425019270556965e-8,8.486270034177116e-8,1.7214106864773303e-9,1.4165174849299029e-8,1.94944538498845e-8,7.761754014162343e-8,1.7420981645545165e-9,1.5642579343858158e-8,1.19672568649002e-8,2.0332256796300745e-8,5.4405034679355795e-8,1.7230113882598085e-9,1.4623046192608012e-8,6.707652066792352e-5
t6,1.1969673293524781e-8,1.4772719672161813e-7,3.0025983254554945e-7,1.2645021948599354e-7,3.392293000105077e-7,2.253362431018191e-9,2.859295679079366e-7,2.2960663972423883e-7,2.642141758414434e-7,6.689352619030095e-7,0.0,2.7512696957110846e-8,2.6676361381867087e-9,6.562651134601372e-7,6.699388506591195e-8,2.7684640581859127e-9,6.283763972946531e-8,2.341389103179314e-7,8.87357445779911e-7,5.25132308123927e-7,0.0,7.991256714325549e-7,4.7672658807556986e-7,1.405520229780292e-7,2.646684595438426e-7,2.129412848874273e-6,2.0082932089982608e-7,3.75139794576041e-7,3.142522101741094e-7,6.934150082059127e-7,7.173396182036342e-7,2.9502741085463363e-7,3.495636570345909e-7,0.0,2.5682666263363016e-7,2.2856710189143739e-7,9.855648640459025e-9,2.876968911631853e-7,1.7993446042827985e-7,2.6345448125851082e-8,1.9779526240546655e-9,1.5355824752402936e-9,1.749054747537558e-8,1.346665810664533e-7,2.8549338357599086e-7,4.1397557407489856e-7,1.0583017704737614e-7,1.0165063390504251e-7,2.6691132007266476e-7,2.071075549882672e-9,2.4232730766882934e-8,7.055680871968192e-8,1.9175151665324233e-9,1.6257482294653724e-8,3.627228152766011e-8,8.232883368104887e-8,2.1686831773066277e-9,1.1894318441254107e-8,3.153178280032024e-8,8.466960678459108e-8,2.215478061521806e-9,1.425079739594907e-8,1.9949752975056912e-8,7.704704433043509e-8,2.069788019707698e-9,1.5265627198861177e-8,2.0183357947369956e-8,6.96741199044766e-8,1.9224388411804323e-9,1.3369578988867593e-8,2.1557938372073185e-8,8.056669610537444e-8,2.1153181076194203e-9,1.2548430623001116e-8,2.0849844760576666e-8,7.70466736212792e-8,2.2638708128777585e-9,2.206941636052768e-8,1.7769523090824434e-8,8.204855893580677e-8,1.8583403160034634e-9,1.3284268882352733e-8,2.0015408221388236e-8,8.27240874210484e-8,1.7184068470469684e-9,1.4731722127722662e-8,1.809773550226166e-8,7.506260611997241e-8,1.7320352865517364e-9,1.5867458688766846e-8,1.2258881177441255e-8,1.835864579976073e-8,5.3544992735293914e-8,1.7224245753504381e-9,1.495939477696213e-8,1.5201681687389688e-5
t7,1.141847519342169e-8,1.235865932035951e-7,1.389417352346649e-7,1.170224243831538e-7,3.212393544663522e-7,2.0758219881876725e-9,2.440754626084849e-7,2.187832429833913e-7,2.3055332494684694e-7,5.176173634785261e-7,0.0,2.728968541924487e-8,2.5790444760925038e-9,3.9449009162979625e-7,6.316837328587632e-8,2.6220856314675464e-9,5.610331989739851e-8,2.1463792886673564e-7,2.765236262582778e-7,3.627262878492329e-7,0.0,1.5098936835647756e-7,4.5281362483354417e-7,1.391570854734173e-7,2.5734348363835953e-7,9.292695376673879e-7,9.147333239910033e-8,3.6213042432069274e-7,2.816167760398972e-7,4.879442915387996e-7,2.6707726355711756e-7,2.8342912535667805e-7,3.147769757464253e-7,0.0,2.4552824205707465e-7,1.2771685631547505e-7,9.819780811500435e-9,2.8418576990341623e-7,1.7963857361294443e-7,2.5784892101979294e-8,1.8287178179662475e-9,1.4533936444913982e-9,1.78324546784341e-8,1.4526371020504204e-7,4.6392482222040555e-7,4.1676344303412423e-7,1.1333290420611093e-7,1.0513095250663794e-7,2.818896422832292e-7,2.1241762528800374e-9,2.0826407074299346e-8,6.555453576420502e-8,1.8575225125492067e-9,1.5317316731726603e-8,3.012374496529502e-8,7.832747017182912e-8,2.119904707861658e-9,1.1573804779396511e-8,2.665840482013099e-8,8.018186110774738e-8,2.1530081590000555e-9,1.3733172013351578e-8,1.7645739859561892e-8,7.201878121566304e-8,1.9981138250171882e-9,1.4541304043988818e-8,1.786514863654014e-8,6.564721499365143e-8,1.8554713307474221e-9,1.2961443090453297e-8,1.8853771651996783e-8,7.494836693341728e-8,2.0407801204282113e-9,1.2102036275836249e-8,1.824052345934863e-8,7.216066162254496e-8,2.178533335311978e-9,2.0345290232325118e-8,1.595873545058632e-8,7.592771010030895e-8,1.8161518776338576e-9,1.2786569486193304e-8,1.7625449712068698e-8,7.656280777746206e-8,1.6668707768003717e-9,1.4051351116112627e-8,1.648316443356576e-8,7.043320287959932e-8,1.6923572538513754e-9,1.5698334177476113e-8,1.3019311516609579e-8,1.7522323267138895e-8,5.240773336398219e-8,1.720914839499682e-9,1.5985654309159175e-8,1.0960882838152628e-5
t8,9.967055358906409e-9,7.993806480526118e-8,5.625719753132217e-8,1.0128973501503274e-7,2.580954294516246e-7,1.869471803391686e-9,1.4156399957535396e-7,1.9319081014976201e-7,1.851956565597917e-7,2.5230171771798693e-7,0.0,2.6401939106353143e-8,2.4417741519805438e-9,1.7670123209369477e-7,5.510715625823438e-8,2.3425016113625696e-9,4.280620476001854e-8,1.2767255492837212e-7,7.840613464840756e-8,1.610665702558291e-7,0.0,3.593673989282321e-8,3.671508632571534e-7,1.3428638014010128e-7,2.4585698622570504e-7,3.015623367465638e-7,3.384866376941905e-8,3.0143214982989634e-7,2.1069724014911263e-7,2.3490640762907688e-7,9.022373720374893e-8,2.3414774590562909e-7,2.2091844110305665e-7,0.0,1.2926237350530853e-7,3.482702601763517e-8,8.676727953445294e-9,2.136623968809847e-7,1.2657788012130062e-7,2.405100647862788e-8,1.6240491522839765e-9,1.3223147183759348e-9,1.664126401131124e-8,1.4739322326051583e-7,2.1725547984601226e-7,4.1281615343009764e-7,1.1814086179093234e-7,1.0834285350666425e-7,2.9362085447593837e-7,2.0786851414158113e-9,1.6969849536522673e-8,5.702197944580442e-8,1.7765354600476975e-9,1.2410523186990081e-8,2.316742515192024e-8,6.943055842084633e-8,2.0233363091288312e-9,9.893517189534177e-9,2.1055737418266112e-8,7.071535949166971e-8,2.055385890916076e-9,1.1387926932284516e-8,1.4889996298791132e-8,6.316858003729403e-8,1.9047796586466807e-9,1.186784611389137e-8,1.5107080797237922e-8,5.867453258680673e-8,1.7755400369067056e-9,1.0923843794796146e-8,1.5695347814202722e-8,6.520542883222977e-8,1.944874174856916e-9,1.0238264520669412e-8,1.5242721415408112e-8,6.329615772437824e-8,2.070464582802933e-9,1.4532507619792351e-8,1.3666122284935396e-8,6.570500487111611e-8,1.7319420532104964e-9,1.0693433244175049e-8,1.479707588270041e-8,6.620724286458361e-8,1.5977946048264694e-9,1.1503680827093559e-8,1.3955819754197244e-8,6.115771337338143e-8,1.6250969114872565e-9,1.2548043749674972e-8,1.3605888185419198e-8,1.6201732046839283e-8,5.155426390819419e-8,1.7058809949659895e-9,1.6652357511504867e-8,7.259231241436769e-6
