Constraint,CapRes_1,CapRes_2,CapRes_3
t1,7.999759505366422e-11,9.809178880966668e-11,2.2609895989620807e-11
t2,7.956792396684747e-11,9.654271013466026e-11,1.67282819368728e-11
t3,7.873362399504702e-11,9.622105144749622e-11,1.6073222416696057e-11
t4,7.925757158337689e-11,9.718516393346485e-11,1.5933684587519232e-11
t5,8.036234472053018e-11,8.962348996836997e-11,1.6098407039962135e-11
t6,8.617480286963406e-11,1.2258511756790308e-10,2.14834200377378e-11
t7,6.299905484162298e-11,1.1463734104956585e-10,1.2471307103995741e-11
t8,7.135416305719428e-11,9.962975032150161e-11,1.2562426916682792e-11
t9,7.616547254307339e-11,9.387307312057122e-11,2.3575671612328297e-11
t10,7.049094427708265e-11,1.0517740039444673e-10,5.828992790216866e-11
t11,7.086912887369073e-11,1.1858205701839216e-10,4.238760348626624e-11
t12,7.489442707672928e-11,1.2388863209948303e-10,1.2235018028615193e-11
t13,7.470204898381172e-11,1.173996679453842e-10,1.3209376614869855e-11
t14,7.869728720324427e-11,1.422379845984307e-10,1.512342801838419e-11
t15,7.562231204493458e-11,1.311513865965688e-10,1.595182509538197e-11
t16,8.44747577651039e-11,1.2664185717661854e-10,1.4584156326081003e-11
t17,1.0565509726819737e-10,1.1432797474351277e-10,1.620542818512504e-11
t18,1.0710723916643618e-10,1.1660049107544941e-10,1.8680385631024585e-11
t19,9.297397143004193e-11,1.4389334615433933e-10,2.4734364847309526e-11
t20,1.0361947923205352e-10,1.7550470133997594e-10,3.43258035395022e-11
t21,1.1103951437722746e-10,1.6074049433370228e-10,4.8223441939602586e-11
t22,1.0198111254531825e-10,1.1883814540890648e-10,3.6178490183688333e-11
t23,1.3591600947036353e-10,1.1325544062665352e-10,3.561060621394604e-11
t24,9.789628523172247e-11,1.386224958938876e-10,3.137157322891478e-11
t25,8.955228059164715e-11,1.3310317014775634e-10,2.6745184865381994e-11
t26,8.74576733951357e-11,1.3482081776743522e-10,2.8086931293265835e-11
t27,8.933173914642434e-11,1.1809307252281836e-10,3.209389476730889e-11
t28,1.1871943880452207e-10,1.500486019071026e-10,2.555485191098891e-11
t29,1.2000537675569528e-10,1.3321066454094535e-10,2.6432715332406842e-11
t30,1.3856225923819152e-10,1.4089662463315267e-10,3.415017688577974e-11
t31,1.1570593839078552e-10,1.4485062305041164e-10,2.975289323987215e-11
t32,1.1497151935635267e-10,1.3215333846638948e-10,2.5242071377739053e-11
t33,1.2344244437379256e-10,1.4800563032052384e-10,2.1590994753492244e-11
t34,1.666591790035846e-10,1.474867590821571e-10,-5.6813013253826195e-12
t35,1.7436030288479807e-10,1.5745369230703887e-10,3.634752242487669e-11
t36,1.4551078363716455e-10,1.5672373721887996e-10,4.929852492339201e-11
t37,1.332130929600369e-10,1.2837246366049966e-10,2.5885345092676177e-11
t38,1.387199264359899e-10,1.630999251298891e-10,6.947890769204778e-11
