Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,0
AnnualSum,-0.4207852240636647,-0.35498412582510724,-0.35213259484285825,-0.38938841436613597,-0.38726437350781845,-0.17223159837728247,-0.2896899340605422,-0.31548070018539226,-0.4134127536772842,-0.347620181058485,-0.42503542615545076,-341.1916073780596,-170.6494393205956,-0.31844236059398145,-3549.208305817002,-0.3670759042638652,-4065.602896106635
t1,0.00011744631310577785,0.000348018849209872,-2.0096288188315604e-5,-4.2881009121062695e-5,-5.832975159134273e-5,1.7389991487989728e-5,4.315514880465798e-5,4.262991484797856e-5,4.0706566800300426e-5,4.108840017311151e-5,2.5581839184720277e-5,2.480227832872744e-5,2.46007550417658e-5,2.4054187564293165e-5,6.814137774949508e-7,0.00011158245145205433,0.0007404310608780229
t2,0.00012716027588207906,0.00028888906104869666,-2.0194387708782722e-5,-4.083786588955789e-5,-5.45464383893403e-5,1.3640065892444057e-6,2.3430102190735956e-5,2.2770373093208896e-5,1.9348245089187127e-5,2.0052286362841047e-5,4.425531366760298e-6,3.8109140192065375e-6,3.6159817214531472e-6,2.6245832462548792e-6,1.1881717253683462e-5,6.080209051331875e-5,0.0004745964763889893
t3,0.00015092826142630255,0.0002768342610387971,-2.064054112233957e-5,-4.412996454495335e-5,-5.145600023398513e-5,-9.547657702724209e-6,-9.449408685333344e-6,-1.1158403988566335e-5,-1.3824258555929893e-5,-1.2521416443112803e-5,-1.2451807746857245e-5,-1.264947144205118e-5,-1.2528385492974113e-5,-1.3215689596445834e-5,5.294757958738713e-7,1.5451783687622834e-5,0.00022017077639332339
t4,8.205375615442813e-5,0.00026808308249381805,-8.556703238355465e-6,-4.200940093615949e-5,-4.749428273657517e-5,-2.9735730316514927e-5,-5.080463930586193e-5,-5.006629720863e-5,-4.8563963076738546e-5,-4.720442438095342e-5,-4.2186463393190464e-5,-4.018433088099261e-5,-3.922586743491026e-5,-3.940649166712234e-5,-1.28399661025649e-5,-1.6040158765752744e-5,-0.00016418188079607605
t5,7.669114621350655e-5,0.0002484334387536534,-2.190186321640944e-5,-3.910023103270809e-5,-4.724530660329087e-5,-0.0001013466596679763,-0.0001707722723356133,-0.00016386105085266947,-0.00015747954426746676,-0.0001583442949932025,-0.00014377073703772335,-0.0001428445236487602,-0.00014235036922885142,-0.00013932928643213083,-2.4704429468066066e-5,-4.6370455636776306e-5,-0.001174296439454485
t6,-2.039892478254551e-8,1.4443389543228897e-6,3.107295158404294e-7,-7.091833423313274e-5,-6.197072001506049e-5,3.7986130000632417e-6,-7.85021201160064e-6,-8.24461129194241e-6,-8.123774440981579e-6,-8.093510760505185e-6,-7.534365952580697e-6,-5.543149066043354e-6,-6.231164485562495e-6,-7.1716911104749445e-6,-0.00019980276567854193,-0.00027368534242711506,-0.0006596363589280974
t7,-1.0269510979849177e-7,2.7122925755249718e-8,-6.688237861143119e-7,-1.6384078480764308e-7,-6.5496159740057756e-6,0.00012167739689409213,0.00011017552323990374,0.00010781427242634135,0.00011234002746168161,0.00011132847444381235,0.00011371027825664789,0.00011207778024990209,0.00011084014497337773,0.000105617796389579,-1.1760884683892083e-5,-5.223932717833016e-5,0.0009341236297441447
t8,-4.5342691320066065e-8,-7.565193318908024e-9,-6.816632104619696e-7,-8.93996802092787e-8,-1.4416852737909622e-7,0.00011984300713364011,0.0005481582639541311,0.000564392821165699,0.0007349416670338064,0.000638401547955055,0.0008005131231724642,0.0007328930759282583,0.0006692815088209352,0.0006011369959542144,0.0007867905764874588,1.3699718999969716e-5,0.0062090841673029425
