Constraint,CapRes_1,CapRes_2,CapRes_3
t1,3.5355670810471103e-12,3.5954515706343137e-12,-3.3370403991028484e-13
t2,3.535399861419549e-12,3.174678494938196e-12,4.802472385151724e-13
t3,3.499608648511737e-12,2.922402789389724e-12,4.702377000165818e-13
t4,3.4977929009151673e-12,2.6825125400107895e-12,4.574130191943646e-13
t5,3.48268351427727e-12,2.7074422243230986e-12,4.48916265350581e-13
t6,2.6850234764122746e-12,5.054055947249961e-12,-3.2111434504325105e-11
t7,1.878066694025243e-12,2.7850105698701057e-12,2.0220997279023606e-12
t8,2.102923612846556e-12,2.9516303219742434e-12,1.3234873852713377e-12
t9,2.248154403646196e-12,3.064427072626376e-12,-6.197084495223319e-13
t10,2.216090858641085e-12,3.1510688151037185e-12,-1.0605767334180546e-12
t11,2.441472087330997e-12,3.1981361972871087e-12,-2.7587032552468327e-12
t12,2.9280336551711407e-12,3.1391677612804157e-12,5.137868683720287e-13
t13,3.2820125457526024e-12,3.107145792685335e-12,6.424601957569011e-13
t14,3.3863203744781757e-12,3.0468409437051936e-12,7.105539983972171e-13
t15,3.142516866946882e-12,3.0730498730567238e-12,6.697289534334559e-13
t16,3.316771241188905e-12,3.1037034842966265e-12,5.999657793237667e-13
t17,3.655119295354352e-12,3.304871378016259e-12,6.302134897566943e-13
t18,4.237973826744796e-12,3.489830722370029e-12,6.592777966634454e-13
t19,4.144543513753804e-12,4.427404242729788e-12,6.895741979714981e-13
t20,4.32475851867321e-12,4.909078652979383e-12,8.594275572004513e-13
t21,3.71026488330556e-12,4.840723818821494e-12,-3.4297959838833247e-12
t22,4.1728679597814735e-12,5.177858604277472e-12,8.460252245868367e-13
t23,4.077023474852139e-12,4.7463053963398384e-12,8.153705872995969e-13
t24,3.853566913441283e-12,4.259302992013111e-12,7.140394812942382e-13
t25,3.447730526824845e-12,3.735756089885237e-12,6.034039714240408e-13
t26,3.2949500066513325e-12,2.071990493092154e-12,3.6281970964875366e-13
t27,3.322792726122437e-12,3.327209308162559e-12,-7.165386371832502e-12
t28,3.3450739661471773e-12,8.232410572800482e-12,-3.157387731619418e-13
t29,3.404997536174239e-12,4.52388647586303e-12,-9.742238066230575e-13
t30,3.0055663178669695e-12,4.867439518598617e-12,-4.4393463154471185e-12
t31,3.4777717776568107e-12,1.8489469142662983e-12,3.7357731943834665e-14
t32,3.673711517330022e-12,4.729363028042948e-12,-1.526547569982861e-12
t33,3.884060085743119e-12,-9.023847228637729e-12,1.1978780365612841e-12
t34,3.915614862837937e-12,-1.1255829423439158e-11,7.2143480600540996e-12
t35,3.96625193038003e-12,-1.5538357927947598e-12,2.2174455219193357e-12
t36,3.909466972772819e-12,6.715035301195537e-12,1.9904093723087596e-12
t37,3.972327792214721e-12,6.7102252050348976e-12,1.348590260430766e-12
t38,4.399126790090977e-12,3.687860213996272e-12,6.438006927352772e-12
t39,4.57843692556364e-12,6.502036314399024e-12,1.4456090681150288e-12
t40,4.5321273885849864e-12,6.744386405089202e-12,8.779773356508405e-13
t41,3.0882100624276046e-12,6.78468434346007e-12,9.883482625199803e-13
t42,4.5691389740130345e-12,6.388798471660943e-12,9.98746019142348e-13
t43,4.8043253821950736e-12,5.937675502110222e-12,7.039920309113509e-13
t44,4.578942157141632e-12,4.9689513818441786e-12,1.895701965328082e-12
