Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,297909.690904294,0.0,0.0,297909.690904294
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,1.0611241704655983e6,0.0,1.0611241704655983e6
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,19313.66014826767,0.0,19313.66014826767
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,503633.87176608806,0.0,503633.87176608806
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,82991.18061659421,0.0,82991.18061659421
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,139529.30756529467,139529.30756529467
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,292130.61524619744,292130.61524619744
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,402918.57526044507,0.0,0.0,402918.57526044507
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,0.9681183497167738,0.0,0.0,0.9681183497167738
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,8.416883875103354e6,0.0,0.0,8.416883875103354e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,858455.740697638,0.0,0.0,858455.740697638
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,554151.0267446417,0.0,0.0,554151.0267446417
NENG_Rest,NENG_Rest_nuclear_1,1,1,0.4434763768269641,0.0,0.0,0.4434763768269641
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,0.17919363376002637,0.0,0.17919363376002637
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,37127.36492679,0.0,37127.36492679
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,35547.47744841777,0.0,35547.47744841777
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,94082.32368820766,0.0,94082.32368820766
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,0.09592695727957563,0.0,0.09592695727957563
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,0.058392040630524465,0.0,0.058392040630524465
