Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0,Total
Zone,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,11,0
AnnualSum,8.818646330890624e-6,6.444589985370369e-5,438.30110138264916,0.00011054388012708631,0.0002460545134414628,1.8432692326043571e-6,0.00011045479562674748,0.0001740218247400728,0.0001662704914970532,0.000201358118926745,0.0,3.471964632825524e-5,2.888649011824821e-6,0.00016099161799254194,3.372897844401877e-5,2.5411802346746977e-6,3.959268095772028e-5,0.0001232787662632423,0.0001039946244923097,0.00010693780349863665,0.0,35.99999855087105,0.0003301245336128812,0.0001795727663888607,0.00030617157788448966,431.6075783367303,37.52139099391318,0.0011128765000192747,0.00040413032041067726,80.9964257988677,127.99991793178272,0.0002580611478521494,48.07526932027096,0.0,0.0005576891829493182,330.32874759214775,1.1192781442441878e-5,0.00032663383722908755,69.16143993890255,81.46657697413653,1.7084691834011499e-6,1.28963525980279e-6,1.2505487356017892e-5,431.99600034571597,252.89040793831853,891.014587854014,0.00015454049623182735,0.00012927100492438615,0.0002940808242900346,2.0920767920790395e-6,1.730391373397802e-5,6.701681287628059e-5,1.669629151354602e-6,8.814960528068903e-6,1.184734195745812e-5,6.525180072820377e-5,1.7821063822648891e-6,9.0148432069537e-6,1.05987390847564e-5,6.935195438339396e-5,2.062675200011582e-6,8.665830384753755e-6,1.2308132759520674e-5,6.851733252859771e-5,2.1118183792366315e-6,9.003563937965915e-6,1.804660284334877e-5,6.384267399618841e-5,2.108582052889997e-6,7.821417282828639e-6,1.1642522731885895e-5,6.983623952510347e-5,1.7602114611384222e-6,7.4118605502053136e-6,1.0567481600626971e-5,8.570007268933273e-5,1.804675371120718e-6,8.480911236765733e-6,1.0928606624901105e-5,8.270173735524761e-5,1.6977808136076352e-6,8.401292531045553e-6,9.468977228995184e-6,7.137151260920494e-5,1.474683729445101e-6,7.4798041168052395e-6,1.3969169521630479e-5,7.340045660412491e-5,1.7576649809689063e-6,9.695670714722138e-6,1.0073322342095105e-5,1.9809482387235906e-5,7.950273709963073e-5,1.7608089589658463e-6,7.956479488332599e-6,3257.366283179243
t1,1.217712676933317e-9,1.3397420417667713e-8,2.1723661802676504,1.2831575647625978e-8,2.861740455152225e-8,2.500985428900595e-10,1.0381315755765064e-8,1.794486066542105e-8,2.0464785313007188e-8,1.8023102253469654e-8,0.0,3.067524643150232e-9,4.4698477312012247e-10,1.3609305205767574e-8,4.311217796265623e-9,3.133960337827357e-10,4.383098216671933e-9,1.1734038849828619e-8,9.244046300066766e-8,2.0566696983128316e-8,0.0,0.40343001767916603,4.0704839971685126e-8,1.6730553000970557e-8,2.8641377222175454e-8,7.220727273192962e-7,1.4244685074680244e-7,3.265576398669915e-8,2.993308995364317e-8,5.1463308825182364e-8,1.9999848822773771,2.5810243911646188e-8,2.726663023747334e-8,0.0,1.3722448723721242e-8,3.069680044762005,9.694944818891937e-10,2.1345555509874135e-8,1.2238796153411377e-8,2.4507647535181946e-9,1.9643758000389795e-10,1.8364080826902478e-10,8.31758176478407e-10,5.439956111217903e-9,8.707243751857194e-10,2.9751012946122114e-8,5.957896318594619e-9,9.688628063695578e-9,2.1195367757040924e-8,1.5270806526962014e-10,3.736512173047764e-9,8.33292677932763e-9,2.2976947809944075e-10,1.3736007100189606e-9,1.60796695489408e-9,7.764927202387814e-9,2.406006376573995e-10,1.2238844480598651e-9,1.3980416982896606e-9,8.44134116438638e-9,2.8589852839345155e-10,1.1767915885787452e-9,1.6425897400850795e-9,8.07595258443251e-9,2.8450372908967126e-10,1.2733599898861444e-9,2.0657820168292994e-9,7.393893485201374e-9,2.8784798433734635e-10,1.0203041514262901e-9,2.140857196279256e-9,9.349879212434631e-9,2.443483566743349e-10,1.100656615145648e-9,2.01011376298197e-9,1.2388761156278776e-8,2.625530609372861e-10,1.3554500037780998e-9,2.191892872803236e-9,1.1684861571220412e-8,2.461384970170403e-10,1.4178471070563311e-9,1.5044561347880716e-9,9.053979890178868e-9,1.978433807818958e-10,1.0997536388571535e-9,2.434172080097572e-9,8.441250556757434e-9,2.296925666307734e-10,1.4880499176439838e-9,1.0074655703494844e-9,1.0523753289817468e-9,5.914580507167107e-9,1.9085285193273417e-10,8.51633402461591e-10,7.645462777423735
t2,1.2166725424051391e-9,1.3170803753700229e-8,7.423881041398316e-8,1.2706339529032556e-8,2.8819716144565632e-8,2.4848573857370796e-10,1.1527922483888764e-8,1.837002697473761e-8,2.042881897412813e-8,2.0106367227288317e-8,0.0,3.108763717138234e-9,4.5777517219810844e-10,1.5176359499990018e-8,4.375865594542173e-9,3.1750394921027817e-10,4.695329245156252e-9,1.3188987820435463e-8,8.12920349214963e-8,2.202936921916652e-8,0.0,0.5965694811649117,4.170963445816367e-8,1.6865320397352842e-8,2.8619030755025478e-8,3.185211615884786e-7,5.312995725024347e-8,3.320705911402864e-8,3.1236921655737936e-8,5.059213740873911e-8,2.2672677120947035e-7,2.6097172414387087e-8,2.7856030492521896e-8,0.0,1.3480351864194733e-8,4.793666765654188e-8,9.677537551774552e-10,2.1372712487708955e-8,1.2232050891759631e-8,2.441100268693069e-9,1.9386837473180237e-10,1.8083551317558962e-10,8.205192108867113e-10,5.383212420875776e-9,8.556088783042097e-10,2.9592651355693464e-8,5.959179621717056e-9,9.723030782359394e-9,2.1276667290453582e-8,1.5165112487606496e-10,3.3970028390724145e-9,8.349369316970149e-9,2.289856167765921e-10,1.3926436273503355e-9,1.6817025592612218e-9,8.054625897467224e-9,2.435636715233608e-10,1.3219359218581381e-9,1.4651787220616325e-9,8.755999271020929e-9,2.899439207598084e-10,1.2681418498857369e-9,1.6953235140134133e-9,8.269916592577737e-9,2.8687593808303484e-10,1.3631292967509196e-9,2.163319975359516e-9,7.639509687597616e-9,2.919114387703439e-10,1.0888591216323182e-9,2.183827978757396e-9,9.507616844445793e-9,2.458227137141957e-10,1.1528652453387009e-9,2.044888695192399e-9,1.241141427792015e-8,2.6356725231891575e-10,1.4214681891126942e-9,2.2263105666370974e-9,1.1742672543506747e-8,2.4684287061363123e-10,1.4890436596670985e-9,1.5180466250441813e-9,9.068804180936154e-9,1.974725546738218e-10,1.12821917907555e-9,2.368070433750491e-9,8.426388893058455e-9,2.3057042505721323e-10,1.5176318669436265e-9,1.0162394890658558e-9,1.0412808118066706e-9,5.88776851837546e-9,1.8967779068980746e-10,8.601306763645819e-10,0.5965709914045041
t3,1.216359972649587e-9,1.2865728770057316e-8,4.0852482471283986e-8,1.2540667029747714e-8,2.9145722861413607e-8,2.4703022386800374e-10,1.2951951966261993e-8,1.87959096655183e-8,2.012041352009183e-8,2.2672050530027057e-8,0.0,3.1497924328097717e-9,4.676128621441892e-10,1.700995949765942e-8,4.436660563350586e-9,3.20906735975862e-10,5.041414402381398e-9,1.50013654567066e-8,6.48173511123217e-8,2.37389262220381e-8,0.0,1.0623473804312896e-7,4.300801064852235e-8,1.7001265134915977e-8,2.858274425167801e-8,2.1143749749377893e-7,3.33728790830503e-8,3.415898837955212e-8,3.272736180709758e-8,4.982034327931006e-8,9.824117481931026e-8,2.6587037026899947e-8,2.855827885980498e-8,0.0,1.382735786175352e-8,2.1741538885880064e-8,9.743247690714138e-10,2.1789022833654596e-8,1.2557085803694343e-8,2.4401596970171126e-9,1.936461971250227e-10,1.7972270369648819e-10,8.078736028036858e-10,5.279659142796479e-9,8.38379700525126e-10,2.931804958346304e-8,5.9432807531677775e-9,9.706698717885146e-9,2.1157528254627638e-8,1.5131649523823182e-10,3.097417863338946e-9,8.36471762306677e-9,2.27961918801168e-10,1.4167758888614035e-9,1.747393267245649e-9,8.367224995655383e-9,2.463502933425705e-10,1.4402666216852761e-9,1.5293847537517052e-9,9.08786803408113e-9,2.9348568798153757e-10,1.3774833398049286e-9,1.7313652141480485e-9,8.46220298157842e-9,2.886897787218614e-10,1.4678085288739383e-9,2.2346394826180277e-9,7.899755459416044e-9,2.954434973601012e-10,1.1692382106252721e-9,2.198743864593412e-9,9.658223782411438e-9,2.466891329889908e-10,1.2162149776457016e-9,2.0587465669739297e-9,1.239812304472176e-8,2.6409515982742546e-10,1.5043041312111809e-9,2.2377207158298565e-9,1.1774353073899856e-8,2.4726873598943996e-10,1.5760637050866797e-9,1.5231339296294308e-9,9.070894504431652e-9,1.9767826676764651e-10,1.1621624512799766e-9,2.2785415396062985e-9,8.379429263732122e-9,2.3154437991586682e-10,1.549293085724488e-9,1.0098792889811128e-9,1.0193199675123852e-9,5.817260136448364e-9,1.892745413401677e-10,8.593869319291521e-10,1.3014420887451926e-6
t4,1.221779689156222e-9,1.2957352341073716e-8,3.046396296649224e-8,1.2385310555755553e-8,2.9938963593674016e-8,2.4674795923841663e-10,1.4911628491340164e-8,1.9248776896476236e-8,1.9655372738900786e-8,2.629074900216907e-8,0.0,3.193097875575372e-9,4.772716958132844e-10,1.9378529641478148e-8,4.4990474415409554e-9,3.2499074130563855e-10,5.4548243989292595e-9,1.762591708495743e-8,6.016943705059538e-8,2.6444727588178188e-8,0.0,9.394603388872391e-8,4.492455157820135e-8,1.7151490391768438e-8,2.8547047834457667e-8,1.8203564599517116e-7,2.783992879639545e-8,3.585956832692168e-8,3.474199519074874e-8,5.032309812098013e-8,7.152588401353312e-8,2.738092743555516e-8,2.9608483396934192e-8,0.0,1.4362046173151767e-8,1.3854930744253514e-8,9.951775388816246e-10,2.2611861654083067e-8,1.3144912981739235e-8,2.4478941345936693e-9,1.9558203346606198e-10,1.8044578423000323e-10,7.930926242073211e-10,5.164860061377177e-9,8.214909649596546e-10,2.9013428234629265e-8,5.903170936358418e-9,9.67377614803123e-9,2.099183747369536e-8,1.5049110005749467e-10,2.8511591722733977e-9,8.403944401055164e-9,2.27028631949832e-10,1.4579147856643233e-9,1.81046429319212e-9,8.723908049788343e-9,2.4857355375219243e-10,1.5946536384401501e-9,1.5948297717568402e-9,9.458412962678586e-9,2.9641368134736846e-10,1.5190161267063305e-9,1.7579516368354299e-9,8.668006721809096e-9,2.897809722898376e-10,1.6004803556053608e-9,2.2977529555237603e-9,8.192642608563825e-9,2.9835292416546194e-10,1.2705719818507507e-9,2.203504792211836e-9,9.820608374140756e-9,2.4708338617715465e-10,1.3003307270806744e-9,2.06770549713603e-9,1.237869998558714e-8,2.6400922555687935e-10,1.6181174475699028e-9,2.2427827458189437e-9,1.180629539025057e-8,2.4727605106437096e-10,1.6943106131202722e-9,1.5276248786749228e-9,9.075003360330381e-9,1.9724389337200538e-10,1.2067298300748978e-9,2.2014182480569303e-9,8.345648934507399e-9,2.3254991780615002e-10,1.60686664833163e-9,1.0008849820362569e-9,9.957220531644311e-10,5.751043711070809e-9,1.884631976304848e-10,8.553400421815171e-10,1.230715264467957e-6
t5,1.219199224053761e-9,1.2704741531332317e-8,2.1996432280306885e-8,1.2132751247862897e-8,3.061915353137137e-8,2.447938164192493e-10,1.7623899329548376e-8,1.969050008371913e-8,1.9041529883801845e-8,3.1503734336427143e-8,0.0,3.2357417288666136e-9,4.847490207590843e-10,2.2032232760980636e-8,4.547576428450481e-9,3.264004261653984e-10,5.895938687414851e-9,2.120150800306249e-8,5.33350665051836e-8,2.985488479057265e-8,0.0,5.6442203630246927e-8,4.708741650213601e-8,1.7276640420452998e-8,2.8471329005921832e-8,1.5544447295555697e-7,2.3218593912130927e-8,3.815587924533418e-8,3.670774631600706e-8,4.9452383703169945e-8,5.068986717962254e-8,2.821057987614307e-8,3.0404053646183005e-8,0.0,1.3511774256711294e-8,8.837678451666867e-9,9.91756403677891e-10,2.231205759178668e-8,1.3025676265892804e-8,2.430390662803804e-9,1.9390711325762466e-10,1.7860226508369568e-10,7.754467696030709e-10,5.043899509892251e-9,8.045825362040511e-10,2.86998603955062e-8,5.8465877588062106e-9,9.629027216872336e-9,2.0791098281758398e-8,1.4916672860328204e-10,2.619615620521649e-9,8.405189768836269e-9,2.256278594204692e-10,1.493614732110711e-9,1.860221270325662e-9,9.109766720665303e-9,2.4977606396569707e-10,1.7941576790499007e-9,1.6536497203665994e-9,9.847597616240187e-9,2.9805854803696207e-10,1.7013272204314925e-9,1.7593219862455046e-9,8.849448964415892e-9,2.894464159953906e-10,1.7561611548174385e-9,2.2978361352442018e-9,8.489227600138004e-9,2.9972005559389336e-10,1.391161184774187e-9,2.172315980367373e-9,9.9468785688469e-9,2.4653893506000944e-10,1.4016882662508488e-9,2.0411750236765224e-9,1.2261682169728534e-8,2.624890030507688e-10,1.7524053790913527e-9,2.204628927260327e-9,1.1753924642213088e-8,2.4631796196539064e-10,1.8315449169330997e-9,1.5148471655491252e-9,9.027933921820926e-9,1.9609447387600054e-10,1.2508133541177642e-9,2.041094512916977e-9,8.242379169284931e-9,2.3120288401960545e-10,1.6012999812978416e-9,9.88878896523123e-10,9.70128508348923e-10,5.6851104348654425e-9,1.8732781681296132e-10,8.483210135014257e-10,1.1457714604419053e-6
t6,1.220683144886851e-9,1.2667253584567157e-8,1.7210478624373287e-8,1.1860053986253247e-8,3.175427523318265e-8,2.436406206114245e-10,2.2323930487387707e-8,2.016918289654805e-8,1.8430949397446267e-8,4.1239247389173297e-8,0.0,3.282009452499823e-9,4.853380318786018e-10,2.5575388846664177e-8,4.598767096948651e-9,3.188793630076222e-10,6.426675414094952e-9,2.8071587075713634e-8,6.055480204921353e-8,3.6786206853688934e-8,0.0,5.932660980090137e-8,5.051320581748731e-8,1.740985057436581e-8,2.839263462516676e-8,1.6476379229727902e-7,2.3803446388916403e-8,4.215554124711117e-8,3.93757746727876e-8,5.025965579126752e-8,4.127510033120535e-8,2.948028100828552e-8,3.157637132504181e-8,0.0,1.2665143004918208e-8,6.126850716026786e-9,9.885353304311994e-10,2.2054548590448353e-8,1.2849517153665816e-8,2.4048215008076935e-9,1.904982695023436e-10,1.753852961033424e-10,7.557945503927924e-10,4.933727392493725e-9,7.876226274228244e-10,2.8395795226757677e-8,5.776174915637419e-9,9.581077022506497e-9,2.0582088698704826e-8,1.4707734665304586e-10,2.4207078649525855e-9,8.417618604227203e-9,2.2485010273057318e-10,1.5437546558870312e-9,1.9051472040056644e-9,9.566663127266496e-9,2.501511304035134e-10,2.0884942986131686e-9,1.7083405602615565e-9,1.0286637840920157e-8,2.9863961868937066e-10,1.961416058918173e-9,1.7483308723070012e-9,9.037365353998254e-9,2.884121982797268e-10,1.962631676936529e-9,2.285500944500043e-9,8.823788468850839e-9,3.0016271348260616e-10,1.5505610005465046e-9,2.128975170420067e-9,1.0075571771902557e-8,2.4544741906621566e-10,1.53852940364218e-9,2.006827536506772e-9,1.2126544362390318e-8,2.608645849514455e-10,1.9409954496397397e-9,2.155262943599971e-9,1.1690036518932137e-8,2.4388253041789903e-10,2.0220876000452985e-9,1.496767543326608e-9,8.976524442181497e-9,1.9467908964800267e-10,1.3056717938192252e-9,1.891214599443397e-9,8.132559741725587e-9,2.2847747720917741e-10,1.5964027556838868e-9,9.80044367546686e-10,9.51745501500341e-10,5.625306224291607e-9,1.8537551954270786e-10,8.39903625854895e-10,1.1954751433394933e-6
t7,1.1839955466013641e-9,1.1232876427207984e-8,1.0980102403611265e-8,1.1285277346322156e-8,3.129928982398715e-8,2.261522977569347e-10,2.7274509521173546e-8,2.02628620603468e-8,1.7399630233793824e-8,5.290057870558551e-8,0.0,3.305579824094457e-9,4.766076901289582e-10,2.660276587295975e-8,4.574363108218807e-9,3.5396184814232704e-10,6.681108416040925e-9,3.595705030337098e-8,3.9852871686867317e-8,4.0510068371598905e-8,0.0,2.758569623377078e-8,5.238189162183909e-8,1.738197497023797e-8,2.8125020996052395e-8,1.291939921749756e-7,1.763148961984645e-8,4.627094811822886e-8,3.91163573979864e-8,4.2908738185402284e-8,2.4149244465331948e-8,2.9696395798570215e-8,3.021948952617225e-8,0.0,1.0639041962547684e-8,3.9098730151699796e-9,9.604586712586751e-10,2.0620387415593873e-8,1.1804381371781273e-8,2.356171165502035e-9,1.8656543073258772e-10,1.7093448869161342e-10,7.339644021335542e-10,4.830066388389092e-9,7.733934421969036e-10,2.8120359095857476e-8,5.6685479163764415e-9,9.53092538830792e-9,2.0382926099279614e-8,1.4674616873298836e-10,2.1995064462865642e-9,8.22169438315207e-9,2.1929540454835542e-10,1.5331879995022093e-9,1.898663014643354e-9,9.781927083763956e-9,2.529783367674281e-10,2.3617310029706026e-9,1.7232628740107584e-9,1.0424072489232467e-8,3.006827766271809e-10,2.2014519455956693e-9,1.704679058731449e-9,8.97557070956475e-9,2.892956957909315e-10,2.1050194030328185e-9,2.2294290631997064e-9,8.943400959960296e-9,3.027185072383111e-10,1.6751412449379777e-9,2.0302570366203138e-9,9.883510237038998e-9,2.458372928766592e-10,1.6335073669301013e-9,1.915364870675873e-9,1.1550887399538892e-8,2.6076142771767277e-10,2.0745514808014268e-9,2.0519654856791715e-9,1.120943333512232e-8,2.4465090497227443e-10,2.141757724222265e-9,1.45316616562352e-9,8.67670704282367e-9,1.9565319367186734e-10,1.31685501026646e-9,1.7193052901645786e-9,7.812259586453232e-9,2.236262203451483e-10,1.494430827063592e-9,9.624075454045762e-10,9.281982670544195e-10,5.541564305533563e-9,1.8416305912249129e-10,8.218812002739434e-10,1.0917720436943286e-6
t8,1.0551119507738956e-9,7.637775897543154e-9,5.2857126807187785e-9,1.0043959842862975e-8,2.585704195505559e-8,2.0821483255616615e-10,1.4225357325258982e-8,1.7797786638176883e-8,1.4275826501858123e-8,2.4496284577934366e-8,0.0,3.1259284236304165e-9,4.244241816854305e-10,1.2772044336497911e-8,4.07612280741039e-9,2.9803494411475256e-10,4.804398422584962e-9,1.4587626523573684e-8,6.6819080809867e-9,1.4584934370153987e-8,0.0,3.3140467806870946e-9,3.856374858422263e-8,1.624852260649683e-8,2.670526456486765e-8,2.6379219256546614e-8,3.883620872151412e-9,3.379798330776637e-8,2.3468490724853056e-8,2.4192376904491265e-8,9.861085612788142e-9,2.522684989006559e-8,2.2267211180641887e-8,0.0,8.309258764933908e-9,2.526091224647355e-9,9.076967421290924e-10,1.837676181997083e-8,1.0252027013462993e-8,2.278828293558445e-9,1.7027335892460368e-10,1.588043359255135e-10,7.075261634682417e-10,4.7272889718188245e-9,7.542494716736807e-10,2.783600532959642e-8,5.54358557375909e-9,9.451709234036946e-9,2.012687596909442e-8,1.4442454944661124e-10,1.88601459825133e-9,7.543323099835815e-9,2.1269966004755672e-10,1.3261050226477744e-9,1.6433620438954024e-9,8.554521179324802e-9,2.363191449487149e-10,1.7150658299829545e-9,1.5207210872472097e-9,8.957738480991035e-9,2.7879638479978045e-10,1.63973907311183e-9,1.470590422716532e-9,7.740795804460441e-9,2.6760131324410923e-10,1.5297948390120825e-9,1.8715962861201096e-9,7.869619273607279e-9,2.8138447237996724e-10,1.312787749234305e-9,1.6883851181609194e-9,8.327056500893627e-9,2.2945807561768348e-10,1.2652680302661274e-9,1.6015735840785117e-9,9.27535868209267e-9,2.420549278302461e-10,1.520807531708019e-9,1.6988389683704464e-9,9.089582077142594e-9,2.2789338081367062e-10,1.534364019983299e-9,1.326370452286757e-9,7.838776549286622e-9,1.8707539097144047e-10,1.1572320233420577e-9,1.5518743063609718e-9,7.2995706438996295e-9,2.1639402317935635e-10,1.3417285630654055e-9,9.48446304151605e-10,9.074716637517047e-10,5.4893185588241595e-9,1.814696038451189e-10,8.080374266430068e-10,6.722313035678273e-7
