Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,924140.7090305391
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2.2759012735333857e6
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,42912.109747396586
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,1.0415718447640002e6
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,207122.20740788677
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,548249.1257867143
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,774956.3315758262
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,794981.8191755967
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,0.22818459329941984
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,4.937456607887713e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,0.12103682255993552
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.06842019170287617
NENG_Rest,NENG_Rest_nuclear_1,1,1,6.087668403561919e6
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0901655619223253
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.05321536598907621
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.2692550821573197
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.11421403728495039
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.024279584889931007
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.1580736021224809
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.5811854830276548
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0696708306973116
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,4.371530723236462e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.17918352981968597
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.23087699077546203
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,3.1422049637082876e6
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,0.24246001997359737
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,1.1208623120678007e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.06519198284745387
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,0.028590887536570842
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,0.12020585323051212
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,609213.3461678104
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,1.3790420193247711e6
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,0.051833604961031524
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,21797.382025475326
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,0.5677425940165325
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,38.63337752717848
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,27948.493273976535
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,49461.79999734959
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0
