Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.337304631013404e10,5.8201256088578615e9,1.4719142300045857e8,1.030282155945669e9,1.2371368739816594e9,2.8011289333642644e8,1.899327409243268e9,1.5738343410736486e8,2.570080687483569e9,3.3406431518214006e7,8.81571104945905e9,2.1206763973973644e10
cFix,3.0969743133553497e10,4.853260568275567e9,1.4608864894630495e8,1.0285272043466069e9,1.0441855529133347e9,2.799132756510702e8,1.4497344639214542e9,1.2083329982617844e7,2.2959717256270304e9,1.3592003599493157e7,6.937380029183233e9,1.2909006331106792e10
cVar,1.0745701463375785e9,1.0779671799351166e8,1.1026531869963573e6,1.754863084764445e6,4.595626420781922e6,199501.16114112452,6.054093211260695e7,2.1166433517339535e7,3.684942970412876e7,614625.042018302,1.8543110511412063e8,6.54518259000191e8
cFuel,1.1017243412108534e10,8.407669254518732e8,100.30794058410379,68.89482960367765,1.8835566909870684e8,94.79050766004382,3.7094533556101954e8,1.2115757387955207e8,2.2683828125689188e8,4.258386044149309e6,1.6495707463297603e9,7.61535023049327e9
cNSE,2.5603442279194374e7,19.938498316842537,8.110356716889667,8.560260291396784,11.436356282470063,8.61682395139591,13.818861323299396,55.57521581431419,4.0655760939067304e6,1.1498198341540378e7,1.0039530052268654e7,11.735105874021668
cStart,1.1036180662838262e8,1.830137719841052e7,12.448859942616503,11.059207903523156,14.112479617524045,13.11688357767287,1.8106663829325847e7,2.976041152639619e6,6.355674801610593e6,3.4432184910128643e6,3.328963877966777e7,2.7889141638285466e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.7064185128057554e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
