Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,203436.15281879398,0.0,0.0,203436.15281879398
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,915200.9108939754,0.0,915200.9108939754
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,16426.9136830366,0.0,16426.9136830366
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,404253.1205628142,0.0,404253.1205628142
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,73178.79725963899,0.0,73178.79725963899
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,136895.3191749394,136895.3191749394
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,272589.1231034793,272589.1231034793
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,212522.39435490008,0.0,0.0,212522.39435490008
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,1.8059066149918633e6,0.0,0.0,1.8059066149918633e6
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,5.101168239104874e6,0.0,0.0,5.101168239104874e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,0.04519298932027843,0.0,0.0,0.04519298932027843
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.03762717454817386,0.0,0.0,0.03762717454817386
NENG_Rest,NENG_Rest_nuclear_1,1,1,70402.00810138368,0.0,0.0,70402.00810138368
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,279838.67946751317,0.0,279838.67946751317
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,0.16721068603007924,0.0,0.16721068603007924
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,0.16823474564663093,0.0,0.16823474564663093
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,0.20511662886546825,0.0,0.20511662886546825
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,0.15021576415349794,0.0,0.15021576415349794
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,365715.4310553428,0.0,365715.4310553428
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.0,1.1124342492723616e6,0.0,1.1124342492723616e6
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0,0.1232092504572135,0.0,0.1232092504572135
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0,1.3329453841847146e6,0.0,1.3329453841847146e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.0,176157.44240220095,0.0,176157.44240220095
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0,57251.16871714053,0.0,57251.16871714053
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,0.0,2.201842204067363e6,0.0,2.201842204067363e6
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,0.0,184524.920967781,0.0,184524.920967781
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,0.0,469648.3230043608,0.0,469648.3230043608
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0,13652.200414114479,0.0,13652.200414114479
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,0.0,52721.40530000824,0.0,52721.40530000824
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,0.0,15602.515718881068,0.0,15602.515718881068
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,0.0,476002.5738133334,0.0,476002.5738133334
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,0.0,1.779441798290628e6,0.0,1.779441798290628e6
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,0.0,475876.7469270539,0.0,475876.7469270539
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,0.0,1.0198257634113022e6,0.0,1.0198257634113022e6
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,0.0,138472.3324068503,0.0,138472.3324068503
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,0.0,332119.6910363756,0.0,332119.6910363756
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,0.0,0.08117481730555728,0.0,0.08117481730555728
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,0.0,0.080706816569899,0.0,0.080706816569899
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,0.0,0.0,0.7152712714313183,0.7152712714313183
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,0.0,0.0,7.286851437708505e6,7.286851437708505e6
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,474232.1448373283,474232.1448373283
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,0.7882220169874271,0.7882220169874271
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,1.3828729895702964e6,1.3828729895702964e6
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,937532.7559899325,937532.7559899325
