Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,2.31362845935853e6,449000.11085628526,1.4641849645867262e6,2.0328401623207221e6,8.839264040058918e6,1.0654559474645753,4.455156487229458,4.91712049780649,1.7193471335941637e6,7.997804717184674e6,1.6734255318737696,1.7524343748108264,1.4654458241899702,1.3080852803424718,395307.95447811944,1.5402683097019732e7,24706.442804967734,18704.557281396916,37261.479887802314,4271.401545351478,22278.23744597075,40667.14754750034,145661.96763879622,49757.07710492109,377132.4601962644,1.6700513842481326e6,315573.7693186715,476629.3191365273,360611.1852929181,710056.4473308318,79314.06970193621,434252.7294009003,817448.0093846602,2.9960310154079325e6,1.0104918908635791e6,8.991636322024975e6,2.7309729437608175e7,7.668997000187502e6,9.417534062794153e7
t1,3.051097181061171e-5,2.1152115177004002e-5,1.946069198698354e-5,6.872639234258242e-5,1.738062027615469e-5,5.4264806247943964e-5,4.457929178365273e-5,4.4917277903189146e-5,3.649365133140719e-5,3.6844048817165494e-5,4.761454355217255e-5,5.091390246143474e-5,5.017067609275429e-5,4.876296592330652e-5,0.00017808559375291305,2.8243493216717864e-5,1.5503266879023883,1.4547897713958333,2.890210427368799,0.3341900727700567,1.769490176249884,3.2637805934104342,11.718377801111219,3.9912924564451635,22.726934433724566,103.94791297227516,25.395616800039367,12.28037837889288,9.304863028781053,18.415522498282424,2.126799709780792,11.252775943434061,20.8184454103558,74.57740805833289,25.414675031141403,157.50851902446146,698.077646715979,188.48360409943604,1397.3043382126134
t2,3.503419113209296e-5,2.1188772816085524e-5,2.1187030082861155e-5,6.805775906422737e-5,1.710641698295002e-5,7.635641129238098e-5,4.555812813332794e-5,4.838875168614049e-5,4.3466561381078044e-5,4.397972216014869e-5,6.054490001063209e-5,6.620242393530432e-5,6.355699916525157e-5,6.703198782258315e-5,0.00019032428209928248,2.8499051095783023e-5,1.4750130712181027,1.1137793029533576,2.2125471281385334,0.25584017935982395,1.3546045010441647,2.4985257093200253,8.970750329579403,3.0554414656598996,18.57762154392999,88.02851456689227,19.56616238099571,7.333022347343233,5.556234111521834,10.996522337946402,1.2699561620674136,6.719392684135613,12.431394038951481,44.5327929473046,15.1759672391506,92.08529410937984,411.8310785358393,113.32179155969823,868.3631427358188
t3,3.821192786217305e-5,2.243847633602165e-5,2.278387968712362e-5,6.833274189476952e-5,1.8059127669073336e-5,8.770866387170093e-5,4.742229315452614e-5,5.152850042309989e-5,4.5703159389916893e-5,4.621025090857767e-5,6.475874805157504e-5,7.470392715049351e-5,7.301900723719852e-5,7.794529367726253e-5,0.00020978795930497743,3.3867780105983656e-5,0.5266459653535946,0.39766285811964297,0.7899907008090089,0.09132706741528443,0.4836520652458267,0.8921017715627174,3.2030960392359518,1.0909544674393354,6.0689879448102975,32.62461492423309,7.033324897702125,3.344747200411796,2.5343078093436726,5.015763623989642,0.5792313689699168,3.064854055480291,5.670246965825399,20.312544635790363,6.922115851599963,39.00174585028513,192.3104883501153,52.0594518586121,384.01883875408714
t4,5.9380151862846114e-5,2.6972819195574672e-5,2.7485800230072282e-5,7.146842750147872e-5,1.8192469346499702e-5,0.00023098075801112488,7.379585694717187e-5,8.389304496774207e-5,6.694414515073308e-5,6.850416687602795e-5,0.00012309998101131197,0.00017897762780507402,0.00016846759036053308,0.0001874547689831281,0.00025976701707547764,3.48535067804516e-5,0.532640455759885,0.4054505968219789,0.8016200211959127,0.09421001320322561,0.4929462889864417,0.8984807300605285,3.1917752588164396,1.0977385564296112,9.29343562619331,37.88248189708225,6.973253142148112,3.1166400827496537,2.2314486333942423,4.408010471470848,0.5147490847255218,2.6982090758377195,5.024866384646709,18.33871019155472,5.453315593240229,56.810436335694675,180.58478385911357,42.863149049185054,383.7100315864427
t5,6.258834684471921e-5,2.7092700083740617e-5,2.796277915237174e-5,7.361744451599557e-5,1.8297906432497194e-5,0.0002595639509612289,7.468728025581016e-5,8.505103838235109e-5,6.807022867222565e-5,6.910771164268104e-5,0.00012282269042546444,0.00019987477766331762,0.00018741222849732596,0.00020648595509673788,0.00035419737533871887,3.47808931119431e-5,0.8739450789887147,0.6634418974681149,1.3112942922694852,0.1537688945341944,0.8061471629019449,1.47147708943829,5.230710820711056,1.8003566938357853,16.218855603271976,65.73639794181338,11.476121715862424,2.151977128909635,1.2235500603929854,2.409198992479863,0.28516068921829624,1.4810983049804236,2.7477446159275245,9.916445661716635,2.651558692891235,27.699427269212354,143.313198022311,21.26288283673786,320.88663107918023
t6,3.680181193697426e-5,2.2535893036277005e-5,2.2134071447160436e-5,7.347604150391119e-5,1.8498262263317676e-5,9.986133890575243e-5,5.141846909081276e-5,5.162810803391982e-5,4.441309194875724e-5,4.5043518004398445e-5,6.34673976179492e-5,8.128130259126897e-5,7.822712499366126e-5,7.799466840749045e-5,0.0003620580862822826,3.359590076076403e-5,1.58784461849024,1.2042939012116416,2.3813046692143165,0.28465986886886024,1.463122655963951,2.6764113853039797,9.530077625768508,3.2752212685021105,29.502635851116782,120.27525537557915,21.15162896600927,8.345146529939434,6.323128447438387,12.514255336612653,1.4452701428294705,7.646816322777854,14.144594588015728,50.6762206569648,14.36954916198426,137.43460262733313,498.35915162416285,106.87676079274529,1051.4691148519196
t7,2.5668265550930396e-5,2.1137517733624633e-5,2.0184583509786285e-5,4.612553371767326e-5,2.0271105164462492e-5,6.108943947352097e-5,4.7164848949496874e-5,4.7097359275140366e-5,3.615695345464771e-5,3.659300211792268e-5,4.863040753207293e-5,6.145875396941145e-5,6.0299229330665345e-5,5.7809546762366185e-5,0.00022792384325989412,3.3301800312197744e-5,3.7124252007716514,2.8116044593955594,5.567698458923614,0.7415872385576379,3.414548205628793,6.27622182662891,22.45060795715785,7.68164097753946,72.02011909394794,315.44811507393666,51.73293748139148,20.58217167200215,15.595144583652669,30.864702459572257,3.564589407390091,18.859846552910916,34.89192154181818,124.99261067453565,42.59524914179506,396.1313414492314,1297.2835523299314,297.5206801670418,2774.7401668659513
t8,1.8359405635106554e-5,1.5267901625551117e-5,1.4425721783472276e-5,2.641182076506874e-5,2.287077797608338e-5,3.551671885849032e-5,3.295858201359566e-5,3.28798232228395e-5,2.3369232389264237e-5,3.637325202365802e-5,3.1940408411085633e-5,4.0380189153447174e-5,3.990718530398605e-5,3.9252699736724594e-5,4.358555927342207e-5,3.472345428584786e-5,7.199844866679309,5.4366116206729975,10.7997846826336,1.2489080428805182,6.612101777474085,12.195670695616048,43.78697556933952,14.91399178009452,132.32189236128124,557.1624045373253,105.70054443457632,41.92715590362968,31.76828065076765,62.873289347384954,7.261302405154155,38.41867821218902,71.07716390494215,254.61766901307143,86.7693082292797,893.692866693047,2625.4527382259344,716.9059568391018,5728.143628015809
