Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.997438260329922e10,5.847420605034945e9,1.8172928349545792e8,1.273689963055811e9,1.627233087478466e9,1.2244545192659242e9,8.604010403091481e8,1.724051994592668e9,2.6995695740068684e9,3.442110601553434e8,9.858346869256088e9,2.411766906860879e10
cFix,3.500890349695622e10,4.4689770337899885e9,1.8045710386681834e8,1.2719082103618524e9,1.4344025887175548e9,1.2227041769527385e9,8.602443790168389e8,6.989044177266812e8,2.5349618514985085e9,1.5226099756091124e8,7.038645718702086e9,1.5145437018762236e10
cVar,1.2540846502246826e9,1.6947749041702533e8,1.1026589795428237e6,1.6533234734687472e6,4.595600043982065e6,1.7502958932987016e6,18.149463006391837,1.0307411703122357e8,2.1316413155762002e7,2.100475238824775e7,2.5275863124477145e8,6.773513494479215e8
cFuel,1.2964007819485682e10,1.1209220730236588e9,52.830395138844615,115.04659206437677,1.8798076753969738e8,34.157499687960254,104.87131606959463,9.188155746197551e8,1.420824668773525e8,1.6483617296284568e8,2.5527350913556824e9,7.876635366200864e9
cNSE,4.718263438692853e8,6.898042440215829e7,169459.34057885004,128304.72466831424,254122.06709428626,4.4592804642891855,156528.05224907657,281847.1115504657,1.0571403712289701e6,337565.6778540193,1.4207412572493646e7,3.862535350901289e8
cStart,5.995475472365022e7,1.9063583402114972e7,8.478122808125343,9.449229422921464,9.110137366355875,7.803107182022487,10.219280915782695,2.976038103457823e6,151702.10401643594,5.771571565484748e6,15.381056398433605,3.1991799107642073e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.055462813086431e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
