Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-6.006589666527775e-10,-5.548501518832856e-9,-7.319238548839214e-9,-3.641575692503786e-9,-3.597183528732444e-8,-5.9575846482444095e-9,-3.4110454692379723e-9,-1.0400467161767187e-9,-2.763353001532753e-9,-4.453534070375997e-10,-1.4280053552297328e-10
t2,-6.380733611993703e-10,-5.955567091169888e-9,-7.894770254578836e-9,-3.91562798925866e-9,-3.8774902115870616e-8,-6.419740559763159e-9,-3.6523429785170375e-9,-1.108416563511414e-9,-2.966396682629949e-9,-4.5886454370766547e-10,-1.4657990605074012e-10
t3,-6.603386616323004e-10,-6.2124637276361185e-9,-8.262464000001896e-9,-4.089429546391583e-9,-4.0667152174797886e-8,-6.7116045319588985e-9,-3.804150089454825e-9,-1.1503245114604985e-9,-3.094103194892294e-9,-4.6523785116047735e-10,-1.4900525387254405e-10
t4,-6.702511559425274e-10,-6.358066217826543e-9,-8.475395997443786e-9,-4.188815532788345e-9,-4.179852933855207e-8,-6.8783251053206894e-9,-3.888232855659167e-9,-1.174579329643169e-9,-3.1673628392542474e-9,-4.661569235327529e-10,-1.4887415269095494e-10
t5,-6.745510245811786e-10,-6.470638900940951e-9,-8.620753474759349e-9,-4.26090883537084e-9,-4.249149181558901e-8,-7.009115514642716e-9,-3.953835310017833e-9,-1.1922230544914828e-9,-3.220357748280618e-9,-4.605095149525212e-10,-1.4590454953920672e-10
t6,-6.576656945272548e-10,-6.419435356195325e-9,-8.547418533429081e-9,-4.228297444883517e-9,-4.225992559145185e-8,-6.953908114375017e-9,-3.921844366058156e-9,-1.1848429357443126e-9,-3.193618481078792e-9,-4.3643975377264346e-10,-1.369671449515381e-10
t7,-6.730536311150009e-10,-6.1039350632074485e-9,-8.099100546627171e-9,-4.0157821000714e-9,-3.981038214709172e-8,-6.593139163237761e-9,-3.729513707010451e-9,-1.1352282736809649e-9,-3.0257196352803943e-9,-3.9592357215358793e-10,-1.22865462908697e-10
t8,-5.8260971065625e-10,-5.447092930095001e-9,-7.18571578697527e-9,-3.5755377749578286e-9,-3.513743373656966e-8,-5.851377785922969e-9,-3.344868917255532e-9,-1.0265123577142326e-9,-2.7021896766533645e-9,-4.030580688136897e-10,-1.1543265043723709e-10
t9,-5.501806557029082e-10,-6.0547111545824135e-9,-7.713963438848333e-9,-4.235512539409077e-9,-2.936017750099918e-8,-6.49218775255461e-9,-3.861102205132828e-9,-1.0677311441088231e-9,-3.274962363694258e-9,-4.0487393293397634e-10,-1.1694044533001064e-10
t10,-5.754600100210851e-10,-4.914274973262445e-9,-6.42833703066605e-9,-3.2175908774191188e-9,-3.141216055839372e-8,-5.238970759207711e-9,-3.037027299464242e-9,-9.325713952653938e-10,-2.447602119840786e-9,-3.7634335107124025e-10,-1.2037596850927303e-10
