Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0,Total
Zone,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,11,0
AnnualSum,17471.997501020047,0.014545943782147987,53359.87741626587,0.06305396008847636,0.03384557932563388,22629.755399897527,0.02121022811071057,0.10669914577104497,8735.947363974838,0.0353478124123814,0.0,0.010715630408847281,0.002242542815658388,0.05206847107270142,0.029457677946529835,25481.20865295853,0.013943879871980341,0.024862546815609118,30327.087933239938,0.025457615029578853,0.0,6510.129309103173,0.05994719197153056,0.048428415457670695,0.4879024281168521,24511.163558563396,12998.703470169481,0.028615932478311634,0.05220429233143426,86.22794294860145,10265.021695281586,0.028694250326663506,45.14765774379852,0.0,0.01585248071490066,27503.10938736665,0.0011857734325685136,0.031244230140286943,0.014792642149985588,0.015367555625649825,36179.51405102446,0.0018815327560509632,494647.42640618066,8738.117639035492,133503.24346883336,27621.75110187248,5598.7191405504145,0.00880388946962693,0.030339952557818618,25050.763140944033,0.007168132858921284,0.025990563924563944,0.0012526477095946421,0.0015153812135351588,0.014483816626451136,0.028598091289275623,0.0013644372425744913,0.0013565451193351503,0.007563051550764464,0.023334473685853088,0.0012501014494332079,0.0012280954561093391,0.02013579106346282,0.03177870258123317,0.001463757802649583,0.001380770682749428,0.014155632648805486,0.02126620855985116,0.0013471718569592632,0.0013933386781019893,0.02057042163801132,0.030152918823784163,0.001421446157470022,0.001420682916020142,46438.994082374964,0.02539690994437607,0.00150708088067783,0.0018566663019759183,0.007788410749264826,0.015075111997010632,0.0010219077610100493,0.001403762240477894,0.016681508374902586,0.027379661061566748,0.0011039791179833533,0.0015457228191632024,165030.95145324752,0.025187762538199335,0.0010883270202718424,0.0014981876797516285,0.0016247460236216865,0.15992139148430826,0.02545080979027158,0.0013774599400975078,0.001552460212966408,1.1827366965382455e6
t1,1.9999997948650552,1.8118015252315785e-6,7.086678876568017,5.594332005186044e-6,4.003637662200905e-6,2.5904024250181372,2.9890241292096435e-6,9.677554340347523e-6,0.9999965835692499,5.678594849907636e-6,0.0,1.1714668044909162e-6,2.6339472036784883e-7,7.573519218383876e-6,3.1782734752905956e-6,2.9168050508891943,1.575889478693793e-6,4.139388554294866e-6,9.99999322430801,3.7030702250183273e-6,0.0,0.9999995965765625,6.902860629510064e-6,5.113050745063012e-6,2.6410133276828555e-5,1.6502111674549347e-5,2.8034065307907657e-6,3.193843924462306e-6,4.869641375826739e-6,7.00868901634288e-6,1.9999843414748768,3.062123822589791e-6,4.3393045391032615e-6,0.0,2.07463527738663e-6,4.721553513952307,1.2707889568062243e-7,3.6298258475746854e-6,1.786047398588888e-6,1.4842575034717493e-6,4.141427908889787,2.1677185746415972e-7,57.99964681595838,1.7691516529884592e-6,26.9235680819443,1.3755787369677957e-5,1.482387735989847e-6,9.012403576127694e-7,3.0627992199602367e-6,2.867532429481791,8.564065824736241e-7,3.167270596842309e-6,1.445389003481487e-7,1.9525009068078506e-7,1.7480012776847896e-6,3.6262296134541632e-6,1.6057782560904138e-7,1.8150529344847235e-7,9.246749722759319e-7,3.1174043804853145e-6,1.472427702324405e-7,1.6431045287833944e-7,2.387983090779272e-6,3.8409697323235395e-6,1.7125858033604595e-7,1.8325097443869495e-7,1.7144216991256996e-6,2.794294316921528e-6,1.5851046817513193e-7,1.8832010155333182e-7,2.4190888071128367e-6,3.4325576407028807e-6,1.6430680409151245e-7,1.8308339086158085e-7,5.315819091506154,2.8561766127811128e-6,1.7238211411072894e-7,2.3686783712938398e-7,9.16137515457715e-7,1.7651856727448295e-6,1.1648180712305885e-7,1.7482313546699903e-7,1.9472880695259314e-6,3.0154208616918008e-6,1.2619819539719463e-7,1.92653229780926e-7,18.89090599549246,3.062827602124534e-6,1.2567620165566622e-7,1.9049450371282215e-7,2.11680832848001e-7,1.8442906941599133e-5,2.52542863946246e-6,1.5722711570691906e-7,1.9592402452080232e-7,149.45454408882918
t2,1.9999997959350997,1.8249884736536955e-6,7.086678881068508,5.62969187339542e-6,4.030836336989434e-6,2.590402425238187,2.9857112330300354e-6,9.683717363445393e-6,0.9999965799455873,5.6611231782426435e-6,0.0,1.172128905309532e-6,2.634530855694095e-7,7.566858139584223e-6,3.1812290515187985e-6,2.916805050931742,1.5775449531180044e-6,4.121453861230874e-6,9.999993218175858,3.6895481415653725e-6,0.0,0.9999995948028297,6.888073136391169e-6,5.11487105101993e-6,2.6413955867466152e-5,1.6483450289223434e-5,2.802230110940342e-6,3.174332361952432e-6,4.872403459988594e-6,7.016722174481567e-6,1.9999843426262343,3.055418448565519e-6,4.347264601965156e-6,0.0,2.077969135021032e-6,4.72155351589954,1.2696391532205482e-7,3.636263319362015e-6,1.7865708844528209e-6,1.4875665329666072e-6,4.141427909046865,2.168642034838797e-7,57.99964681539702,1.7679443200881377e-6,26.92356807902626,1.3773541582799859e-5,1.4807159353547098e-6,8.983935768023734e-7,3.054293531543077e-6,2.8675324294906837,8.573108725453087e-7,3.188042337663804e-6,1.4465587084588816e-7,1.9559373257372094e-7,1.7470719554978716e-6,3.6293139123697203e-6,1.6060989358835654e-7,1.811098103720381e-7,9.237344283893647e-7,3.1197685120007296e-6,1.4726896739342807e-7,1.6395674644968852e-7,2.386709974696827e-6,3.844347528273078e-6,1.712905881107753e-7,1.8279084047416938e-7,1.713333571453291e-6,2.796402384319972e-6,1.5854207794178643e-7,1.8791246417319525e-7,2.417760891954083e-6,3.4344464075454642e-6,1.643275190036733e-7,1.8258295761333814e-7,5.315819090160308,2.8574259184629833e-6,1.7241097003251833e-7,2.362755212095062e-7,9.15089776309402e-7,1.7642179719940356e-6,1.1651053513734826e-7,1.743737842940053e-7,1.946209043433386e-6,3.0193320287501148e-6,1.262483471286977e-7,1.9228051943805548e-7,18.890905995912792,3.0696262977783418e-6,1.2573662412575604e-7,1.901981591546053e-7,2.1129097967092954e-7,1.8441589056523843e-5,2.5277802418211387e-6,1.5724026718955527e-7,1.9554873378200084e-7,149.45454412601956
t3,1.9999997968817953,1.838334203508259e-6,7.086678885527991,5.663853776318609e-6,4.05663644049552e-6,2.5904024254372047,2.976692717318035e-6,9.685892423616366e-6,0.9999965730828927,5.6304862758942525e-6,0.0,1.1723172382143589e-6,2.634656656175238e-7,7.555962453453116e-6,3.1825476530800717e-6,2.916805050917599,1.577747596131485e-6,4.0944149819841635e-6,9.999993209686906,3.66850505162815e-6,0.0,0.9999995921041085,6.8617934521846266e-6,5.114693696311613e-6,2.641505377021982e-5,1.6454468366583875e-5,2.800137220634837e-6,3.1504510455510215e-6,4.869430411068677e-6,7.018088911871497e-6,1.9999843416213878,3.044820948787203e-6,4.349407427600832e-6,0.0,2.07719703974443e-6,4.721553516125592,1.2663225861995316e-7,3.635427909753013e-6,1.7829776972604076e-6,1.4854076367936637e-6,4.141427909153347,2.169263890738904e-7,57.999646814392605,1.7633014899677772e-6,26.923568075033668,1.3779106727127353e-5,1.4765123381380192e-6,8.954255096334733e-7,3.040653740679062e-6,2.867532429447323,8.584951234533294e-7,3.2082007390804748e-6,1.4476208477688967e-7,1.9603451526717374e-7,1.7457537623787525e-6,3.630203812522263e-6,1.606101411807499e-7,1.805159791175745e-7,9.224877464688135e-7,3.1200932480364348e-6,1.472664059820565e-7,1.6345005276035686e-7,2.385097702486229e-6,3.845760364131169e-6,1.7129141484673438e-7,1.8216912215735317e-7,1.7118837045670496e-6,2.796723084098583e-6,1.5854305717271006e-7,1.8730306906366872e-7,2.4161119312891447e-6,3.4345540936345182e-6,1.6431988827788686e-7,1.81934270358208e-7,5.315819088421854,2.8571117433545354e-6,1.7240922931253586e-7,2.3545855456701626e-7,9.13808592523303e-7,1.7623405666172512e-6,1.1651876915627239e-7,1.7379802223760844e-7,1.9448675662935826e-6,3.02200174087271e-6,1.262801685110794e-7,1.918161836239037e-7,18.89090599556518,3.074549215806836e-6,1.2577790766853572e-7,1.897351079989922e-7,2.1072288527927895e-7,1.8440124000792364e-5,2.5286270826654808e-6,1.5723024674244302e-7,1.9507971144325005e-7,149.45454397999254
t4,1.9999997976877322,1.8534359011784203e-6,7.0866788899177,5.696803942146522e-6,4.08106623515006e-6,2.590402425614518,2.9618820925913995e-6,9.684129515184551e-6,0.9999965629372954,5.586033055234207e-6,0.0,1.1720170908629414e-6,2.6343393200178866e-7,7.540861796728063e-6,3.182201815721321e-6,2.9168050508478687,1.576496485138901e-6,4.057650930736413e-6,9.999993198610465,3.639508147639096e-6,0.0,0.9999995884214239,6.823639873776875e-6,5.112550813497219e-6,2.6413484346186306e-5,1.6414660748049037e-5,2.7972473966991334e-6,3.1213040978909173e-6,4.860637915290824e-6,7.013038091664977e-6,1.9999843384695357,3.030093367980998e-6,4.345699142581094e-6,0.0,2.072049354799457e-6,4.72155351571123,1.2609982496723078e-7,3.6273373337313047e-6,1.7752083268603363e-6,1.486530566098761e-6,4.1414279092103214,2.1695914298458518e-7,57.9996468129232,1.7561475662921037e-6,26.9235680698857,1.3772252703324474e-5,1.4696300693041094e-6,8.920505444548093e-7,3.021235236708884e-6,2.867532429351211,8.599411223043293e-7,3.2277632713089787e-6,1.448586324262965e-7,1.9656158928264203e-7,1.7440243454014905e-6,3.6288801102278173e-6,1.6058107503903362e-7,1.7986308096955322e-7,9.20915153162089e-7,3.1183570660908345e-6,1.4723706398064347e-7,1.6277181692491036e-7,2.3831212512070972e-6,3.845182679761251e-6,1.7126325513157224e-7,1.8136401958339646e-7,1.7100580779590133e-6,2.7952488908341877e-6,1.5851581891130058e-7,1.8647727852885136e-7,2.4141151413850744e-6,3.432853669913912e-6,1.6428549745506937e-7,1.8111365293378614e-7,5.315819086261645,2.8552022533743193e-6,1.7237944258924252e-7,2.3440021257166413e-7,9.122768271133074e-7,1.7595055487990346e-6,1.1650874150752878e-7,1.7307941104742044e-7,1.943237044613373e-6,3.0234088206414207e-6,1.2629465280224385e-7,1.9124633118795926e-7,18.890905994446793,3.077628938864709e-6,1.258019280214463e-7,1.8908968778235765e-7,2.099483022327642e-7,1.8438469146996898e-5,2.5279412857094927e-6,1.5719826426493447e-7,1.944894095308658e-7,149.45454365713385
t5,1.999999798328906,1.8630025277804292e-6,7.086678894182594,5.728518243881057e-6,4.10403766699048e-6,2.590402425764497,2.9417277876997376e-6,9.678770580378074e-6,0.999996550190318,5.529804014921435e-6,0.0,1.1713044625732295e-6,2.633629563320028e-7,7.522532984482336e-6,3.180421036974636e-6,2.9168050507310377,1.5740206126318882e-6,4.012710731840853e-6,9.999993185469126,3.6037936371789575e-6,0.0,0.9999995839645892,6.776316083001886e-6,5.108738480012976e-6,2.640957835048235e-5,1.6366400097462097e-5,2.7937625132062454e-6,3.0887677976900696e-6,4.846904987467226e-6,7.003325006217916e-6,1.9999843340338563,3.0130127336706533e-6,4.337538968453603e-6,0.0,2.064018331841691e-6,4.721553513470527,1.2544638655274228e-7,3.6151642576550686e-6,1.7652748493532996e-6,1.4874576387396383e-6,4.141427909232874,2.1697126417752344e-7,57.9996468109502,1.7434824706531952e-6,26.92356806322915,1.3752748789447774e-5,1.459833024844209e-6,8.879508671681198e-7,2.9952907352305208e-6,2.8675324291987643,8.61655555067215e-7,3.2467177688891252e-6,1.4494259204548215e-7,1.9718219870061362e-7,1.7419791908914659e-6,3.6255162697967275e-6,1.6052463259831925e-7,1.790101766651434e-7,9.1914189550859e-7,3.1148391121216083e-6,1.471833232845911e-7,1.619448017880475e-7,2.3809347320220768e-6,3.84286701219985e-6,1.7120859566877475e-7,1.8039737071705515e-7,1.708027817605496e-6,2.792266313422565e-6,1.5846337902942463e-7,1.8547312646307867e-7,2.4119242001456095e-6,3.429594395349223e-6,1.6422627041479058e-7,1.8014195839094782e-7,5.315819083855239,2.8519569877449366e-6,1.7232408380737406e-7,2.3314421979409962e-7,9.106114615742676e-7,1.7559961292691642e-6,1.1648214774500623e-7,1.7224141843359428e-7,1.9414694280706227e-6,3.0238513929788036e-6,1.2629335605338722e-7,1.9060661128540852e-7,18.890905992998235,3.079590123307401e-6,1.2581380547161563e-7,1.8840083316846813e-7,2.0891352366450397e-7,1.843655586871696e-5,2.5256495983117324e-6,1.5714280699508775e-7,1.9372274662005096e-7,149.45454317452
t6,1.999999798792487,1.8718701863878436e-6,7.086678898248257,5.759114897097392e-6,4.126091140924476e-6,2.590402425881069,2.915890806700621e-6,9.669809303766323e-6,0.9999965347735952,5.460649280982121e-6,0.0,1.170176892424867e-6,2.63252801668834e-7,7.501032652301046e-6,3.1772142727871117e-6,2.9168050505691734,1.5703250844151143e-6,3.958748405677793e-6,9.999993170125057,3.5607870198005193e-6,0.0,0.9999995786814014,6.7191839370988035e-6,5.103249643766187e-6,2.6403355777653646e-5,1.630922795133366e-5,2.7898092990058093e-6,3.051915492090088e-6,4.828245883411009e-6,6.988989000057951e-6,1.9999843283251886,2.993356104991154e-6,4.32497444540497e-6,0.0,2.0537149310424744e-6,4.721553512269818,1.247635454357588e-7,3.5988973956865456e-6,1.7531446197137159e-6,1.4871200030424598e-6,4.141427909223619,2.1696449203911783e-7,57.999646808437596,1.725222911455209e-6,26.923568054905044,1.3720435282698963e-5,1.4468406271749233e-6,8.827745103060647e-7,2.96194666774497e-6,2.867532428987026,8.637535095341467e-7,3.2650289345438966e-6,1.450104152864417e-7,1.9801539861352953e-7,1.7395899347838326e-6,3.6200395339134685e-6,1.604417248201985e-7,1.7792966743029206e-7,9.171385869389453e-7,3.1094625516689284e-6,1.4710624895986228e-7,1.6093707341442758e-7,2.3785275602737765e-6,3.838771242940115e-6,1.7112918752550209e-7,1.7924473002049234e-7,1.7057796537070892e-6,2.7877169146588453e-6,1.5838740698312578e-7,1.842634154053802e-7,2.4095288218596535e-6,3.4247241827227853e-6,1.6414383987614218e-7,1.7899371297116235e-7,5.3158190811939185,2.8473214609355375e-6,1.7224479872435926e-7,2.3165959761412712e-7,9.08802496867209e-7,1.7517249532127815e-6,1.164407762186501e-7,1.7125792325997238e-7,1.939562785246873e-6,3.0232890640323893e-6,1.262781883723613e-7,1.898835809125096e-7,18.89090599123416,3.080404138896926e-6,1.2581442997852148e-7,1.8765053806255567e-7,2.07543522186723e-7,1.8434317628476492e-5,2.5216286669410055e-6,1.5706215661927594e-7,1.9270417730362884e-7,149.4545425319978
t7,1.9999997991571636,1.8807912600454187e-6,7.086678902046117,5.7885143659781385e-6,4.147673521757764e-6,2.59040242595567,2.8835787891945345e-6,9.657111038200018e-6,0.9999965166496253,5.37655789623771e-6,0.0,1.1686312531416378e-6,2.631008546583047e-7,7.475840526582214e-6,3.172603107115592e-6,2.9168050503632057,1.5653759751815713e-6,3.894507818494665e-6,9.999993152300128,3.5094670617395613e-6,0.0,0.9999995724691544,6.651686832859659e-6,5.096026664576311e-6,2.639473578863456e-5,1.6242076562883845e-5,2.7852473486327927e-6,3.009285409328675e-6,4.804479610353518e-6,6.969595823659854e-6,1.999984321257256,2.9705328759252727e-6,4.3078058896367114e-6,0.0,2.0403045737733798e-6,4.721553509541772,1.2398809284473018e-7,3.578316464444004e-6,1.7385875066356535e-6,1.4886508522676218e-6,4.141427909179381,2.1693634577601983e-7,57.99964680503769,1.7030450163792392e-6,26.923568043017113,1.3670820950107747e-5,1.4286125975689641e-6,8.743605175058405e-7,2.9148885067056312e-6,2.867532428687369,8.66470710946151e-7,3.282680586124161e-6,1.450590233419217e-7,1.99548302810258e-7,1.736760296196803e-6,3.6123454828878745e-6,1.603293985029681e-7,1.7655903829638725e-7,9.148158753648141e-7,3.102124398784727e-6,1.470049048262306e-7,1.5968156147085906e-7,2.3758473204530986e-6,3.832826685528025e-6,1.7102456541889834e-7,1.7784831296139816e-7,1.7032638834583973e-6,2.781540586280697e-6,1.5828822296387085e-7,1.8279416883226635e-7,2.4068745124953225e-6,3.4181706866908527e-6,1.6403802909174937e-7,1.7760973968331373e-7,5.315819078222825,2.841223074737057e-6,1.7214147505073074e-7,2.2987865975887571e-7,9.067953319657574e-7,1.7465908350807928e-6,1.1638479065178394e-7,1.70074599382133e-7,1.937471835184946e-6,3.0216592689343306e-6,1.2624943046155421e-7,1.8903060588388795e-7,18.890905989130477,3.0800496522086457e-6,1.2580116429630204e-7,1.867912342694109e-7,2.055032723697296e-7,1.8431049870731263e-5,2.5150368980014762e-6,1.569438709655682e-7,1.9113503578558986e-7,149.45454170006988
t8,1.9999997992737484,1.8846861107096287e-6,7.086678903295191,5.814114307326371e-6,4.155467517634519e-6,2.5904024259509546,2.834537289888577e-6,9.637562351411905e-6,0.9999964898960906,5.246193078408023e-6,0.0,1.1662829149510658e-6,2.628696095241523e-7,7.434410866879329e-6,3.165002360638937e-6,2.916805050055934,1.5570192305519484e-6,3.792077531797679e-6,9.999993123075233,3.428178369961747e-6,0.0,0.9999995622542324,6.551559212331524e-6,5.085061381436802e-6,2.6381120539676893e-5,1.6130972594191995e-5,2.777413067409042e-6,2.9379044077420613e-6,4.7671850740631824e-6,6.930333951239983e-6,1.9999843066484335,2.930159761544558e-6,4.275528046838441e-6,0.0,2.0177186619658975e-6,4.7215535042445715,1.2274850785452103e-7,3.5429297363429495e-6,1.7147500663776994e-6,1.4865073349040154e-6,4.141427909055567,2.1686031526080285e-7,57.99964679984713,1.66742343247444e-6,26.92356802021798,1.3594029487977117e-5,1.4005472960975274e-6,8.584289646855177e-7,2.8405118031750553e-6,2.8675324282441323,8.671940048087068e-7,3.2974416226058437e-6,1.4507025236773727e-7,1.9930304005086275e-7,1.7322575385773565e-6,3.600415326534093e-6,1.6017230229019235e-7,1.7443515219448227e-7,9.110581792208823e-7,3.090617290873958e-6,1.4686816510576594e-7,1.577202540326206e-7,2.371512216212315e-6,3.822733045772808e-6,1.7087995280466035e-7,1.7567235470772324e-7,1.6991437507229772e-6,2.771428628940705e-6,1.5815343538036397e-7,1.8051276439750736e-7,2.4025834012012875e-6,3.4075662569416353e-6,1.6389649497245742e-7,1.7545246226029665e-7,5.315819073393497,2.831097804438856e-6,1.7200010422736756e-7,2.2708204152923183e-7,9.034553700407101e-7,1.7378271959399181e-6,1.163060110009371e-7,1.6818704603549606e-7,1.9339307662356956e-6,3.016409595815454e-6,1.2620038395789168e-7,1.8753840357787735e-7,18.89090598522093,3.0761360333418708e-6,1.257588683324735e-7,1.8530097795191394e-7,2.0210335692065704e-7,1.8425044984227295e-5,2.503790562058185e-6,1.5676965487650526e-7,1.8844999456598424e-7,149.4545402542459
