Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.829696761503056e10,5.976367883275294e9,1.3178185161817389e9,1.0352856315782659e8,1.535859235482512e9,1.9643564354557222e8,2.9169410511275415e9,2.6149136052484125e8,2.52658435847722e9,1.1152853350982408e8,7.635068436592354e9,2.5515024884796932e10
cFix,3.630805092735919e10,4.997855533681415e9,1.308976254574476e9,1.0262364969429255e8,1.3670968114980276e9,1.9640204461559308e8,2.06435254484816e9,1.4734244316026512e8,2.2838888684562535e9,3.626369962813867e7,5.392055935727891e9,1.841119314147468e10
cVar,1.1945507054285953e9,1.3457994191790724e8,2.9897306937010335e6,775906.6936872598,4.595845479280844e6,4243.646937415683,8.57522069984073e7,1.606007804372123e7,3.255898658350897e7,1.1490665787815887e7,2.6293952748389262e8,6.428035720997617e8
cFuel,1.016714626935897e10,7.989221590923204e8,5.709722197182683e6,681.7173262299407,1.6391239129345253e8,337.3677490271776,7.315319866269532e8,9.032545390427633e7,2.0481311748431364e8,5.8281650363483585e7,1.8458298388224208e9,6.267818930489522e9
cNSE,3.60532356919141e7,2.0149191247125065e6,142745.81004415127,128267.03340149645,254114.14452027786,28956.389327188997,156524.32044086952,281847.66383023636,1.0571386605806216e6,337568.9796331094,1.742403665007532e7,1.4227116915348373e7
cStart,3.908473288329152e8,4.299532945893895e7,62.906335245565195,58.0191190676201,73.06723063099686,61.52596552720898,3.514778833357985e7,7.481537752748313e6,4.266247292563147e6,5.154948750752839e6,1.1681909790807354e8,1.7898212381761113e8
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.98995179444192e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
