Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,4.775169208795817e6,784337.3220500873,3.8288765043813637e6,4.225938592367425e6,8.87830360960171e6,4.794606203452501,36.27108918572569,559372.7716631322,148.01548695461415,194319.31588802222,3.037009349951748e6,433441.9153902872,23.5301979940671,8.971699074757463,781013.5006323184,712857.2338876306,24870.34068798013,19009.066140502284,37375.25993866809,4339.5439661587625,22950.954990717702,41575.04283680852,148885.02994735626,50618.4861410958,396955.78462532995,1.7188667568054483e6,321641.0723058255,468092.412381253,355735.9404356847,710218.0497082524,81181.39393160728,433117.992522699,810602.3429257389,2.944527683954733e6,1.0026634109580286e6,9.198373770370627e6,2.7382550448459204e7,7.623625681491389e6,8.200863737321407e7
t1,5.665743611501717e-5,4.558550861685811e-5,4.827597063892072e-5,4.489971002835957e-5,5.4220128734548675e-5,0.00010131501311368821,9.846319707926481e-5,9.62980593686197e-5,9.638811963090195e-5,9.581334565812704e-5,9.163812853533231e-5,9.06889760121035e-5,8.851411721662756e-5,9.046846487575287e-5,8.55771419849908e-5,0.00013299965455246455,1.926818038615176,1.4549398498912014,2.8902521660769374,0.3342192502841707,1.7695318253320431,3.263821938836271,11.718427090504113,3.991311655720237,29.783697504744456,128.85777166143575,25.39563890227771,12.280400556275776,9.304871207887558,18.41551684128176,2.1267954047521136,11.252772997792793,20.81844204439345,74.57740369885944,25.41466652868199,220.54775486723878,714.4437976812329,188.48359101195214,1509.053760527039
t2,9.182015688523527e-5,8.362940130230091e-5,8.935430525764933e-5,8.283771968060278e-5,8.901956933885127e-5,0.00024319885898550076,0.0004373653051369219,0.0004234998353810119,0.0004067616400500051,0.0004070372651740719,0.00032856059152301984,0.00032726120681540527,0.0003165781994239795,0.0003201129463206001,0.00030215193556616833,21.014624370663473,1.4749062592613296,1.1136858413504462,2.2124430022812414,0.2557670005363026,1.354535548095172,2.4984276633492275,8.970619878798859,3.05533772127025,23.52243127502872,97.1142082671463,19.566094151489516,7.3328467722230215,5.556066817774843,10.996344697831294,1.2698311827492406,6.7192678176638285,12.431261579159242,44.532672269217414,15.175831726949296,135.77332930341,424.2815985363144,113.32173326428371,959.5478141357839
t3,0.00011168324497650973,8.31318543178529e-5,9.401030015432455e-5,8.322684382759327e-5,8.858530135519387e-5,0.0003964742375464127,0.0004336960862772692,0.0004238540048017068,0.000402232733767966,0.00041216367521310597,0.00040049810177774823,0.0004026244624466968,0.0003805404534471763,0.0003613969714460324,0.0002985392868126003,667.4540547905693,0.5265401105619054,0.39757111302116316,0.7898864041494981,0.09125171932587388,0.4835578968390217,0.8919814485268698,3.2029304258201896,1.09083214160788,8.59897449436949,30.184212839610826,7.033142550168001,3.3445670354872967,2.5341418359021444,5.015584637573405,0.5791100827034583,3.064687034277905,5.6700612647725395,20.312372649200068,6.9219325340021305,63.37516453847328,146.30093437989564,52.05929881464143,1029.9271633990575
t4,0.00015713438466586504,0.00010728214128909439,0.00012381171385587126,0.00012110183776810725,8.76823819881085e-5,0.0014132410079288297,0.013950835852909056,0.10868051195942163,0.05135153397094699,0.06423948352488834,0.22319234162667018,462.1017178833525,0.00811729289179915,0.00262911827580464,43.10306297791764,431.1914824059867,0.5590295400888009,0.4275768252865651,0.8402594663777686,0.10011379757824708,0.5179226358876828,0.9405389358297805,3.2692531532321736,1.138850402364301,9.148778045714554,38.55459447317502,6.99902405857688,3.165330096343621,2.399925505177836,4.762458628447777,0.5544391888000044,2.9067637916141806,5.389673522267681,19.62750153877771,6.57078168312586,80.64929720958408,181.69215732331767,54.29503656646054,1361.3797410268555
t5,0.00016031350663774105,0.00010532606622555023,0.00012402190520063294,0.00012284286657380058,8.728461951390707e-5,0.0012484904095774968,0.010105285031549923,0.10474769083607952,0.03972089987280776,0.06494559437237417,0.24616458656241616,462.2859945859878,0.005830398850577906,0.001918948193072518,57.96496734534961,307.03283451593427,0.9530284580207504,0.7245313336450241,1.4303146715789117,0.1688199298952992,0.8794131970136975,1.5875751430275171,5.520848654378844,1.9265832015064592,15.999532192651614,66.43058621694037,11.60115510849056,2.1582093017367274,1.6352691676391866,3.2364433350344646,0.37374620964079425,1.977605491226486,3.658747596311791,13.106779882299614,4.466511517315616,42.803097363881776,143.31322513648306,33.95760647948301,1185.6687077185659
t6,0.00012800042752939575,0.00010283630790244858,0.00012378303360055054,0.00012035280192604003,8.494351035954247e-5,0.0006027784365834669,0.008636272293919965,0.06437434138100769,0.0326390503699337,0.054273941644902214,0.1922734645369064,120.21178349426754,0.005662873988737613,0.0021620672220942477,189.49351325473978,274.61522147515694,1.6872976640708182,1.292033226140855,2.5558510290424024,0.29549858289657976,1.5102291101251513,2.695891181508041,9.559876570150522,3.291843801210604,29.535335983411517,124.71217954084948,21.39188951826047,8.34515304217598,6.323134450202556,12.514266514069906,1.4452765055142578,7.646827635198537,14.147169785192657,50.67902694721784,17.270530575778935,174.80572949670054,498.35911190545085,133.66570547820808,1708.4115614734962
t7,4.79179370631578e-5,4.273270058835508e-5,4.8963917940109116e-5,4.497846799297628e-5,3.234896512109817e-5,8.775893825302025e-5,9.245759673845268e-5,9.132851605669136e-5,9.060792049888969e-5,9.294779855579819e-5,9.090202583950419e-5,8.999292365213682e-5,8.680742131893023e-5,8.266207152129333e-5,8.403808174219057e-5,0.00016393406300796855,4.921904876232053,3.716176513891043,7.38253855248701,0.8534241742026062,3.97604020897989,7.20896756475473,25.90910794642567,8.79805779282077,88.987232572132,374.68447971141717,51.95546188450039,20.5821867688525,15.59515918036949,30.8647180737557,3.5646037421775048,18.859862765334984,34.89204065099125,124.99272515566366,42.59537058694173,430.647037761011,1297.283557513076,339.8653269135465,2938.1372512889093
t8,4.711188567043563e-5,4.39900461932197e-5,5.076532998837553e-5,5.116409551600206e-5,5.348902257525201e-6,8.125890993074965e-5,8.999042016666696e-5,9.082760947150402e-5,8.997666223966536e-5,9.223903186675784e-5,9.087046264947484e-5,9.002497943562043e-5,8.77073051321725e-5,8.78536326749428e-5,7.822020581780703e-5,7.704464291451964e-6,7.1998528625142635,5.436621436558183,10.79979313349293,1.2489410015798386,6.6121104124290895,12.195685175459547,43.78699350155002,14.914004455320343,132.32188989124785,557.1625010527509,105.70055288829934,41.92716368153334,31.76828852430512,62.87329722239579,7.261318310497098,38.41868596382458,71.07719747477911,254.6176982332874,86.7693427560998,893.6928850710292,2625.452759649038,716.9059617133443,5728.14462946528
