BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.1795016967042185e8,3.1270929280243763e6,-4.1697015926305763e6,7.835934342121137e6,-7.835934342047947e6,3341.476029543798,0.0004212102540251104,9.7349032301435e6,-196190.70168590907,-1.26449615e8,1.4167100050971579e7,628791.8436558725,-838429.9401649856,497062.7079446841,-497062.70794469205,281.0118729854996,0.0004232682920971552,-2.6511960477825967e6,-129707.91491412863,-1.1176839e7,1.2763336383991556e7,505812.20073802286,-597604.2068117331,374982.87536803575,-374982.8753136373,212.76622985587704,0.0004288658605553758,-4.137808045390714e6,-71719.0960844739,-8.46223e6,6.487411900059716e7,5.31484268834629e6,-6.279351002188501e6,747873.9937486788,-747873.9936900333,421.42005261994746,0.00042809142039653867,-4.649496209735122e7,-649264.0061956034,-1.6765806e7,7.022331096563013e6,101.08905443409935,-119.43402827832537,86080.78477916024,-86080.7847205188,48.21497209410081,0.0004294640476374641,-5.0563202165276855e6,-49216.747366009855,-1.916824e6,2.7050966802586284e7,2.865129627249578e6,-3.8203814903624584e6,455753.2898791134,-455753.2898204723,259.57251379509177,0.000429360424179908,-1.5338711840504235e7,-410871.66885508626,-1.0346391e7,1.5387412700663462e7,17.972559472237418,-21.234053743129856,845532.2473293514,-845532.2473293444,467.39942175273166,0.000424005343751366,3.810170511760681e6,-697656.3472942838,-1.8500391e7,2.8534568053410146e7,14.448220517692318,-17.07013682020211,3.0652881162290913e6,-3.065288116229356e6,1753.1241529302627,0.0004220346623897972,4.1827612963781245e7,-152329.51355193206,-7.0211602e7,2.8668354832079746e6,7.690405710105162,-9.085951083449913,1.062032877028187e6,-1.0620328770282092e6,559.803066592705,0.0004205562270208975,1.9360839496012844e7,-179478.38399272613,-2.2048755e7,1.6648346547509784e8,3.535447582470474e6,-4.626824330563167e6,9.514373745752783e6,-9.514373745729374e6,4619.639436673008,0.00041509883527105374,3.457623341122394e6,-126553.69504084963,-1.68727778e8,6.281825958410923e8,8.05386135967452e6,-1.0650838369309548e7,2.8643260658999577e7,-2.864326065899933e7,2848.798515659007,0.00040991148321646126,-4.512151295264206e6,-381907.3230118448,-6.20694409e8
t1,15305.441081774525,0.0003888585322385534,-0.0001512485244883492,213.87920812112532,-1795.5577753506757,8.277497143909951e-7,3.971603644022857e-8,-38.26528841661372,-0.4974633089830253,-13685.0,1973.5172477994358,222.82905279657814,-0.0001463944723308213,14.207181979608011,-87.62055519377813,7.101485082659755e-7,4.0453819781911524e-8,-799.3744665443418,-17.558314724705436,-1306.0,48.58820025030769,0.002349235288317317,-9.488860388336564e-5,10.759768190875945,-101.49662065432466,8.36028699534427e-7,3.9500222551397194e-8,1039.6135819980268,-8.46718462223458,-989.0,3332.347571322641,0.0022909170798835325,-9.500587567915614e-5,21.305729317072288,-211.99078907728423,8.384073084630316e-7,3.9586728638755084e-8,-1116.8764643340726,-64.78824356797416,-1960.0,1136.8843345123616,0.002277788500328038,-9.062731935588235e-5,2.4609793790692907,-14.129116507021754,8.501013638178421e-7,3.976169945600459e-8,-895.1759416621135,-6.042443415951573,-224.0,4396.509558658038,0.004462812423098148,-0.0001392494013945046,13.02225776647903,-61.33205793999494,8.428775860934699e-7,3.968798306540116e-8,-3123.71124977738,-17.492832803821987,-1207.0,2382.9885415369913,0.0015834364513415157,-9.552954200801837e-5,24.082230038484013,-135.21904526291158,7.182895943861984e-7,4.0644101864179044e-8,-31.147138620160497,-70.70607593679654,-2170.0,3615.686500989926,0.0013635144627461462,-9.362164955566199e-5,86.29580620493296,-688.1677298849339,7.189833802941861e-7,4.0731341745942836e-8,5174.259230005434,-17.075077098588526,-8170.999999999999,443.3335927594763,0.0008975961053308302,-9.440273023021906e-5,29.405940622447968,-168.75879038908377,8.16266198740355e-7,3.943314107366181e-8,2300.6786870722876,-9.660233578204021,-2595.0,20071.466389029865,5.248213327428722,-0.00012804603392814858,250.3314073952449,-1578.2344649869558,7.819812882189407e-7,3.913097390938614e-8,599.9985993463047,-9.810015033844902,-19339.0,79201.5600131591,1856.8681894991184,-548.1306231713136,641.2888721090585,-9533.915405572447,6.929860158518199e-7,3.987029684131995e-8,-3109.9995490673705,-50.67149607471829,-68457.0
t2,14396.964703503974,0.00024245856468844344,-0.0001977308083324186,132.88788635315623,-1977.307888832426,8.277621090134003e-7,3.974934379093678e-8,223.60735057517186,-5.152095904717666,-12771.0,1742.1529949753508,0.0003660129977418396,-0.00024260212447714964,8.807931267243418,-129.18488198413635,7.079110767078118e-7,4.047069133792548e-8,-390.3222947966295,-16.453873152305626,-1215.0,48.55948402344919,0.000198951969620233,-0.00017419414641523895,6.669903073736987,-97.8735098879139,8.332327349157917e-7,3.9501786499067845e-8,968.4020980796992,-5.758000534716194,-920.0,3248.614400366596,0.00019384387784035755,-0.00016808243633475558,13.208957131405425,-193.7253289353664,8.35746272957361e-7,3.958849390275737e-8,-1183.369424133656,-61.72863061558242,-1823.0,1150.709645713322,0.00020401353315849594,-0.00015927261107713417,1.5257121212795803,-22.374206973406483,8.475301916152748e-7,3.975917873517555e-8,-914.6870522780864,-6.174143853912672,-209.0,4373.751344755735,0.00033041530686466863,-0.0002324349644361423,8.073886503363621,-118.38255056940082,8.400308892372477e-7,3.9700475829776677e-8,-3121.777817184824,-18.66496201588827,-1123.0,2382.9948049168424,0.00018885179533140287,-0.0001687794499851845,14.92980910803026,-218.99613943832708,7.157826631760806e-7,4.064755543158588e-8,-95.49686344487628,-65.43163155147505,-2017.9999999999998,4392.499695703186,0.00018284332128997536,-0.00016569915983679622,53.503435168388656,-784.5569334483304,7.164957852944282e-7,4.0733888973222986e-8,3947.575784693166,-15.021999149344632,-7594.0,443.33349361651614,0.00023533472699222908,-0.00013351743632829773,18.23133894388015,-267.3588863301018,8.160482213399532e-7,3.9448496125629064e-8,2239.13333685367,-19.33938522072464,-2414.0,19538.076363245884,0.0007235888235574406,-0.000149350225695699,159.29596987599106,-2432.3456698632685,7.838842458036925e-7,3.914156097774986e-8,1436.9342341642332,-15.961470626017448,-18686.0,78354.5339476914,560.0145834916412,-311.61749596025743,368.2442176018289,-9072.504405147416,6.94047314194521e-7,3.987743984930399e-8,-3109.9993525278683,-50.67149428052063,-66738.0
t3,14403.857128638558,0.00013689174087717088,-0.000529048753945291,59.09164250400116,-1659.9997521976434,8.223738324573669e-7,3.977878234440028e-8,-515.2503364068189,-6.698289855573238,-12281.0,1531.4526884143079,0.00017058922653054827,-0.0042303644116202755,3.8632267056336262,-108.28154742552083,7.048910338750096e-7,4.0470972283328805e-8,-246.9635076546548,-16.06680054074019,-1164.0,48.53076744199998,9.48050273361009e-5,-0.007706986518581205,2.924043479096569,-82.04205628391495,8.295580422498557e-7,3.9502744590116324e-8,916.5312195373233,-4.936362477253097,-881.0,3203.808548951553,9.283735629892541e-5,-0.008019967973988457,5.797512345796851,-162.37330279007705,8.318133396250769e-7,3.9586990970218463e-8,-1241.3819276954969,-59.842904102828044,-1746.0,1043.2838609075184,9.783486755730303e-5,-0.005077133545759498,0.6624956422000805,-18.760409222005027,8.435002836295538e-7,3.9754211181923696e-8,-819.64833534455,-5.532633210333935,-200.0,4151.256431413155,0.0001606500970964423,-0.005603306627120722,3.540581666170538,-99.2247411750774,8.357450673944109e-7,3.969962245344109e-8,-2962.9741377306646,-16.59269204354345,-1076.0,2383.001123856214,9.350782644732717e-5,-0.002774429104260768,6.554054030484066,-183.55518911974707,7.123570099066197e-7,4.064092549487074e-8,-206.5561480456748,-66.44116013379552,-1933.0,3785.707692217691,9.1325699673639e-5,-0.002378843355527039,23.506630239229622,-657.5476603448949,7.131607168551078e-7,4.072900166261871e-8,4140.995904395012,-15.66027887516307,-7277.0,194.62473176859933,9.682420758956066e-5,-0.0007970920962884031,8.012100730030925,-224.07632589112788,8.117463896414115e-7,3.944807407474531e-8,2360.401064089957,-25.9608707446637,-2313.0,18659.287509264654,0.00018952204189016817,-0.0006330565067303672,71.97325074008566,-2005.3214234722993,7.807194947122998e-7,3.914112889814698e-8,1684.8447211204937,-17.7836130760219,-18393.0,76147.16047045124,484.2291634802235,-269.03505012095917,166.52439830346836,-7687.208980375498,6.946715808725441e-7,3.98907345307626e-8,-3109.998516264926,-50.671484599383106,-65681.0
t4,14639.011437276939,0.00013317903132181464,-0.0006176519698280174,50.815282641911416,-2093.438095599983,8.238088517565951e-7,3.9826526479804425e-8,-514.6970609499677,-6.691078367219895,-12075.0,1599.4888682973105,0.00016606833721155315,-0.008895755278017557,3.602105961274086,-114.55214795178641,7.051063059166146e-7,4.04850863038302e-8,-335.22499285650076,-16.30510403976831,-1137.0,48.502153792112004,9.21110914168995e-5,-0.43232230718422215,2.707293805362626,-87.30273818771953,8.296627768346044e-7,3.952163926201903e-8,902.1875619764784,-5.662041674554195,-860.0,3214.2072873348916,9.148062070263706e-5,-819.0236390049702,5.37078988603378,-174.6297055565755,8.318592687841854e-7,3.960466074097573e-8,-466.1564498144637,-54.7683747477868,-1705.0,937.3585177892545,9.300323088818961e-5,-0.01890302633832493,0.62533908435823,-19.955011359432486,8.430391400857165e-7,3.976713053610597e-8,-718.1624325607971,-4.84760345565201,-195.0,2995.606172459097,0.00015843474288026557,-0.024861737967125534,3.276522955935451,-107.19501743091465,8.357542315390235e-7,3.971904160902357e-8,-1830.4126280869598,-10.250347120519352,-1051.0,2383.007628485377,9.214836075613829e-5,-0.0044641518313299,6.096007623170308,-200.4736949476543,7.12526430661846e-7,4.0653792349467716e-8,-250.55043447786397,-49.075135014416304,-1889.0,5232.256177315532,9.029448130690876e-5,-0.0034881894824250644,22.207078825614488,-769.1185223183693,7.130999526976845e-7,4.073310286107884e-8,2628.332197810921,-8.673533624834871,-7105.0,194.6245688448658,8.943735040905365e-5,-0.0023783840680465275,7.49120826979505,-239.8913530387679,8.110639934645278e-7,3.9462285104841914e-8,2319.614619216714,-22.83675466029206,-2259.0,18881.62080561936,0.00016321506748905233,-0.002419857266491615,70.81634186574352,-1959.995804515296,7.80252978086306e-7,3.915140705530957e-8,1375.067666084834,-15.506751371860691,-18352.0,72781.34059992628,563.3815466806738,-272.8576679073481,214.29856108174596,-4389.493514969916,6.951216739809508e-7,3.990302238503734e-8,-3109.998046342395,-50.67147760922397,-65736.0
t5,12788.56267835594,0.00013480626946200304,-0.0005995744529205419,33.47357606007999,-501.76385187377525,8.25967500210058e-7,3.982539892271801e-8,-328.0078191543287,-4.264118107564978,-11988.0,1805.9085377181295,0.00016513222236989,-0.008599027744915255,3.025639671082489,-54.83574982066141,7.043440173836645e-7,4.043843447279331e-8,-620.0159540343691,-17.074039914237908,-1117.0,48.50226843887168,9.143132645362218e-5,-0.8607064923264675,2.2872712743770998,-41.004270989205374,8.307046692184938e-7,3.94733927235275e-8,845.1301031268167,-8.05475727531147,-846.0,3200.103443695324,9.063561723824038e-5,-771.6656703085384,4.530946178606213,-79.35921739211173,8.326100791097614e-7,3.95535793159369e-8,-617.8746303686029,-59.734962862625544,-1676.0,941.8706843571239,9.276345517141607e-5,-0.02064691772414892,0.526243225702525,-9.365169445020149,8.439215022701165e-7,3.971370153425238e-8,-736.0429078973976,-4.968296612420649,-192.0,3018.42139599586,0.00015653463475950513,-0.0250061822397129,2.770260095902365,-47.99469261922374,8.362254405325706e-7,3.9672353088558925e-8,-1930.362040691772,-10.810073659989282,-1032.0,2383.0140658777464,9.164317692233724e-5,-0.004011559687325101,5.120328845062802,-86.67938593704183,7.118811693139607e-7,4.0613495806529e-8,-390.11594695905495,-55.33514224575831,-1856.0,3857.528760133772,8.975366633357545e-5,-0.0031127519552787346,18.361239243690925,-260.03017795987057,7.123373098137773e-7,4.068782539531182e-8,3379.2949103469273,-11.151708652075904,-6984.0,194.62456780916602,8.921712366037054e-5,-0.002001601835182524,6.26660666321971,-110.73326621991089,8.108093441318266e-7,3.94008998217131e-8,2151.1200600986954,-20.276056280581617,-2221.0,18015.88381199057,0.0001620328721872871,-0.0032416500062577925,58.607886409538175,-808.9878626773806,7.788657871595179e-7,3.9083984623673796e-8,1356.8722598088514,-15.373014872756317,-18607.0,70072.8154009505,1629.9127601898433,-299.6781305609668,190.77134553289636,-1391.1518633479243,6.935111911145181e-7,3.98356313895066e-8,-3109.9980342757653,-50.67147762094033,-67042.0
t6,11642.768095899495,0.00014011891772103643,-0.0004910235651146898,132.52620488198332,-132.52706236230304,8.220376932407538e-7,3.9875631030768575e-8,707.4587791738987,-6.225666091161653,-12344.0,2006.6779365039044,0.0001698184863011117,-0.006822233699395375,10.027059250012991,-1.6922001820301142,7.049873815100476e-7,4.0457580822627006e-8,-883.9367711648856,-5.069372268090915,-1126.0,48.47388101226667,9.37618955032844e-5,-0.016009436366787737,7.592284064654001,-1.2791101972421153,8.306222367033159e-7,3.949770637196441e-8,802.3010864277287,-4.072226118248761,-853.0,3185.521889624453,9.155382507229161e-5,-0.015461590527303733,14.92741245125126,-2.4238977818075553,8.320419092438959e-7,3.957425867319513e-8,-1449.9241697402833,-59.08586493889141,-1689.0,920.5997380181439,9.268277149611603e-5,-0.01064647071255872,1.727860142743026,-0.2905850696770501,8.430686556247616e-7,3.97312372458503e-8,-724.1385181914573,-4.887941637210886,-193.0,3356.4245534599777,0.00015712822992958723,-0.011571987502540276,9.115157520597897,-1.4785043813740653,8.349074904578331e-7,3.969023818687148e-8,-2308.8563002828096,-15.193491982686831,-1040.0,2383.020267175339,9.194102532339519e-5,-0.004244673594644997,16.852835574590735,-2.716501284492336,7.116538010271204e-7,4.061947938581141e-8,-469.9987092327631,-55.153739833413816,-1872.0,3021.566876735698,8.963378219197126e-5,-0.0034418579383732957,60.355005403171326,-9.6874753710322,7.123091540473109e-7,4.069619581965503e-8,3974.886094795761,-13.117149224066628,-7034.0,194.62460017303454,8.980768951008358e-5,-0.0025538375038641533,20.58892361083907,-3.348790439178433,8.095862015083702e-7,3.94118891473755e-8,2036.3853232828103,-8.247592910660588,-2240.0,19314.694925430475,0.0001660970444333263,-0.006336457493994287,204.12104262036974,-319.01640856654774,7.788254293480367e-7,3.909482009065907e-8,600.0167428881933,-9.810130969263215,-19790.0,69412.01946332725,3692.9995092464665,-0.0005201800020901754,625.1754818769438,-126.81665557870986,6.956334986831278e-7,3.984581714420151e-8,-2284.193557956193,-40.18371987065484,-71279.0
t7,12753.421025801472,912.6201308938638,-0.00013014930696836208,391.77565916612457,-51.90953670939489,7.039930624638351e-7,4.064341067436524e-8,-486.58157346139075,-6.325575357361437,-13513.0,2207.0003396736265,240.01607525441082,-0.0001187535264298298,25.503896716006224,-0.0007902114943670093,7.148905668701267e-7,4.051313431809672e-8,-1274.079401487922,-13.440001477340738,-1185.0,48.44549945292604,134.8705516733645,-8.545684951582213e-5,19.31147602221639,-0.0007321689554122477,8.411918462135587e-7,3.9557576278404423e-8,698.1275390047632,-2.754249023411327,-898.0,3198.0382662241777,1049.1295929193159,-8.669337516813509e-5,37.1868940842188,-2.254786970024398,8.407171209563951e-7,3.962391357376493e-8,-2467.5783209498945,-36.521559045447155,-1778.0,918.5972735887121,0.03022277960110008,-8.924961597322844e-5,4.304299540586386,-0.24673635194904894,8.521336569299268e-7,3.978151475624458e-8,-713.8663676498184,-4.818603192045078,-204.0,4427.995856518731,1166.7035424278604,-0.00012368759018572807,22.661797950055377,-2.0273515316959436,8.409855831298965e-7,3.973289225866667e-8,-4495.1607930404825,-25.172929167818136,-1095.0,2383.0268176809145,0.002488127057581092,-8.941396881457862e-5,41.87707729231931,-3.703300520683927,7.199379602416823e-7,4.065153438546762e-8,-388.04173655668217,-59.16125695030986,-1974.0,1928.1496299316066,0.002268124818947257,-8.791257287112916e-5,150.13404448755296,-13.082199748025783,7.211079248760252e-7,4.073279928334528e-8,5340.4197499620595,-17.623404739803764,-7388.0,443.33371422101663,0.0019177083548834362,-8.441292649932688e-5,51.15329026228482,-4.572071178729639,8.170192914766475e-7,3.943187659122055e-8,1888.412865033827,-12.329631953183217,-2366.0,20218.08163115399,1490.005987465603,-0.0001083408571735056,519.6341216063095,-0.00038749800246375604,7.86390679012646e-7,3.9127293136381484e-8,-98.99356425240639,-0.7276791018227294,-22128.0,71832.9913254319,3693.0000377067076,-0.00022111072728923936,1671.9680107719803,-0.00032722432960679556,7.057263224114314e-7,3.987521957559112e-8,1997.3416033979477,-31.300428132879894,-79164.0
t8,11716.952964081502,1829.999375851825,-0.00011841010445078316,822.6064395352803,-0.0004917439478133138,6.968363475580505e-7,4.052397072064026e-8,1534.9494083820266,-13.507577313636268,-15891.0,2416.874762880421,240.03031588413918,-0.00011455665200094409,49.12700922877296,-0.0007387056920695494,7.139898358339e-7,4.0531460104061804e-8,-1361.355570212778,-13.67566480456739,-1331.0,51.27292503038799,331.0372094580824,-8.14282717366484e-5,37.2048992920483,-0.0007048929660253253,8.383958343939989e-7,3.958100551173442e-8,589.5453336126437,-2.0595815659086174,-1006.9999999999999,3285.4845508286076,5451.825541146203,-8.55762421156178e-5,73.67308012627535,-2.2025622855100835,8.382107474279216e-7,3.964797366743491e-8,-6743.954970728301,-67.82555393905204,-1997.0,896.9555838156822,0.03155479525091306,-0.00010171650998194818,8.510239512850369,-0.26731421699080543,8.481817951929714e-7,3.9796713393306183e-8,-671.6960101069358,-4.533952614755785,-229.0,4454.286168495544,1166.8198015434052,-0.00011753612302140244,45.03078451466016,-0.0009653825379095645,8.394390566311517e-7,3.976740216124354e-8,-4392.953291947624,-44.18238018784207,-1229.0,2389.4382334403454,0.01730509920005781,-8.493859412081909e-5,83.27287948076835,-0.001021306606997597,7.197123619836425e-7,4.066980475496615e-8,-175.68130175939922,-81.04601035483525,-2216.0,1295.0852138971886,0.012596127236084935,-8.358645484538546e-5,298.4046944831109,-0.0010401322548630482,7.205391215102377e-7,4.073784152669506e-8,6723.686804858635,-22.18818554131501,-8295.0,451.1667266673512,0.006744327357221076,-8.219579127884885e-5,101.68334644626296,-0.0010223611876536115,8.191217039140935e-7,3.9575674995876063e-8,2112.1096994809304,-8.965412765423357,-2656.0,20513.374371993006,3069.98748539562,-0.00010656950270987502,1026.0147823451007,-0.0003016859221957681,6.941526690655436e-7,3.9813082598670016e-8,-724.6500484740963,-10.726181894082407,-23874.0,72681.05637180497,5132.999929373405,-8.098414390094258e-6,3182.615268486081,-8.210967229804912e-6,8.463212353879877e-7,4.030308582638774e-8,3109.9999468949,-50.67149940118854,-84056.0
