Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,748870.6667385371
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,1.9636301810210824e6
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,32621.431694279927
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,731320.3216612592
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,192997.41053071138
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,525891.941037315
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,770029.2467771543
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,658967.2885287327
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,0.028362082702739922
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,0.09246976515847992
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,0.029424835609786718
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.019303650146103118
NENG_Rest,NENG_Rest_nuclear_1,1,1,0.05742119311552946
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.059305681138454476
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.04857235702302003
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,45863.917671907286
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.06782471773793715
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.005295596477581622
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.07982719295943871
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.13371953240242498
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.038307622314960765
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,3.316631889007183e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.05414467374950185
