Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.829696757372989e10,6.028672118013672e9,6.376784965090208e8,9.020101300071523e7,3.2047498091267138e9,3.487033488002418e8,9.34778827732509e8,1.657544046772739e8,2.8996670789382753e9,1.4983471156785023e8,8.291832637524963e9,2.5340929017854034e10
cFix,3.0756600662306847e10,4.732229388349879e9,6.363091909166632e8,8.951196406980848e7,3.0209653760720325e9,3.4829941106944454e8,5.579751893288113e8,1.037187668174361e7,2.493821234459662e9,2.3601374220670823e7,6.252834436553046e9,1.2590681220585098e10
cVar,1.6134725725696714e9,1.4686683409008682e8,1.1998125567343708e6,560723.0302479728,6.009217650200017e6,374830.26356091717,5.114704289470438e7,2.262398968170205e7,5.424724823261971e7,1.875336426075275e7,1.883376508417177e8,1.1233518590674078e9
cFuel,1.5136710111268057e10,1.1237078921447172e9,29.512859801092564,17.737671302470638,1.775210899940836e8,22.59649784537082,3.1543741658769387e8,1.2950066019407319e8,3.342374720004339e8,9.77045516056618e7,1.6690761728915575e9,1.128952478600278e10
cNSE,5.1725021328877586e8,1.1664389580388876e7,169459.38627325764,128304.76815075356,254120.9799892712,29080.94530160193,156525.92980121798,281846.5110514429,1.2705451028327784e6,4.780164569204636e6,1.6356976098808658e8,3.3494601452769685e8
cStart,6.876790431186643e7,1.42036138485991e7,4.136490115121839,3.3948367085667717,4.430408531551962,3.9254368845162344,1.0062652991498247e7,2.976031608703573e6,1.6090579142726775e7,4.995256911560253e6,1.8014616250554394e7,2.425137671051979e6
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.9465548021597105e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
