Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0,Total
Zone,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,11,0
AnnualSum,6.12497284733084e-6,4.575636656664006e-5,278.38475827863965,7.324478258089351e-5,0.00016500974185507447,1.1794597361439767e-6,7.638052988219935e-5,0.00011766818554869208,4.309821495169639e-5,0.00015136156593221068,0.0,2.3952113526363786e-5,1.667300479473244e-6,9.958886280403224e-5,2.1185694143759153e-5,1.7566721293413095e-6,2.79279045928039e-5,0.00011040327864148656,259.63582845657686,0.0001005756939528779,0.0,36.000010430233154,0.00030560690893843546,0.00011131338657812082,0.00020628962486397538,639.9992209206899,85.38175789437297,0.0002210082750331026,509.69128291415933,0.23566277938692304,73.99990056451425,297.0267254135486,210.9375967747366,0.0,4.9026967856300124e-5,83.76068301967739,5.930200489624411e-6,0.1940508399250758,406.89754463092595,162.00210761632152,1.0067480536387515e-6,7.617977604755655e-7,7.825005714300192e-6,5.345676890981257e-5,30.509922722192577,0.0002827959546850398,5.660180735429977e-5,8.464616780844877e-5,0.0001889646483172939,1.3062750861241362e-6,1.2766702045374293e-5,4.1383333955711785e-5,9.71689060922023e-7,5.14881274268555e-6,9.286518706193385e-6,4.990412578172462e-5,1.023901494545336e-6,4.746174274174858e-6,6.210614283919964e-6,4.117841606199982e-5,1.043830632543357e-6,4.525617094968514e-6,7.22347123857271e-6,5.1687310664919904e-5,1.2621530709179406e-6,6.448298057437997e-6,7.077444813692037e-6,4.274289554308171e-5,1.1603066827811328e-6,6.383328812385489e-6,8.165370957626628e-6,4.014603571978087e-5,9.643391790602329e-7,5.3370425494501285e-6,6.038843107887376e-6,4.2143448646131964e-5,1.2911126919919419e-6,5.35379583311641e-6,5.891962664499891e-6,4.411438681820575e-5,9.276953331009678e-7,5.230395518768205e-6,5.9110366773016545e-6,4.142571392245794e-5,1.0084135760408406e-6,4.810663548646013e-6,7.715992803998949e-6,4.4557670627972236e-5,1.1776481401582447e-6,6.216415443624376e-6,6.419771264776863e-6,1.5205534108940152e-5,4.886600909989967e-5,1.0544559111400837e-6,6.857404001297665e-6,3074.6603556838827
t1,5.950652364214421e-10,4.716234785261785e-9,2.8764589769660204e-9,7.558002578163806e-9,1.6330093289436883e-8,1.160819877682832e-10,6.278434011231744e-9,1.0863673791924106e-8,4.7709198541400376e-9,1.2814038263837062e-8,0.0,2.4548544631540513e-9,1.7696116626560267e-10,7.664594761278874e-9,2.596474775184156e-9,1.3972166779959318e-10,2.5516188793984593e-9,9.536271439909007e-9,2.791845866441688e-9,8.845285999402897e-9,0.0,1.076835272297143e-9,2.8198438955955984e-8,1.1589624109434962e-8,2.055805399123345e-8,1.598181093796469e-8,1.5997329229428762e-9,2.0491255394627654e-8,1.0579264937749789e-8,1.3528573454337727e-8,4.318434004567568e-9,1.5746125288025776e-8,1.1989291469999384e-8,0.0,6.000202401208957e-9,1.477242801430634e-9,6.789088502712492e-10,1.3731945874837458e-8,7.173365689784366e-9,1.9647705153243557e-9,1.1022737359767112e-10,1.0188205864827587e-10,7.968700649999286e-10,6.912571984740079e-9,1.7857361202599566e-9,3.711608836517311e-8,6.317954283268953e-9,8.025808916655621e-9,1.8647859306092522e-8,1.2869091832494237e-10,1.4838443186692392e-9,5.012895974821092e-9,1.1896821536143922e-10,6.057685023252002e-10,9.42414793703733e-10,5.165099898463099e-9,1.1541282389613108e-10,5.248951965713399e-10,6.842804538684377e-10,4.774128505874349e-9,1.1767795022966392e-10,5.009398838926388e-10,7.789762812377696e-10,5.401226456897796e-9,1.4268943422838082e-10,6.969829684052917e-10,7.631745275462424e-10,4.885916677217474e-9,1.3026228787759443e-10,6.930887531442018e-10,8.974945907470801e-10,4.693184502735313e-9,1.1260068452085083e-10,5.966121556180982e-10,6.946588778035651e-10,4.8550655389221455e-9,1.5750992207344304e-10,6.040723073067712e-10,6.845329722140561e-10,5.0113010626603585e-9,1.120872981687511e-10,5.950654069116704e-10,6.993971699953933e-10,4.8063802195563486e-9,1.2524810676003282e-10,5.59786540270053e-10,9.314193021651774e-10,5.300986135867391e-9,1.5109561513691549e-10,7.419077118805897e-10,7.605461190514934e-10,1.520034542696589e-9,6.786951565472046e-9,1.291471898399755e-10,8.057180362121757e-10,4.4617564553655796e-7
t2,5.878861061686098e-10,4.5414152227546475e-9,2.584885685626451e-9,7.451809900611998e-9,1.6003851705138548e-8,1.1458027720597976e-10,5.856432948105728e-9,1.0627171785118556e-8,4.611989133645608e-9,1.179874344884127e-8,0.0,2.429689497906311e-9,1.7388173692264743e-10,6.809730753114228e-9,2.5553184955250035e-9,1.3648008059824201e-10,2.4477128263688264e-9,8.619606858327834e-9,2.45965933207157e-9,8.04683310220491e-9,0.0,9.68359658994568e-10,2.7392603506132165e-8,1.1490724350321867e-8,2.0411154178141735e-8,1.3878543240002932e-8,1.3949700831658892e-9,1.999103198718997e-8,1.0182509950387224e-8,1.2506740587422766e-8,3.818948013107414e-9,1.5367299207438085e-8,1.1499604532310586e-8,0.0,5.550838228043404e-9,1.3008999737443335e-9,6.71006929277506e-10,1.3274199062026698e-8,6.887472350244384e-9,1.9390273640919197e-9,1.0741088146110106e-10,9.958516795272463e-11,8.155541320058354e-10,7.471769789382712e-9,1.8965966138085007e-9,3.833814107793168e-8,6.6611118210037355e-9,8.278582685712025e-9,1.9599707018671928e-8,1.297104427493411e-10,1.397899361322716e-9,4.971315699060798e-9,1.184680881877459e-10,6.014191376614314e-10,8.948981114786676e-10,5.049075473630611e-9,1.1412279264003102e-10,5.182986768336433e-10,6.685821059519649e-10,4.721216754576309e-9,1.1643785033578042e-10,4.956342063178946e-10,7.539476715759594e-10,5.283661465278137e-9,1.4081357054018547e-10,6.830382538260855e-10,7.416090462347131e-10,4.825546626030243e-9,1.2874586380472586e-10,6.799003226144564e-10,8.601441868646775e-10,4.64234205227743e-9,1.115385369151996e-10,5.877349804604106e-10,6.782418055506322e-10,4.795736808437524e-9,1.5525402668161817e-10,5.944726762937989e-10,6.687484910334616e-10,4.941076894571992e-9,1.1090092679040885e-10,5.870477862070872e-10,6.835733041533588e-10,4.752149875310311e-9,1.2405020809172029e-10,5.531050177885274e-10,8.968797989796788e-10,5.2205541308663e-9,1.4920677310330655e-10,7.302505341669965e-10,7.932461618667462e-10,1.5901398075338498e-9,6.9322901373598575e-9,1.294154224605566e-10,8.467708158440001e-10,4.3482128396649156e-7
t3,5.858683522301253e-10,4.521338895200412e-9,2.577699655580939e-9,7.418409326390463e-9,1.6021136116122207e-8,1.141604943692484e-10,5.6446540789342335e-9,1.0475103186718404e-8,4.523463975913337e-9,1.1314126236626183e-8,0.0,2.4151078874639853e-9,1.7211041279325338e-10,6.477393328920213e-9,2.532617851054938e-9,1.3451954403508286e-10,2.3912472981455644e-9,8.20770921099095e-9,2.3103288823385767e-9,7.68958543375807e-9,0.0,9.218483462670021e-10,2.7119127410446243e-8,1.1442955999900703e-8,2.032401588260786e-8,1.3034543634371112e-8,1.3190010012660996e-9,1.9884848693687228e-8,9.973896952467725e-9,1.2089900162875508e-8,3.6263204167450126e-9,1.52638637324088e-8,1.1284760531755764e-8,0.0,5.1512382372933626e-9,1.1572576572411162e-9,6.588316429340669e-10,1.2839888544763117e-8,6.619417575493274e-9,1.914141872360437e-9,1.0485733525139136e-10,9.750212466647057e-11,8.367511646222872e-10,8.14587520027316e-9,2.0234245880543082e-9,3.9670853294998105e-8,7.06561546906007e-9,8.559394841955419e-9,2.069868539877533e-8,1.309672911853297e-10,1.3810737444876771e-9,4.980792136096059e-9,1.1832697924842425e-10,6.052162506202537e-10,8.7520827819593e-10,4.975285039223702e-9,1.1337122827723393e-10,5.178219992537263e-10,6.652378194312495e-10,4.7140164407347544e-9,1.1570740790888932e-10,4.957311160862193e-10,7.456951387481327e-10,5.2062637309761406e-9,1.3964457876451877e-10,6.792436512701724e-10,7.355022414157641e-10,4.808651996936916e-9,1.2783296373041893e-10,6.763070858028295e-10,8.46221833648063e-10,4.635408890721053e-9,1.1087126183968854e-10,5.859264001004151e-10,6.739190296490042e-10,4.7821610401108625e-9,1.5388702682634175e-10,5.926885692889717e-10,6.646762647357667e-10,4.9195573379976464e-9,1.1021185867688231e-10,5.862564996843894e-10,6.795093683484025e-10,4.744194718695705e-9,1.2330412947909084e-10,5.522893608991929e-10,8.661303486357991e-10,5.142435035306117e-9,1.4752023043763026e-10,7.193382546429263e-10,8.320849953052755e-10,1.6744168633421796e-9,7.0937796911308386e-9,1.3000109397035792e-10,8.959725715390417e-10,4.324260576735332e-7
t4,5.823940686486373e-10,4.481217614034845e-9,2.5501000987686657e-9,7.376524781869777e-9,1.6003363030806715e-8,1.1368063823365902e-10,5.44740158112859e-9,1.032623074854978e-8,4.444544043080388e-9,1.0869058900988153e-8,0.0,2.4002691662286704e-9,1.7053117422869016e-10,6.183434024725027e-9,2.509416435025709e-9,1.3265878747549608e-10,2.334991205083701e-9,7.835701625602493e-9,2.1864080484887384e-9,7.362804748321933e-9,0.0,8.793407571465446e-10,2.6843740630863927e-8,1.1396083243502783e-8,2.02375899064685e-8,1.2260577790622704e-8,1.2500013638956343e-9,1.9733514247571392e-8,9.764552125814196e-9,1.167826804590137e-8,3.4409867802688604e-9,1.5128797804494298e-8,1.1055745253061553e-8,0.0,4.7995953786236976e-9,1.0430786046729592e-9,6.50976235228919e-10,1.2435589763070328e-8,6.370428547162969e-9,1.8898145854629223e-9,1.0248274444215944e-10,9.556975209016535e-11,8.585646338673077e-10,8.937387451738927e-9,2.148418167531149e-9,4.110026195645818e-8,7.526805409511332e-9,8.881538399352693e-9,2.198770766203618e-8,1.3225817497741037e-10,1.3617815356302299e-9,4.987858577929434e-9,1.1820767261695514e-10,6.067572381766704e-10,8.568837124093615e-10,4.899619530210691e-9,1.1272815428659874e-10,5.166081554228428e-10,6.628346269010754e-10,4.701560175173709e-9,1.1506349202142733e-10,4.948832846238925e-10,7.383143206728092e-10,5.126672594249895e-9,1.386122060031762e-10,6.742661917819693e-10,7.302413040207336e-10,4.787833975932458e-9,1.2702437251632237e-10,6.715702476854548e-10,8.327926230773862e-10,4.621652060715356e-9,1.1025802050557047e-10,5.829129374924606e-10,6.700358583829236e-10,4.762504698848621e-9,1.526807496986014e-10,5.902195010825006e-10,6.611755454271423e-10,4.893334867427026e-9,1.0961963996294782e-10,5.843730894856947e-10,6.751591755959213e-10,4.7274930345843866e-9,1.2259235091212773e-10,5.497486168211355e-10,8.390914804920201e-10,5.07061660412866e-9,1.4596074774663295e-10,7.089480056976357e-10,8.760001927505402e-10,1.766387103269501e-9,7.266008723870495e-9,1.3067592551026378e-10,9.518408790262108e-10,4.307718099379062e-7
t5,5.841097335217514e-10,4.603314983027481e-9,2.619269011324177e-9,7.416510973427682e-9,1.638510684494223e-8,1.1426357260875752e-10,5.419386759773308e-9,1.0260313675946841e-8,4.435384407933578e-9,1.0871047383315837e-8,0.0,2.397267785009225e-9,1.7044206408182578e-10,6.173570508764561e-9,2.5059238363805018e-9,1.3221132650053294e-10,2.3215473054729715e-9,7.875953880290332e-9,2.2166534904150708e-9,7.399238297649213e-9,0.0,8.885302512733359e-10,2.716669588047635e-8,1.1405599082304462e-8,2.0218969699799587e-8,1.2344101280872608e-8,1.2616866668953081e-9,2.0069937657347956e-8,9.748738204061678e-9,1.1761354684492091e-8,3.5097855274987716e-9,1.5349145739087847e-8,1.11381837488117e-8,0.0,4.455203659950479e-9,9.374883033867245e-10,6.410624395229343e-10,1.2008433750696012e-8,6.1074704032808174e-9,1.8640152080364857e-9,1.0005259174246226e-10,9.35789302528339e-11,8.799774866177725e-10,9.86390491228792e-9,2.265076332640903e-9,4.263338238159601e-8,8.048419050675021e-9,9.266451746207816e-9,2.354424988705043e-8,1.3341489723863037e-10,1.4167002869664782e-9,5.050058831512912e-9,1.1837266959719466e-10,6.194968436137409e-10,8.657748772050988e-10,4.875713739113741e-9,1.1244185036783414e-10,5.225894529166423e-10,6.734014256372899e-10,4.747181607574153e-9,1.14779416634306e-10,5.004421474099559e-10,7.488401525086354e-10,5.1021836299483195e-9,1.3813943475641885e-10,6.809748321418363e-10,7.414313197239443e-10,4.82236480162797e-9,1.266641960566181e-10,6.786627569007231e-10,8.447791674165965e-10,4.665100010422517e-9,1.0995086914489063e-10,5.884868896122317e-10,6.796342459437943e-10,4.801882170075161e-9,1.5218473358575182e-10,5.970460460288487e-10,6.706567931965603e-10,4.926981802487136e-9,1.0934045989603522e-10,5.912337249616798e-10,6.850818037195099e-10,4.773776363523567e-9,1.2229140665841167e-10,5.552803500673022e-10,8.104290520565602e-10,4.992365567604712e-9,1.4435968322194668e-10,6.962319490379749e-10,9.255920778316557e-10,1.8662293354417017e-9,7.443487626791413e-9,1.31254726904034e-10,1.0137391404240928e-9,4.3716003651275876e-7
t6,5.864123103827857e-10,4.747889935808093e-9,2.6998415311538603e-9,7.462730388609616e-9,1.682603797323409e-8,1.14767751571726e-10,5.388598421190429e-9,1.019068056932853e-8,4.429100500579887e-9,1.0868635088343878e-8,0.0,2.3941998529273407e-9,1.7060676966733037e-10,6.16573538506293e-9,2.503034849063059e-9,1.3186134989262608e-10,2.3081982801199054e-9,7.918146002791217e-9,2.252312778314082e-9,7.441410125205901e-9,0.0,8.993314419231017e-10,2.749283849539049e-8,1.1415180649198964e-8,2.0199180381572592e-8,1.2443594273614848e-8,1.275543948983928e-9,2.0424727146253e-8,9.742723426838965e-9,1.1853712698004603e-8,3.5846062983067354e-9,1.558794710907672e-8,1.1235195139555011e-8,0.0,4.153229020169622e-9,8.494707259623616e-10,6.308115077370031e-10,1.1601654845178497e-8,5.862216457630738e-9,1.8389170368933033e-9,9.775425498771232e-11,9.170682429395736e-11,9.014672954989548e-10,1.0968601706612724e-8,2.3695876332560073e-9,4.429675436123935e-8,8.655766534879449e-9,9.752967888567771e-9,2.5497097085740448e-8,1.344716932371205e-10,1.4877564591810703e-9,5.109471305165018e-9,1.1842918103654007e-10,6.399383554962372e-10,8.74845076455877e-10,4.842772616076761e-9,1.121532234887535e-10,5.277095635243148e-10,6.843594344237917e-10,4.783150147752697e-9,1.1449535816099715e-10,5.05048285919612e-10,7.605789727295505e-10,5.071878684160295e-9,1.3772749491312733e-10,6.872790031871763e-10,7.53467961714079e-10,4.849185804234634e-9,1.2634511661884947e-10,6.849928435040921e-10,8.581662377302569e-10,4.701787828166148e-9,1.0969434229716582e-10,5.936816311099386e-10,6.906174511644985e-10,4.835711762709406e-9,1.5174281944063605e-10,6.039272900665067e-10,6.815610876644969e-10,4.9548165434248974e-9,1.0912448993533906e-10,5.978836545187387e-10,6.965791914011939e-10,4.814918130964089e-9,1.220542201538287e-10,5.604756189416109e-10,7.833474420887522e-10,4.909946155689677e-9,1.4287098279484639e-10,6.832752683906849e-10,9.828228968311135e-10,1.975206449872917e-9,7.613089517771231e-9,1.3167926952043517e-10,1.0833040134052863e-9,4.447171249276484e-7
t7,5.858929335154994e-10,4.803796519161024e-9,2.723305637347369e-9,7.4487344488842475e-9,1.7065548579720086e-8,1.1446008065492054e-10,5.324614900475802e-9,1.0102681551227054e-8,4.405433515409931e-9,1.0775208169752479e-8,0.0,2.388854697923276e-9,1.7079167685682433e-10,6.113179595026809e-9,2.4981048843561177e-9,1.315161414861478e-10,2.287941932062649e-9,7.881764346621871e-9,2.2543565557855446e-9,7.396886237350126e-9,0.0,8.978206428827055e-10,2.76442908289003e-8,1.1408686754971992e-8,2.015821143214214e-8,1.2417048247931712e-8,1.2799963961540604e-9,2.06622554247785e-8,9.697282230504831e-9,1.1761225622505428e-8,3.579685401586369e-9,1.570397313373696e-8,1.1230390717261518e-8,0.0,4.1369911706833656e-9,8.495441895606821e-10,6.353192655662793e-10,1.1632640008663393e-8,5.892035337098548e-9,1.8324627377392896e-9,9.703529934413098e-11,9.114373755018113e-11,9.211856703877547e-10,1.2285613627696056e-8,2.5464274160184922e-9,4.604857602526129e-8,9.345277263474946e-9,1.0388726856110943e-8,2.799499205315426e-8,1.35304119110509e-10,1.5375881627233585e-9,5.147509247588389e-9,1.1808830894211848e-10,6.940619125253018e-10,8.766645908948665e-10,4.79842416739893e-9,1.1173426394650883e-10,5.304461499672006e-10,6.903194073922993e-10,4.805242798074751e-9,1.1415588477998931e-10,5.066995306083579e-10,7.678248325062449e-10,5.033554637793172e-9,1.3727803967632363e-10,6.898143959450269e-10,7.602717264467472e-10,4.864275492310628e-9,1.2603855548583749e-10,6.872137810533715e-10,8.642241698947863e-10,4.723396080252976e-9,1.0945510889948188e-10,5.950537138639973e-10,6.970427836454837e-10,4.8550827924202225e-9,1.511858488488483e-10,6.077820093387012e-10,6.878998900968569e-10,4.967631328947555e-9,1.0888449197345192e-10,6.007397885572252e-10,7.018172142125423e-10,4.834071897625112e-9,1.2174720170983987e-10,5.608947337648996e-10,7.930836607982451e-10,4.9354224936988606e-9,1.4236395521191628e-10,6.918656716970586e-10,1.049446663672992e-9,2.0803235016703953e-9,7.778401162272425e-9,1.3166352528417503e-10,1.1623656005228714e-9,4.526962651893348e-7
t8,5.724393567334954e-10,4.6078934128563154e-9,2.5700076137908064e-9,7.327051589468892e-9,1.6710004332602386e-8,1.1463122490409877e-10,4.981546971596969e-9,9.867376596746503e-9,4.260437836191822e-9,9.940945818572046e-9,0.0,2.3626502483363756e-9,1.6900828873374887e-10,5.593589695545282e-9,2.463985634625387e-9,1.293740792147888e-10,2.2014416090025237e-9,7.235207510535637e-9,2.0602275870257297e-9,6.848068317016736e-9,0.0,8.259880270299237e-10,2.682371833049378e-8,1.131368916836077e-8,2.000712682794503e-8,1.1124281966530801e-8,1.1537058855188597e-9,2.006354598371531e-8,9.36958923473733e-9,1.0986396104536912e-8,3.2323730159758423e-9,1.5310821891238826e-8,1.0815901055863061e-8,0.0,3.955571888730309e-9,8.090654477640429e-10,6.276790665385236e-10,1.1346016406136833e-8,5.729318504984476e-9,1.8115012917564386e-9,9.518638564187275e-11,8.963104912721537e-11,8.476629637577664e-10,1.1184123501656625e-8,2.0810474770725676e-9,4.533810983511509e-8,9.111336115342808e-9,1.0656272645523975e-8,2.8514499435776187e-8,1.3221288642311423e-10,1.3502447512197464e-9,5.079074690115623e-9,1.17588743633013e-10,6.082437788028065e-10,8.265556865328978e-10,4.65185360097928e-9,1.1073614344752619e-10,5.17962999085651e-10,6.67767688070092e-10,4.692153954197973e-9,1.134222035583702e-10,4.929859293342146e-10,7.427469665006162e-10,4.90305499262796e-9,1.3630321347486288e-10,6.686495941493234e-10,7.358019678058614e-10,4.767155798491337e-9,1.254157496422857e-10,6.668549878700907e-10,8.28591654547028e-10,4.6347781632071456e-9,1.0910563289186408e-10,5.799710325025463e-10,6.796454629398697e-10,4.762806018245641e-9,1.500592193312062e-10,5.950025352615238e-10,6.71381265116852e-10,4.869495159693138e-9,1.0841846595434837e-10,5.865690796233284e-10,6.855945092120235e-10,4.746555114138464e-9,1.2126358632037092e-10,5.478711840775893e-10,7.727914955723799e-10,4.884189357095869e-9,1.4115350101082562e-10,6.840413451424464e-10,1.0377568113054614e-9,1.7551211848073147e-9,7.641607001993883e-9,1.2959312774816834e-10,1.1425549861472e-9,4.382127504502199e-7
