Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.6194490307691175e8,2.4114625077437017e7,1.0455675874505398e8,1.404626018236917e8,3.5235368120955265e8,6.906006364620784e6,7.345671972585468e6,7.4149396286912775e6,7.480586328009962e6,7.684356680101576e6,7.493301307141814e6,7.258120536198699e6,7.10741621508153e6,6.786808224827686e6,1.0773525323792882e7,1.3349014137750411e7,6.338959476830157e6,1.8601616986282602e7,0.0,314762.9880245425,7.924255793916863e6,1.5370010275825288e6,3.6025158585331035e6,7.920521198683019e6,24080.713776927878,18631.676758956073,36317.86221768259,4165.26821019554,22334.761253510875,40941.26937321795,146705.0246758483,49183.4230217172,399443.51746896165,1.9757723498024167e6,327714.79896552104,209009.29345317706,162326.58505495204,306163.1780440253,39718.77664702732,194739.59636205746,351816.7419763087,1.1912891290947283e6,441119.8769030534,4.254539510499223e6,1.1940611000499723e7,3.278019215125002e6,9.446865935504863e8
t1,3629.773372373572,1784.6218474030645,3960.8119455208066,6027.486514565195,36452.25005251401,425.27042157063846,496.5879997535694,497.9642677758853,492.1118866973816,500.6111760175558,484.8108520548457,464.6575616787463,451.5205964871036,454.9111537866903,514.9556320534159,1103.2375206179127,649.1307050079803,1634.7536864266033,0.0,33.43363770318685,755.500720988914,150.69219104518115,418.02419613045635,590.4194316199138,2.866958544944184,2.1840197860663824,4.171559542281204,0.49063198505941497,2.595992909613694,4.760431451885135,17.190422310110396,5.7761741819824985,47.623527006538225,216.24280665561363,43.13503756095636,19.56103022128456,14.285786738944799,29.44261163388423,3.332481902085649,17.483077052700736,34.829209422219364,147.15818678153428,42.99114662970405,541.4171199641273,1529.1466186623202,452.53993307245474,65152.76213380896
t2,4282.338745089161,1727.225325339905,3991.074117709336,6979.4933998572615,36534.331169673926,432.8482664724469,489.9320490905029,492.82878260090484,489.63445916283524,481.1227909295438,486.1502500175046,466.3092758094212,455.79649673050346,452.77194372612314,514.2180203299274,1198.8321102278576,664.9701180300784,1586.0702719643189,0.0,33.2667305909894,747.7204392550783,149.98219226330627,444.7538791896313,666.546034881237,1.5396232618207595,1.17712678715008,2.2204846516790044,0.265676348242559,1.393065885059677,2.5634450195740968,9.08169357786917,3.1032464180401265,25.003306497972815,120.54654216466747,21.978403167196966,14.262012757552862,10.26324042795481,21.183479178840788,2.451691683411835,12.57288648949095,25.244716651357887,104.3962801742707,31.080784468492098,388.4797961545983,1061.5149918932107,320.2371960377381,65948.77655863798
t3,5500.2256660829,1695.2316403693897,4135.3211432092085,8086.739459477496,36627.53783435971,408.31139450373354,459.85849760166803,463.6903663690334,458.2394557563321,451.4763342848658,457.43398123137246,441.1714051724968,435.2668440676316,425.7283142527335,512.6271055029,1250.971981825259,651.6371959679473,1556.8704983361429,0.0,32.96351874028477,738.6072443649913,147.44659816130815,443.0640271932544,708.8426786061217,0.48926508408352715,0.37557818815752697,0.6764477241801328,0.09276154197922701,0.44128421302758863,0.7710426204803139,2.660272663330508,0.9591916854041928,6.799060858138197,38.315461042043914,5.883524671163453,10.347275282804176,7.2849206645617,15.15685711497144,1.8237602096920822,8.98466323950436,18.366385931621764,74.96051049582682,22.63600286686386,279.49019130408226,776.2127577633587,230.1412767100992,67592.13167731217
t4,6929.581762344296,1692.7664493853238,4811.667806283573,9263.419898352624,36727.84465602922,379.1759154530209,416.0240305002693,420.62761088315773,411.880977258021,416.01761496622584,413.20341157519834,402.1081313703066,401.074295049986,395.1612083304446,573.5241797900529,1268.9259834411307,637.4514506906582,1529.4875417448081,0.0,32.66526157095133,723.7813442898764,143.5782004568599,432.3192816858908,703.786423622799,0.1837453728847529,0.1473414297374439,0.2498404840820761,0.033016508695447436,0.17281357432018593,0.3012055803733875,0.9930624781531188,0.3691707907656415,2.891884027785835,15.88392015376049,2.3485139557232837,7.343938658769843,4.971972107581902,10.545270628917985,1.3929419123472047,6.200421613929495,13.251688783798189,54.5658967484482,16.388400984186724,199.8755607339988,601.0180959448721,167.31137506007707,70232.51351260791
t5,8425.086108876601,1747.4655950296356,5706.336890421855,10475.813070414404,36824.45639745284,369.3761400258508,346.0807294576836,346.6610445104848,333.59204138999576,302.32386617976556,336.3559933647865,329.74815583189707,334.1896640763789,350.21731241394616,837.2348897532831,1227.8410957535473,628.8322731009778,1509.3307353770715,0.0,32.4744504381385,709.71459743541,140.19649994418785,420.47671104285416,654.0574429015186,0.13773429003924412,0.13592007252437985,0.2108907604809981,0.03197417182115439,0.16375041793233042,0.22889933477908012,0.7073677070673807,0.2770191543361342,2.3719838530303416,12.879031319735656,1.8610530821199731,4.419178986299536,2.7802801083505284,6.068987565024473,1.0575314792408985,3.499966336192167,8.271776478295912,34.960965803015085,10.30691418802746,117.02961140145027,407.0534807854408,107.45920913777263,73109.77523162609
t6,9954.10416129805,1859.2697182635195,6587.284112706358,11606.702781579603,36923.445150857006,600.3382391742929,259.4916514485523,261.7613592515314,242.9870544494865,255.94464245644178,241.89619679798642,235.5018764422696,242.89833061525573,420.84365805793135,362.6643174109618,768.5907012366946,620.8130626841948,1469.471471022125,0.0,31.809093287094367,709.3905034970144,138.9089686280717,404.3513144221523,586.5976593491027,0.0630295992221822,0.052278871708974314,0.09802850716876237,0.007731528834728776,0.06057743216257654,0.15116832496448993,0.44185530739868756,0.16748117420745795,2.0376659260140375,14.243096972951964,1.5615792476536299,2.4697225135130996,1.425034453248239,3.3331806775928725,0.4990388260138997,1.8719302994872586,4.848055606455566,20.311588500951135,6.068320222279989,73.56752236613166,281.53903139228925,50.60750755445292,75250.49145024043
t7,11483.133224218489,2025.8495783589865,7557.559726175663,12814.552196668994,37760.53541114487,824.2291362716427,526.4851036347986,521.1551893700812,500.5836021792073,567.8116810112855,499.0374180846414,478.6320914705623,488.3853229022106,693.9053452167308,1141.9017485543798,301.54975168015284,611.4829872664873,1554.259347146451,0.0,31.85771003585139,742.2980863618277,143.30617186194326,398.3511636732165,588.5132321719406,0.40118447467082347,0.30464957238645324,0.604395492724909,0.05272610255294701,0.3669948004017571,1.06098766792655,3.988489129618654,1.1288490137638194,12.21690715555432,118.08743057228222,8.897969621729473,1.6313077421678386,0.9809430113725391,2.2730105735497226,0.3059737974108161,1.2937161288755936,3.3529432163343147,13.31336482248553,4.178347155789443,44.49423893309005,264.38771421658294,32.60784143855676,82771.30521010025
t8,13010.253945989078,2200.0611848203557,8531.861065106457,14010.324831176984,40787.482781383995,910.5561931152133,837.9200371053876,829.3062953067538,814.0531332579544,856.2033275469093,809.3176817937849,785.5544643656107,790.4040215381797,886.5546920140413,1643.099006574512,1200.3162561295985,604.8685604187633,1766.7585292089404,0.0,31.997011427187896,797.8233942732293,149.50248041747497,404.9285537594891,687.4685744642014,2.4516980126623307,1.7872440065450277,3.8363596753635685,0.3881613068431047,2.2414748988340722,4.812374825378784,17.109691906632754,5.633974408884714,38.58794714352444,250.8231382375154,33.43391216427113,1.4869351223417873,0.9890154983647911,2.228929069940395,0.24855577886534827,1.2998756317435518,3.1419661094231373,11.857839576284531,3.830265913073775,33.38593573585682,170.2612292209313,28.406966511655845,93964.85951194902
