Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-2.2017400747585997e-17,-1.5517157632012853e-16,-2.0089716948591418e-16,-1.0855905746026384e-16,-8.75176197615e-16,-1.6643478643447096e-16,-1.0051478004457526e-16,-3.509601300763232e-17,-8.709544694630432e-17,-2.1415006342440244e-17,-7.659639599267101e-18
t2,-2.358935526392722e-17,-1.6396125059269425e-16,-2.1266865755282583e-16,-1.1429403873363428e-16,-9.338176091620342e-16,-1.7584248604752683e-16,-1.0587085273989312e-16,-3.672066938414991e-17,-9.166603806000912e-17,-1.9291938101057533e-17,-6.676662977427165e-18
t3,-2.471542518542508e-17,-1.7039973182873761e-16,-2.212789505548164e-16,-1.1859265664702153e-16,-9.699771196456048e-16,-1.8288881834868554e-16,-1.0974174896790239e-16,-3.7913497310494726e-17,-9.493686954509483e-17,-1.986905245073694e-17,-6.8992176377958866e-18
t4,-2.5500435863778277e-17,-1.7417274150176945e-16,-2.264623863288289e-16,-1.2108731626749405e-16,-1.0010317028887417e-15,-1.8704160942071908e-16,-1.1220628841272403e-16,-3.8650509050888736e-17,-9.702200799244537e-17,-2.026080675538458e-17,-7.041386688904276e-18
t5,-2.589776551058037e-17,-1.7588277188978106e-16,-2.2874253392113833e-16,-1.222171250153569e-16,-1.0090150733503371e-15,-1.8880610586697743e-16,-1.1314556822338876e-16,-3.895851692979569e-17,-9.785443557041294e-17,-2.0420840138146173e-17,-7.130519854311392e-18
t6,-2.5961585544259552e-17,-2.5018933818607834e-16,-3.0841811751616616e-16,-1.8176252534922424e-16,-1.0323955084014745e-15,-2.650528975915141e-16,-1.6916852950166635e-16,-5.930708281392485e-17,-1.4798186956964588e-16,-3.223777066101617e-17,-1.0974804420991375e-17
t7,-2.599336202849506e-17,-1.7613727260756484e-16,-2.2890541806221224e-16,-1.2242744879543411e-16,-1.0114420037269072e-15,-1.8895316043915383e-16,-1.1316249232948968e-16,-3.904203642035862e-17,-9.775550010702873e-17,-3.18488259460587e-17,-1.1223827796405271e-17
t8,-2.519258734811719e-17,-1.6552898001979297e-16,-2.1475891143371842e-16,-1.1553786950525596e-16,-9.441495867052258e-16,-1.7774450717905508e-16,-1.06675105309119e-16,-3.7149016411377813e-17,-9.219597834724525e-17,-3.061754611696463e-17,-1.0399527505966624e-17
t9,-2.335620258852828e-17,-1.538844532139955e-16,-1.9909077941124555e-16,-1.0762270331633984e-16,-8.664227358510075e-16,-1.649296885199515e-16,-9.947465286163223e-17,-3.485763701497549e-17,-8.613239584814779e-17,-2.8860994568545207e-17,-9.87875121842583e-18
t10,-2.1474448166721323e-17,-1.4390710736337117e-16,-1.857314627900593e-16,-1.0105144739429885e-16,-8.057081480561189e-16,-1.5434619690259125e-16,-9.348703045742873e-17,-3.2906758797532104e-17,-8.101504033440963e-17,-2.7583126855294696e-17,-8.838067798930021e-18
t11,-2.0231800740550787e-17,-1.37101772471933e-16,-1.7675927637753183e-16,-9.653956882884289e-17,-7.619760595895907e-16,-1.4686008551231654e-16,-8.941108607988853e-17,-3.149701165858436e-17,-7.759853023808973e-17,-2.6524223047493727e-17,-8.302745576956692e-18
t12,-1.9527182912750255e-17,-1.323625863012745e-16,-1.7055727668513218e-16,-9.339784753193789e-17,-7.30566345829819e-16,-1.418971137279473e-16,-8.651789934520021e-17,-3.052039144026871e-17,-7.508987782127211e-17,-1.625103874824332e-17,-5.530610825137492e-18
t13,-1.9056791756515644e-17,-1.293859025730741e-16,-1.6630634506474396e-16,-9.134393536042958e-17,-7.125976609110192e-16,-1.3853516481333664e-16,-8.455587825019574e-17,-2.987014289704562e-17,-7.345128246477086e-17,-1.5913598974194166e-17,-5.3798004622099675e-18
t14,-1.8868660105401206e-17,-1.6370476021011562e-16,-2.0157516098948968e-16,-1.203999140842627e-16,-7.123882800799125e-16,-1.7311658905616736e-16,-1.11635435146928e-16,-3.9278560702051984e-17,-9.714730896082169e-17,-1.57600374892421e-17,-5.30504982036675e-18
t15,-1.8829179483314407e-17,-1.2742318694870066e-16,-1.6400299369454326e-16,-9.008395482208035e-17,-7.013573017764976e-16,-1.3650960945028222e-16,-8.34401597762817e-17,-2.948751762617177e-17,-7.248051791894219e-17,-1.5572676236622412e-17,-5.216789002051245e-18
t16,-1.8793128885421804e-17,-1.2659889890643198e-16,-1.6271016747350833e-16,-8.953259336117677e-17,-6.935818118656366e-16,-1.3553779125314453e-16,-8.290114312052735e-17,-2.931220065352964e-17,-7.196958384880558e-17,-1.5318357226231547e-17,-5.123194962556847e-18
