model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2027,base_short_no_ccs,all,MWh,259018.96613070552
GenX,BASN,BASN_biomass_1,Other,2027,base_short_no_ccs,all,MWh,70761.6000000021
GenX,BASN,BASN_biomass_2,Other,2027,base_short_no_ccs,all,MWh,179961.5999999994
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,8353282.001429345
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,base_short_no_ccs,all,MWh,2175943.6483010794
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2027,base_short_no_ccs,all,MWh,4382906.164412178
GenX,BASN,BASN_geothermal_1,Geothermal,2027,base_short_no_ccs,all,MWh,4039229.305689554
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,all,MWh,1166069.0302024304
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,all,MWh,37500220.529573664
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,all,MWh,1069.9357649107883
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_no_ccs,all,MWh,1382.2758409714288
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,2265.178402529255
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,835.7576639612035
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2027,base_short_no_ccs,all,MWh,3645644.085996683
GenX,BASN,BASN_petroleum_liquids_1,Other,2027,base_short_no_ccs,all,MWh,88.42398435328306
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,1512201.600000041
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2027,base_short_no_ccs,all,MWh,18875095.47377037
GenX,CANO,CANO_batteries_1,Battery,2027,base_short_no_ccs,all,MWh,505175.8000467302
GenX,CANO,CANO_biomass_1,Other,2027,base_short_no_ccs,all,MWh,1364563.199999999
GenX,CANO,CANO_biomass_2,Other,2027,base_short_no_ccs,all,MWh,624624.0
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,19204021.136084232
GenX,CANO,CANO_geothermal_1,Geothermal,2027,base_short_no_ccs,all,MWh,0.0
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,base_short_no_ccs,all,MWh,259861.86892050653
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,all,MWh,3158840.047641898
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,all,MWh,52555685.264641725
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,all,MWh,1446.936021433574
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_no_ccs,all,MWh,1358.4981621347224
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,4116.173695899698
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,5478.096860512434
GenX,CANO,CANO_nuclear_1,Nuclear,2027,base_short_no_ccs,all,MWh,0.0
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2027,base_short_no_ccs,all,MWh,3011358.5228233417
GenX,CANO,CANO_petroleum_liquids_1,Other,2027,base_short_no_ccs,all,MWh,144.8782186547628
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,2007532.7999999763
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2027,base_short_no_ccs,all,MWh,14725243.62707697
GenX,CASO,CASO_batteries_1,Battery,2027,base_short_no_ccs,all,MWh,4363552.981897748
GenX,CASO,CASO_biomass_1,Other,2027,base_short_no_ccs,all,MWh,1024732.8000000172
GenX,CASO,CASO_biomass_2,Other,2027,base_short_no_ccs,all,MWh,207916.79999999423
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,2301832.7797629787
GenX,CASO,CASO_conventional_steam_coal_1,Coal,2027,base_short_no_ccs,all,MWh,0.0
GenX,CASO,CASO_geothermal_1,Geothermal,2027,base_short_no_ccs,all,MWh,205907.79467501972
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,base_short_no_ccs,all,MWh,274783.2532631404
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,all,MWh,962549.6247575852
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,all,MWh,50268424.593913615
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,all,MWh,1532.396166037605
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_no_ccs,all,MWh,1304.3598479428977
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,53180.871687414176
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,3437.477073979538
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2027,base_short_no_ccs,all,MWh,13758694.844524393
GenX,CASO,CASO_petroleum_liquids_1,Other,2027,base_short_no_ccs,all,MWh,87.8950305795705
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,593174.4000000078
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2027,base_short_no_ccs,all,MWh,30420180.8573832
GenX,FRCC,FRCC_batteries_1,Battery,2027,base_short_no_ccs,all,MWh,82344.19233251149
GenX,FRCC,FRCC_biomass_1,Other,2027,base_short_no_ccs,all,MWh,734697.6000000049
GenX,FRCC,FRCC_biomass_2,Other,2027,base_short_no_ccs,all,MWh,996777.6000000116
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,116503.32011955202
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,base_short_no_ccs,all,MWh,814838.2520116041
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2027,base_short_no_ccs,all,MWh,782.9978488440057
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,all,MWh,196847326.38158703
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,all,MWh,1870563.331248399
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,all,MWh,993.1478680814092
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_no_ccs,all,MWh,851.1018656334976
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,122714.60500559064
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,1177.9491253177405
GenX,FRCC,FRCC_nuclear_1,Nuclear,2027,base_short_no_ccs,all,MWh,32645470.49376573
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2027,base_short_no_ccs,all,MWh,127.49676599930952
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2027,base_short_no_ccs,all,MWh,18268722.61312655
GenX,ISNE,ISNE_batteries_1,Battery,2027,base_short_no_ccs,all,MWh,101961.00251285348
GenX,ISNE,ISNE_biomass_1,Other,2027,base_short_no_ccs,all,MWh,528528.0
GenX,ISNE,ISNE_biomass_2,Other,2027,base_short_no_ccs,all,MWh,1153152.0
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,3269542.2035428635
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2027,base_short_no_ccs,all,MWh,0.0
GenX,ISNE,ISNE_conventional_steam_coal_2,Coal,2027,base_short_no_ccs,all,MWh,2880710.574047105
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2027,base_short_no_ccs,all,MWh,471172.292277848
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,all,MWh,3601025.31397781
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,all,MWh,68378394.96616374
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,all,MWh,156992.3021305626
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_no_ccs,all,MWh,9806.254161062594
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,29182.35649037198
GenX,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,10276.142395360856
GenX,ISNE,ISNE_nuclear_1,Nuclear,2027,base_short_no_ccs,all,MWh,29312604.22460276
GenX,ISNE,ISNE_offshore_wind_turbine_1,Wind,2027,base_short_no_ccs,all,MWh,91018.68746753348
GenX,ISNE,ISNE_onshore_wind_turbine_1,Wind,2027,base_short_no_ccs,all,MWh,2737006.173371386
GenX,ISNE,ISNE_petroleum_liquids_1,Other,2027,base_short_no_ccs,all,MWh,14614.486179269985
GenX,ISNE,ISNE_small_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,2301062.3999999505
GenX,ISNE,ISNE_solar_photovoltaic_1,Solar,2027,base_short_no_ccs,all,MWh,5059205.622423641
GenX,MISC,MISC_batteries_1,Battery,2027,base_short_no_ccs,all,MWh,13326.698769167211
GenX,MISC,MISC_biomass_1,Other,2027,base_short_no_ccs,all,MWh,364291.1999999981
GenX,MISC,MISC_biomass_2,Other,2027,base_short_no_ccs,all,MWh,362544.0
GenX,MISC,MISC_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,all,MWh,1531416.5636480062
GenX,MISC,MISC_conventional_steam_coal_1,Coal,2027,base_short_no_ccs,all,MWh,43865.87770258851
GenX,MISC,MISC_conventional_steam_coal_2,Coal,2027,base_short_no_ccs,all,MWh,26931675.57676852
GenX,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2027,base_short_no_ccs,all,MWh,285684.2648159614
GenX,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,all,MWh,6587318.310066072
GenX,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,all,MWh,21193171.08110567
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,all,MWh,36847.76446186977
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_no_ccs,all,MWh,30004.89868437935
GenX,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,2986.554186040761
GenX,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_no_ccs,all,MWh,37113.396535758264
GenX,MISC,MISC_nuclear_1,Nuclear,2027,base_short_no_ccs,all,MWh,20673790.852834653
GenX,MISC,MISC_onshore_wind_turbine_1,Wind,2027,base_short_no_ccs,all,MWh,11764750.03697808
