model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2027,base_short_no_ccs,MW,100,100.14
GenX,2,BASN_to_CASO,2027,base_short_no_ccs,MW,5920,5920.48
GenX,3,BASN_to_NWPP,2027,base_short_no_ccs,MW,3350,3350.02
GenX,4,BASN_to_RMRG,2027,base_short_no_ccs,MW,3750,3750.18
GenX,5,BASN_to_SRSG,2027,base_short_no_ccs,MW,5385,5385.16
GenX,6,CANO_to_CASO,2027,base_short_no_ccs,MW,3675,3675.03
GenX,7,CANO_to_NWPP,2027,base_short_no_ccs,MW,3675,3675.03
GenX,8,CASO_to_NWPP,2027,base_short_no_ccs,MW,2858,2858.08
GenX,9,CASO_to_SRSG,2027,base_short_no_ccs,MW,4354,4354.16
GenX,10,FRCC_to_SRSE,2027,base_short_no_ccs,MW,3600,3600.14
GenX,11,ISNE_to_NYCW,2027,base_short_no_ccs,MW,760,760.018
GenX,12,ISNE_to_NYUP,2027,base_short_no_ccs,MW,1400,1400.17
GenX,13,MISC_to_MISE,2027,base_short_no_ccs,MW,0,2.29416
GenX,14,MISC_to_MISS,2027,base_short_no_ccs,MW,1039,1039.73
GenX,15,MISC_to_MISW,2027,base_short_no_ccs,MW,1655,1655.07
GenX,16,MISC_to_PJMC,2027,base_short_no_ccs,MW,5244,5244.05
GenX,17,MISC_to_PJMW,2027,base_short_no_ccs,MW,5441,5441.14
GenX,18,MISC_to_SPPC,2027,base_short_no_ccs,MW,1430,1430.66
GenX,19,MISC_to_SPPN,2027,base_short_no_ccs,MW,0,3.18055
GenX,20,MISC_to_SPPS,2027,base_short_no_ccs,MW,1172,1172.13
GenX,21,MISC_to_SRCE,2027,base_short_no_ccs,MW,3745,3745.1
GenX,22,MISE_to_MISW,2027,base_short_no_ccs,MW,0,1.67764
GenX,23,MISE_to_PJMW,2027,base_short_no_ccs,MW,2662,2662.24
GenX,24,MISS_to_SPPC,2027,base_short_no_ccs,MW,0,5.30421
GenX,25,MISS_to_SPPS,2027,base_short_no_ccs,MW,1697,1945.53
GenX,26,MISS_to_SRCE,2027,base_short_no_ccs,MW,4092,4092.13
GenX,27,MISS_to_SRSE,2027,base_short_no_ccs,MW,891,891.137
GenX,28,MISW_to_NWPP,2027,base_short_no_ccs,MW,200,200.024
GenX,29,MISW_to_PJMC,2027,base_short_no_ccs,MW,3200,3200.23
GenX,30,MISW_to_SPPC,2027,base_short_no_ccs,MW,0,2.03429
GenX,31,MISW_to_SPPN,2027,base_short_no_ccs,MW,5512,5512.01
GenX,32,NWPP_to_RMRG,2027,base_short_no_ccs,MW,400,400.053
GenX,33,NYCW_to_NYUP,2027,base_short_no_ccs,MW,2489,2489.04
GenX,34,NYCW_to_PJME,2027,base_short_no_ccs,MW,660,3678.18
GenX,35,NYUP_to_PJME,2027,base_short_no_ccs,MW,1255,1255.19
GenX,36,PJMC_to_PJMW,2027,base_short_no_ccs,MW,980,980.229
GenX,37,PJMD_to_PJME,2027,base_short_no_ccs,MW,1200,1200.18
GenX,38,PJMD_to_PJMW,2027,base_short_no_ccs,MW,6930,6930
GenX,39,PJMD_to_SRCA,2027,base_short_no_ccs,MW,1000,1001
GenX,40,PJME_to_PJMW,2027,base_short_no_ccs,MW,3885,3885.12
GenX,41,PJMW_to_SRCA,2027,base_short_no_ccs,MW,1219,1219.05
GenX,42,PJMW_to_SRCE,2027,base_short_no_ccs,MW,3333,3333.09
GenX,43,RMRG_to_SPPC,2027,base_short_no_ccs,MW,210,992.405
GenX,44,RMRG_to_SPPN,2027,base_short_no_ccs,MW,410,1499.96
GenX,45,RMRG_to_SRSG,2027,base_short_no_ccs,MW,614,615.044
GenX,46,SPPC_to_SPPN,2027,base_short_no_ccs,MW,1433,2321.78
GenX,47,SPPC_to_SPPS,2027,base_short_no_ccs,MW,3372,3372.02
GenX,48,SPPN_to_SPPS,2027,base_short_no_ccs,MW,0,70.5709
GenX,49,SPPS_to_SRSG,2027,base_short_no_ccs,MW,1010,1010.19
GenX,50,SPPS_to_TRE,2027,base_short_no_ccs,MW,600,600.234
GenX,51,SPPS_to_TREW,2027,base_short_no_ccs,MW,220,1728.03
GenX,52,SRCA_to_SRCE,2027,base_short_no_ccs,MW,216,216.057
GenX,53,SRCA_to_SRSE,2027,base_short_no_ccs,MW,1400,1400.03
GenX,54,SRCE_to_SRSE,2027,base_short_no_ccs,MW,3196,3196.12
GenX,55,TRE_to_TREW,2027,base_short_no_ccs,MW,16529,16529
GenX,56,NWPP_to_SPPN,2027,base_short_no_ccs,MW,0,1.17633
GenX,57,SRSG_to_TRE,2027,base_short_no_ccs,MW,0,2.92074
GenX,1,BASN_to_CANO,2030,base_short_no_ccs,MW,100.14,100.356
GenX,2,BASN_to_CASO,2030,base_short_no_ccs,MW,5920.48,5920.56
GenX,3,BASN_to_NWPP,2030,base_short_no_ccs,MW,3350.02,3350.05
GenX,4,BASN_to_RMRG,2030,base_short_no_ccs,MW,3750.18,5825.59
GenX,5,BASN_to_SRSG,2030,base_short_no_ccs,MW,5385.16,5385.23
GenX,6,CANO_to_CASO,2030,base_short_no_ccs,MW,3675.03,3675.18
GenX,7,CANO_to_NWPP,2030,base_short_no_ccs,MW,3675.03,3675.14
GenX,8,CASO_to_NWPP,2030,base_short_no_ccs,MW,2858.08,2858.12
GenX,9,CASO_to_SRSG,2030,base_short_no_ccs,MW,4354.16,10683.2
GenX,10,FRCC_to_SRSE,2030,base_short_no_ccs,MW,3600.14,5065.28
GenX,11,ISNE_to_NYCW,2030,base_short_no_ccs,MW,760.018,917.486
GenX,12,ISNE_to_NYUP,2030,base_short_no_ccs,MW,1400.17,3742.13
GenX,13,MISC_to_MISE,2030,base_short_no_ccs,MW,2.29416,5816.39
GenX,14,MISC_to_MISS,2030,base_short_no_ccs,MW,1039.73,1039.81
GenX,15,MISC_to_MISW,2030,base_short_no_ccs,MW,1655.07,1655.17
GenX,16,MISC_to_PJMC,2030,base_short_no_ccs,MW,5244.05,5244.23
GenX,17,MISC_to_PJMW,2030,base_short_no_ccs,MW,5441.14,24572.9
GenX,18,MISC_to_SPPC,2030,base_short_no_ccs,MW,1430.66,12623.5
GenX,19,MISC_to_SPPN,2030,base_short_no_ccs,MW,3.18055,9997.39
GenX,20,MISC_to_SPPS,2030,base_short_no_ccs,MW,1172.13,12888
GenX,21,MISC_to_SRCE,2030,base_short_no_ccs,MW,3745.1,3745.24
GenX,22,MISE_to_MISW,2030,base_short_no_ccs,MW,1.67764,34.9026
GenX,23,MISE_to_PJMW,2030,base_short_no_ccs,MW,2662.24,2662.45
GenX,24,MISS_to_SPPC,2030,base_short_no_ccs,MW,5.30421,6992.34
GenX,25,MISS_to_SPPS,2030,base_short_no_ccs,MW,1945.53,18915.2
GenX,26,MISS_to_SRCE,2030,base_short_no_ccs,MW,4092.13,4092.28
GenX,27,MISS_to_SRSE,2030,base_short_no_ccs,MW,891.137,10891
GenX,28,MISW_to_NWPP,2030,base_short_no_ccs,MW,200.024,200.076
GenX,29,MISW_to_PJMC,2030,base_short_no_ccs,MW,3200.23,8440.46
GenX,30,MISW_to_SPPC,2030,base_short_no_ccs,MW,2.03429,451.814
GenX,31,MISW_to_SPPN,2030,base_short_no_ccs,MW,5512.01,5512.59
GenX,32,NWPP_to_RMRG,2030,base_short_no_ccs,MW,400.053,4831.81
GenX,33,NYCW_to_NYUP,2030,base_short_no_ccs,MW,2489.04,3257.29
GenX,34,NYCW_to_PJME,2030,base_short_no_ccs,MW,3678.18,6598.92
GenX,35,NYUP_to_PJME,2030,base_short_no_ccs,MW,1255.19,3540.58
GenX,36,PJMC_to_PJMW,2030,base_short_no_ccs,MW,980.229,8282.12
GenX,37,PJMD_to_PJME,2030,base_short_no_ccs,MW,1200.18,4895.79
GenX,38,PJMD_to_PJMW,2030,base_short_no_ccs,MW,6930,6930.16
GenX,39,PJMD_to_SRCA,2030,base_short_no_ccs,MW,1001,1001.05
GenX,40,PJME_to_PJMW,2030,base_short_no_ccs,MW,3885.12,9245.93
GenX,41,PJMW_to_SRCA,2030,base_short_no_ccs,MW,1219.05,1219.13
GenX,42,PJMW_to_SRCE,2030,base_short_no_ccs,MW,3333.09,3333.16
GenX,43,RMRG_to_SPPC,2030,base_short_no_ccs,MW,992.405,10989
GenX,44,RMRG_to_SPPN,2030,base_short_no_ccs,MW,1499.96,7335.33
GenX,45,RMRG_to_SRSG,2030,base_short_no_ccs,MW,615.044,4356.39
GenX,46,SPPC_to_SPPN,2030,base_short_no_ccs,MW,2321.78,4129.68
GenX,47,SPPC_to_SPPS,2030,base_short_no_ccs,MW,3372.02,3700.71
GenX,48,SPPN_to_SPPS,2030,base_short_no_ccs,MW,70.5709,6011.03
GenX,49,SPPS_to_SRSG,2030,base_short_no_ccs,MW,1010.19,4750.63
GenX,50,SPPS_to_TRE,2030,base_short_no_ccs,MW,600.234,10598.8
GenX,51,SPPS_to_TREW,2030,base_short_no_ccs,MW,1728.03,11719.2
GenX,52,SRCA_to_SRCE,2030,base_short_no_ccs,MW,216.057,953.464
