model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_BASN_batteries_1,Battery,2027,short-base-200-retire,MWh,314834
USENSYS,BASN,BASN_BASN_batteries_1,Battery,2030,short-base-200-retire,MWh,382534
USENSYS,BASN,BASN_BASN_batteries_1,Battery,2035,short-base-200-retire,MWh,715167
USENSYS,BASN,BASN_BASN_batteries_1,Battery,2040,short-base-200-retire,MWh,841853
USENSYS,BASN,BASN_BASN_batteries_1,Battery,2045,short-base-200-retire,MWh,845134
USENSYS,BASN,BASN_BASN_batteries_1,Battery,2050,short-base-200-retire,MWh,802069
USENSYS,BASN,BASN_BASN_battery_moderate_0,Battery,2045,short-base-200-retire,MWh,1973411
USENSYS,BASN,BASN_BASN_battery_moderate_0,Battery,2050,short-base-200-retire,MWh,10808438
USENSYS,BASN,BASN_BASN_biomass_1,Other,2027,short-base-200-retire,MWh,69792
USENSYS,BASN,BASN_BASN_biomass_1,Other,2030,short-base-200-retire,MWh,48296
USENSYS,BASN,BASN_BASN_biomass_1,Other,2035,short-base-200-retire,MWh,48384
USENSYS,BASN,BASN_BASN_biomass_1,Other,2040,short-base-200-retire,MWh,48192
USENSYS,BASN,BASN_BASN_biomass_1,Other,2045,short-base-200-retire,MWh,49455
USENSYS,BASN,BASN_BASN_biomass_1,Other,2050,short-base-200-retire,MWh,53512
USENSYS,BASN,BASN_BASN_biomass_2,Other,2027,short-base-200-retire,MWh,183204
USENSYS,BASN,BASN_BASN_biomass_2,Other,2030,short-base-200-retire,MWh,131061
USENSYS,BASN,BASN_BASN_biomass_2,Other,2035,short-base-200-retire,MWh,128016
USENSYS,BASN,BASN_BASN_biomass_2,Other,2040,short-base-200-retire,MWh,126819
USENSYS,BASN,BASN_BASN_biomass_2,Other,2045,short-base-200-retire,MWh,130704
USENSYS,BASN,BASN_BASN_biomass_2,Other,2050,short-base-200-retire,MWh,143514
USENSYS,BASN,BASN_BASN_conventional_hydroelectric_1,Hydro,2027,short-base-200-retire,MWh,8464791
USENSYS,BASN,BASN_BASN_conventional_hydroelectric_1,Hydro,2030,short-base-200-retire,MWh,7836185
USENSYS,BASN,BASN_BASN_conventional_hydroelectric_1,Hydro,2035,short-base-200-retire,MWh,7894999
USENSYS,BASN,BASN_BASN_conventional_hydroelectric_1,Hydro,2040,short-base-200-retire,MWh,7724812
USENSYS,BASN,BASN_BASN_conventional_hydroelectric_1,Hydro,2045,short-base-200-retire,MWh,7809627
USENSYS,BASN,BASN_BASN_conventional_hydroelectric_1,Hydro,2050,short-base-200-retire,MWh,8058823
USENSYS,BASN,BASN_BASN_conventional_steam_coal_2,Coal,2027,short-base-200-retire,MWh,14599356
USENSYS,BASN,BASN_BASN_distributed_generation_1,Distributed Solar,2027,short-base-200-retire,MWh,2665839
USENSYS,BASN,BASN_BASN_distributed_generation_1,Distributed Solar,2030,short-base-200-retire,MWh,3645958
USENSYS,BASN,BASN_BASN_distributed_generation_1,Distributed Solar,2035,short-base-200-retire,MWh,4452403
USENSYS,BASN,BASN_BASN_distributed_generation_1,Distributed Solar,2040,short-base-200-retire,MWh,4291558
USENSYS,BASN,BASN_BASN_distributed_generation_1,Distributed Solar,2045,short-base-200-retire,MWh,4298495
USENSYS,BASN,BASN_BASN_distributed_generation_1,Distributed Solar,2050,short-base-200-retire,MWh,4551007
USENSYS,BASN,BASN_BASN_geothermal_1,Geothermal,2027,short-base-200-retire,MWh,4350528
USENSYS,BASN,BASN_BASN_geothermal_1,Geothermal,2030,short-base-200-retire,MWh,4350528
USENSYS,BASN,BASN_BASN_geothermal_1,Geothermal,2035,short-base-200-retire,MWh,4350528
USENSYS,BASN,BASN_BASN_geothermal_1,Geothermal,2040,short-base-200-retire,MWh,4350528
USENSYS,BASN,BASN_BASN_geothermal_1,Geothermal,2045,short-base-200-retire,MWh,4350528
USENSYS,BASN,BASN_BASN_geothermal_1,Geothermal,2050,short-base-200-retire,MWh,4350528
USENSYS,BASN,BASN_BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,short-base-200-retire,MWh,16612961
USENSYS,BASN,BASN_BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,short-base-200-retire,MWh,28749618
