model,zone,planning_year,case,unit,value
SWITCH,BASN,2027,base_short_tx_100,kg,12503545821.599586
SWITCH,CANO,2027,base_short_tx_100,kg,16273475947.129433
SWITCH,CASO,2027,base_short_tx_100,kg,17091640170.074158
SWITCH,FRCC,2027,base_short_tx_100,kg,76320371636.17482
SWITCH,ISNE,2027,base_short_tx_100,kg,32919052612.661728
SWITCH,MISC,2027,base_short_tx_100,kg,48824538183.60877
SWITCH,MISE,2027,base_short_tx_100,kg,33618298838.81071
SWITCH,MISS,2027,base_short_tx_100,kg,53481093300.839066
SWITCH,MISW,2027,base_short_tx_100,kg,51772833617.19115
SWITCH,NWPP,2027,base_short_tx_100,kg,6477649217.290072
SWITCH,NYCW,2027,base_short_tx_100,kg,18109110502.680595
SWITCH,NYUP,2027,base_short_tx_100,kg,12956329805.722551
SWITCH,PJMC,2027,base_short_tx_100,kg,14330343602.182215
SWITCH,PJMD,2027,base_short_tx_100,kg,17817162321.319935
SWITCH,PJME,2027,base_short_tx_100,kg,73121893703.97661
SWITCH,PJMW,2027,base_short_tx_100,kg,96961399530.6377
SWITCH,RMRG,2027,base_short_tx_100,kg,13109793751.06731
SWITCH,SPPC,2027,base_short_tx_100,kg,17799524236.53534
SWITCH,SPPN,2027,base_short_tx_100,kg,8660991267.209818
SWITCH,SPPS,2027,base_short_tx_100,kg,18896557365.006615
SWITCH,SRCA,2027,base_short_tx_100,kg,40187678185.69477
SWITCH,SRCE,2027,base_short_tx_100,kg,44591214017.970406
SWITCH,SRSE,2027,base_short_tx_100,kg,56432322433.57949
SWITCH,SRSG,2027,base_short_tx_100,kg,20358476963.63007
SWITCH,TRE,2027,base_short_tx_100,kg,63219104501.91114
SWITCH,TREW,2027,base_short_tx_100,kg,7165598467.883536
SWITCH,BASN,2030,base_short_tx_100,kg,2437496429.985221
SWITCH,CANO,2030,base_short_tx_100,kg,4287564649.87328
SWITCH,CASO,2030,base_short_tx_100,kg,6105267420.434265
SWITCH,FRCC,2030,base_short_tx_100,kg,10399214094.369705
SWITCH,ISNE,2030,base_short_tx_100,kg,12347051280.470085
SWITCH,MISC,2030,base_short_tx_100,kg,5385200791.043379
SWITCH,MISE,2030,base_short_tx_100,kg,5700663416.496848
SWITCH,MISS,2030,base_short_tx_100,kg,8492231408.695948
SWITCH,MISW,2030,base_short_tx_100,kg,7859929155.465082
SWITCH,NWPP,2030,base_short_tx_100,kg,1364071131.6893215
SWITCH,NYCW,2030,base_short_tx_100,kg,9439597764.252657
SWITCH,NYUP,2030,base_short_tx_100,kg,4494002851.184598
SWITCH,PJMC,2030,base_short_tx_100,kg,5237695232.172393
SWITCH,PJMD,2030,base_short_tx_100,kg,5120239829.591583
SWITCH,PJME,2030,base_short_tx_100,kg,32822243953.63158
SWITCH,PJMW,2030,base_short_tx_100,kg,12754888877.35817
SWITCH,RMRG,2030,base_short_tx_100,kg,1080617817.4358258
SWITCH,SPPC,2030,base_short_tx_100,kg,947949161.5070627
SWITCH,SPPN,2030,base_short_tx_100,kg,421242850.55358726
SWITCH,SPPS,2030,base_short_tx_100,kg,5595999012.784944
SWITCH,SRCA,2030,base_short_tx_100,kg,6794292395.252364
SWITCH,SRCE,2030,base_short_tx_100,kg,7082071117.626101
