Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,11843,11363,17521,19290,14463,18963,9389,15883,21742,26148,8007,7202,11677,10808,27521,30076,10425,8201,5028,12355,20776,20450,21951,13106,37441,1741
,,,,,,,168.0,2,11464,10823,16689,18079,13816,18052,9035,15026,20950,24800,7672,6915,11093,10637,26465,29200,10061,7120,4337,10643,20656,19975,21416,12622,35874,1668
,,,,,,,168.0,3,11071,10279,15850,17360,13319,17673,8729,14684,20272,23636,7425,6666,10816,10545,25768,28519,9733,7011,4228,10419,20914,19639,21104,12246,35349,1648
,,,,,,,168.0,4,10730,9746,15026,17122,12898,17419,8537,14423,19949,22756,7161,6398,10482,10589,25579,28255,9542,6993,4181,10298,21418,19419,20994,12223,34899,1634
,,,,,,,168.0,5,10542,9350,14414,17334,12714,17461,8442,14220,19789,22183,6974,6216,10251,10728,25744,28305,9769,7042,4184,10231,22205,19391,21136,12070,34734,1635
,,,,,,,168.0,6,10502,9164,14128,18051,12813,17578,8475,14245,19859,21910,6908,6149,10239,11103,26265,28610,9698,7153,4226,10300,23237,19581,21462,12086,34970,1654
,,,,,,,168.0,7,10476,9065,13979,19008,13135,18069,8658,14557,20300,21960,7033,6205,10361,11526,27392,29362,9659,7331,4345,10540,24326,20049,21985,12252,35657,1690
,,,,,,,168.0,8,10573,9109,14050,21274,13044,18587,8866,14976,20964,22244,7071,6233,10657,11813,27719,30050,9682,7606,4522,10852,24828,20467,22615,12508,37079,1773
,,,,,,,168.0,9,10822,9259,14283,23404,12845,19055,9001,15276,21605,22904,7130,6250,10917,11928,28373,30739,9806,7674,4688,11060,24036,20963,23111,13043,37288,1772
,,,,,,,168.0,10,11018,9672,14934,24803,13231,19480,9283,15822,22229,24542,7257,6367,11131,11717,28706,31305,9763,7723,4786,11274,22627,21117,23112,12961,38320,1822
,,,,,,,168.0,11,10971,9253,14273,25697,13764,19839,9660,16401,23116,24902,7550,6617,11484,11346,29053,31626,9906,7849,4908,11498,21605,21184,22964,13132,39299,1863
,,,,,,,168.0,12,11021,9461,14594,26423,14005,19964,9951,16636,23830,26097,7723,6807,11588,11226,29073,31977,10043,7948,4979,11529,21102,21234,23083,13126,39797,1886
,,,,,,,168.0,13,11139,9705,14967,26815,14169,20115,10243,16752,24392,26623,7912,6981,11803,11181,29284,32440,10154,7942,5012,11533,20616,21239,23082,13076,39343,1847
,,,,,,,168.0,14,11124,10019,15453,26939,14186,20163,10351,16830,24860,27041,8008,7077,12122,11019,29136,32540,10179,7954,5071,11546,20078,21068,22776,12930,39125,1832
,,,,,,,168.0,15,11058,10018,15448,26489,14101,19981,10390,16597,24773,25838,8054,7148,12209,11033,29021,32369,10391,7870,5077,11329,19811,20869,22394,12781,38454,1799
,,,,,,,168.0,16,10989,10096,15570,26078,13999,19871,10507,16403,24821,25361,8070,7153,12235,11086,29386,32620,10333,7794,5075,11257,20196,21024,22402,12599,37612,1749
,,,,,,,168.0,17,10812,10082,15548,26870,14133,20330,10722,16541,25214,24924,8127,7176,12555,11660,31336,33740,10446,7873,5112,11309,21914,22123,23320,12525,37333,1733
,,,,,,,168.0,18,10753,10030,15466,28722,15367,21709,11651,17004,26956,23970,8575,7510,13437,12492,33848,35805,10534,8279,5338,11593,22868,23960,25321,12427,37664,1751
