model,zone,planning_year,case,unit,value
GenX,BASN,2027,base_short_tx_50,tons,2.20618e+07
GenX,CANO,2027,base_short_tx_50,tons,2.21417e+07
GenX,CASO,2027,base_short_tx_50,tons,2.03178e+07
GenX,FRCC,2027,base_short_tx_50,tons,7.58099e+07
GenX,ISNE,2027,base_short_tx_50,tons,3.51527e+07
GenX,MISC,2027,base_short_tx_50,tons,3.77683e+07
GenX,MISE,2027,base_short_tx_50,tons,3.16675e+07
GenX,MISS,2027,base_short_tx_50,tons,5.3838e+07
GenX,MISW,2027,base_short_tx_50,tons,4.59723e+07
GenX,NWPP,2027,base_short_tx_50,tons,1.71637e+07
GenX,NYCW,2027,base_short_tx_50,tons,1.14502e+07
GenX,NYUP,2027,base_short_tx_50,tons,1.44154e+07
GenX,PJMC,2027,base_short_tx_50,tons,1.29778e+07
GenX,PJMD,2027,base_short_tx_50,tons,1.78852e+07
GenX,PJME,2027,base_short_tx_50,tons,7.55735e+07
GenX,PJMW,2027,base_short_tx_50,tons,9.15872e+07
GenX,RMRG,2027,base_short_tx_50,tons,1.07112e+07
GenX,SPPC,2027,base_short_tx_50,tons,1.78498e+07
GenX,SPPN,2027,base_short_tx_50,tons,8.73301e+06
GenX,SPPS,2027,base_short_tx_50,tons,1.86805e+07
GenX,SRCA,2027,base_short_tx_50,tons,4.20144e+07
GenX,SRCE,2027,base_short_tx_50,tons,3.59312e+07
GenX,SRSE,2027,base_short_tx_50,tons,5.52724e+07
GenX,SRSG,2027,base_short_tx_50,tons,2.4071e+07
GenX,TRE,2027,base_short_tx_50,tons,6.63877e+07
GenX,TREW,2027,base_short_tx_50,tons,7.52595e+06
GenX,BASN,2030,base_short_tx_50,tons,3.4566e+06
GenX,CANO,2030,base_short_tx_50,tons,2.65331e+06
GenX,CASO,2030,base_short_tx_50,tons,7.04237e+06
GenX,FRCC,2030,base_short_tx_50,tons,1.12731e+07
GenX,ISNE,2030,base_short_tx_50,tons,1.68768e+07
GenX,MISC,2030,base_short_tx_50,tons,3.43962e+06
GenX,MISE,2030,base_short_tx_50,tons,3.34711e+06
GenX,MISS,2030,base_short_tx_50,tons,1.28378e+07
GenX,MISW,2030,base_short_tx_50,tons,6.64598e+06
GenX,NWPP,2030,base_short_tx_50,tons,1.28615e+06
GenX,NYCW,2030,base_short_tx_50,tons,4.17013e+06
GenX,NYUP,2030,base_short_tx_50,tons,3.88224e+06
GenX,PJMC,2030,base_short_tx_50,tons,5.38776e+06
GenX,PJMD,2030,base_short_tx_50,tons,5.27074e+06
GenX,PJME,2030,base_short_tx_50,tons,3.59399e+07
GenX,PJMW,2030,base_short_tx_50,tons,1.33944e+07
GenX,RMRG,2030,base_short_tx_50,tons,227368
GenX,SPPC,2030,base_short_tx_50,tons,583899
GenX,SPPN,2030,base_short_tx_50,tons,154906
GenX,SPPS,2030,base_short_tx_50,tons,4.25972e+06
GenX,SRCA,2030,base_short_tx_50,tons,6.10385e+06
GenX,SRCE,2030,base_short_tx_50,tons,5.98745e+06
GenX,SRSE,2030,base_short_tx_50,tons,9.398e+06
GenX,SRSG,2030,base_short_tx_50,tons,5.06116e+06
GenX,TRE,2030,base_short_tx_50,tons,1.45928e+07
GenX,TREW,2030,base_short_tx_50,tons,2.73732e+06
GenX,BASN,2035,base_short_tx_50,tons,3.52495e+06
GenX,CANO,2035,base_short_tx_50,tons,1.6457e+06
GenX,CASO,2035,base_short_tx_50,tons,4.57803e+06
GenX,FRCC,2035,base_short_tx_50,tons,8.53933e+06
GenX,ISNE,2035,base_short_tx_50,tons,1.59103e+07
GenX,MISC,2035,base_short_tx_50,tons,2.9512e+06
GenX,MISE,2035,base_short_tx_50,tons,2.55082e+06
GenX,MISS,2035,base_short_tx_50,tons,7.46448e+06
GenX,MISW,2035,base_short_tx_50,tons,5.0442e+06
GenX,NWPP,2035,base_short_tx_50,tons,1.97486e+06
GenX,NYCW,2035,base_short_tx_50,tons,1.48389e+06
GenX,NYUP,2035,base_short_tx_50,tons,2.10224e+06
GenX,PJMC,2035,base_short_tx_50,tons,3.10874e+06
GenX,PJMD,2035,base_short_tx_50,tons,3.72032e+06
GenX,PJME,2035,base_short_tx_50,tons,2.07698e+07
GenX,PJMW,2035,base_short_tx_50,tons,1.13518e+07
GenX,RMRG,2035,base_short_tx_50,tons,316878
GenX,SPPC,2035,base_short_tx_50,tons,462475
GenX,SPPN,2035,base_short_tx_50,tons,171896
GenX,SPPS,2035,base_short_tx_50,tons,2.81449e+06
GenX,SRCA,2035,base_short_tx_50,tons,4.77307e+06
GenX,SRCE,2035,base_short_tx_50,tons,4.42841e+06
GenX,SRSE,2035,base_short_tx_50,tons,6.49841e+06
GenX,SRSG,2035,base_short_tx_50,tons,4.42227e+06
GenX,TRE,2035,base_short_tx_50,tons,8.02146e+06
GenX,TREW,2035,base_short_tx_50,tons,1.38132e+06
GenX,BASN,2040,base_short_tx_50,tons,3.98199e+06
GenX,CANO,2040,base_short_tx_50,tons,4.2944e+06
GenX,CASO,2040,base_short_tx_50,tons,5.12221e+06
GenX,FRCC,2040,base_short_tx_50,tons,9.28434e+06
GenX,ISNE,2040,base_short_tx_50,tons,1.55466e+07
GenX,MISC,2040,base_short_tx_50,tons,3.35937e+06
GenX,MISE,2040,base_short_tx_50,tons,2.78863e+06
GenX,MISS,2040,base_short_tx_50,tons,7.12569e+06
GenX,MISW,2040,base_short_tx_50,tons,5.20269e+06
GenX,NWPP,2040,base_short_tx_50,tons,2.4996e+06
GenX,NYCW,2040,base_short_tx_50,tons,1.37165e+06
GenX,NYUP,2040,base_short_tx_50,tons,1.95073e+06
GenX,PJMC,2040,base_short_tx_50,tons,3.19468e+06
GenX,PJMD,2040,base_short_tx_50,tons,3.3426e+06
GenX,PJME,2040,base_short_tx_50,tons,1.69635e+07
GenX,PJMW,2040,base_short_tx_50,tons,1.1994e+07
GenX,RMRG,2040,base_short_tx_50,tons,656816
GenX,SPPC,2040,base_short_tx_50,tons,562627
GenX,SPPN,2040,base_short_tx_50,tons,262013
GenX,SPPS,2040,base_short_tx_50,tons,2.73479e+06
GenX,SRCA,2040,base_short_tx_50,tons,4.92444e+06
GenX,SRCE,2040,base_short_tx_50,tons,4.276e+06
GenX,SRSE,2040,base_short_tx_50,tons,6.95682e+06
GenX,SRSG,2040,base_short_tx_50,tons,4.90354e+06
GenX,TRE,2040,base_short_tx_50,tons,8.75349e+06
GenX,TREW,2040,base_short_tx_50,tons,1.34466e+06
GenX,BASN,2045,base_short_tx_50,tons,3.93702e+06
GenX,CANO,2045,base_short_tx_50,tons,4.94079e+06
