model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
TEMOA,BASN,Battery,2027,True,MW,935.8,926.5,9.3,0.0
TEMOA,BASN,Battery,2027,True,MWh,2195.6,2173.7,21.9,0.0
TEMOA,BASN,Battery,2030,True,MW,926.5,926.3,0.2,0.0
TEMOA,BASN,Battery,2030,True,MWh,2173.7,2173.3,0.4,0.0
TEMOA,BASN,Battery,2035,False,MW,0.0,39.1,0.0,0.0
TEMOA,BASN,Battery,2035,False,MWh,0.0,146.5,0.0,0.0
TEMOA,BASN,Battery,2035,True,MW,926.3,925.5,0.8,0.0
TEMOA,BASN,Battery,2035,True,MWh,2173.3,2171.4,1.9,0.0
TEMOA,BASN,Battery,2040,False,MW,39.1,2159.9,0.0,2120.8
TEMOA,BASN,Battery,2040,False,MWh,146.5,8785.3,0.0,8638.7
TEMOA,BASN,Battery,2045,False,MW,2159.9,5083.8,0.0,2880.5
TEMOA,BASN,Battery,2045,False,MWh,8785.3,21765.0,0.0,12610.6
TEMOA,BASN,Battery,2050,False,MW,5083.8,12174.7,0.0,7090.8
TEMOA,BASN,Battery,2050,False,MWh,21765.0,53821.0,0.0,32056.1
TEMOA,BASN,Coal,2027,True,MW,3000.2,2970.2,30.0,0.0
TEMOA,BASN,Coal,2030,True,MW,2970.2,2968.2,2.0,0.0
TEMOA,BASN,Coal,2035,True,MW,2968.2,2966.2,2.0,0.0
TEMOA,BASN,Coal,2040,True,MW,2966.2,2064.4,901.8,0.0
TEMOA,BASN,Coal,2045,True,MW,2064.4,1179.2,885.2,0.0
TEMOA,BASN,Coal,2050,True,MW,716.9,715.9,1.0,0.0
TEMOA,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
TEMOA,BASN,Distributed Solar,2030,True,MW,1193.0,1642.0,0.0,449.0
TEMOA,BASN,Distributed Solar,2035,True,MW,1642.0,2007.8,0.0,365.8
TEMOA,BASN,Distributed Solar,2040,True,MW,2007.8,2011.0,0.0,3.2
TEMOA,BASN,Distributed Solar,2045,True,MW,2011.0,2029.0,0.0,18.0
TEMOA,BASN,Distributed Solar,2050,True,MW,2029.0,2057.0,0.0,28.0
TEMOA,BASN,Geothermal,2027,True,MW,462.4,554.8,0.0,92.4
TEMOA,BASN,Geothermal,2030,True,MW,554.8,519.4,35.4,0.0
TEMOA,BASN,Geothermal,2035,True,MW,519.4,496.7,22.7,0.0
TEMOA,BASN,Geothermal,2040,True,MW,496.7,344.8,151.9,0.0
TEMOA,BASN,Geothermal,2045,True,MW,344.8,182.0,162.8,0.0
TEMOA,BASN,Hydro,2027,True,MW,2662.7,2651.0,24.8,13.1
TEMOA,BASN,Hydro,2030,True,MW,2651.0,2650.0,1.0,0.0
TEMOA,BASN,Hydro,2035,True,MW,2650.0,2642.0,8.0,0.0
TEMOA,BASN,Hydro,2040,True,MW,2642.0,1869.7,772.3,0.0
TEMOA,BASN,Hydro,2045,True,MW,1869.7,1742.2,127.5,0.0
TEMOA,BASN,Hydro,2050,True,MW,1742.2,1570.8,171.4,0.0
TEMOA,BASN,Natural Gas CC,2027,True,MW,8312.3,8229.3,83.0,0.0
TEMOA,BASN,Natural Gas CC,2030,True,MW,8229.3,8135.0,94.3,0.0
