model,line_name,planning_year,case,unit,value
SWITCH,PJMC_to_MISC,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,PJMC_to_PJMW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,PJMC_to_MISW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,PJME_to_NYUP,2027,current_policies_short_low_ccs,MW,1481.6511624668137
SWITCH,PJME_to_PJMW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,PJME_to_NYCW,2027,current_policies_short_low_ccs,MW,2.2737367544323206e-13
SWITCH,PJME_to_PJMD,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISE_to_MISC,2027,current_policies_short_low_ccs,MW,1.8588819633445818e-11
SWITCH,MISE_to_PJMW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISE_to_MISW,2027,current_policies_short_low_ccs,MW,1.2449732671245092e-11
SWITCH,ISNE_to_NYUP,2027,current_policies_short_low_ccs,MW,1044.4112963405591
SWITCH,ISNE_to_NYCW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SPPC,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_PJMW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SRCE,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SPPS,2027,current_policies_short_low_ccs,MW,2.2737367544323206e-13
SWITCH,MISC_to_MISS,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SPPN,2027,current_policies_short_low_ccs,MW,2.729937803807382e-11
SWITCH,MISC_to_MISW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,CANO_to_BASN,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,CANO_to_CASO,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,CANO_to_NWPP,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,TREW_to_TRE,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,TREW_to_SPPS,2027,current_policies_short_low_ccs,MW,422.5378702021908
SWITCH,SPPC_to_SPPS,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SPPC_to_MISS,2027,current_policies_short_low_ccs,MW,6.004858729260078e-11
SWITCH,SPPC_to_SPPN,2027,current_policies_short_low_ccs,MW,208.0477056460545
SWITCH,SPPC_to_MISW,2027,current_policies_short_low_ccs,MW,1.899008866236493e-11
SWITCH,FRCC_to_SRSE,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,TRE_to_SPPS,2027,current_policies_short_low_ccs,MW,1.1368683772161603e-13
SWITCH,SRCA_to_PJMW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCA_to_SRCE,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCA_to_PJMD,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCA_to_SRSE,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,NYUP_to_NYCW,2027,current_policies_short_low_ccs,MW,3809.469210965396
SWITCH,PJMW_to_SRCE,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,PJMW_to_PJMD,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_RMRG,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_CASO,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_NWPP,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_SRSG,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCE_to_MISS,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCE_to_SRSE,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SPPS_to_MISS,2027,current_policies_short_low_ccs,MW,4.547473508864641e-13
SWITCH,SPPS_to_SRSG,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SPPS_to_SPPN,2027,current_policies_short_low_ccs,MW,1.4606529142452206e-10
SWITCH,RMRG_to_NWPP,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,RMRG_to_SRSG,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,MISS_to_SRSE,2027,current_policies_short_low_ccs,MW,1.1368683772161603e-13
SWITCH,CASO_to_NWPP,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,CASO_to_SRSG,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,SPPN_to_MISW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,NWPP_to_SPPN,2027,current_policies_short_low_ccs,MW,1.082621150941098e-11
SWITCH,NWPP_to_MISW,2027,current_policies_short_low_ccs,MW,0.0
SWITCH,RMRG_to_SPPN,2027,current_policies_short_low_ccs,MW,5.684341886080802e-14
SWITCH,RMRG_to_SPPC,2027,current_policies_short_low_ccs,MW,2.842170943040401e-14
SWITCH,SRSG_to_TRE,2027,current_policies_short_low_ccs,MW,1.815110715277709e-11
SWITCH,PJMC_to_MISC,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,PJMC_to_PJMW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,PJMC_to_MISW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,PJME_to_NYUP,2030,current_policies_short_low_ccs,MW,2118.4100128011887
SWITCH,PJME_to_PJMW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,PJME_to_NYCW,2030,current_policies_short_low_ccs,MW,5.229594535194337e-12
SWITCH,PJME_to_PJMD,2030,current_policies_short_low_ccs,MW,4.547473508864641e-13
SWITCH,MISE_to_MISC,2030,current_policies_short_low_ccs,MW,4.1365112246919047e-10
SWITCH,MISE_to_PJMW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,MISE_to_MISW,2030,current_policies_short_low_ccs,MW,2.8916959661781334e-10
SWITCH,ISNE_to_NYUP,2030,current_policies_short_low_ccs,MW,225.4260163609988
SWITCH,ISNE_to_NYCW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SPPC,2030,current_policies_short_low_ccs,MW,2.2737367544323206e-13
SWITCH,MISC_to_PJMW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SRCE,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SPPS,2030,current_policies_short_low_ccs,MW,2.2737367544323206e-13
SWITCH,MISC_to_MISS,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,MISC_to_SPPN,2030,current_policies_short_low_ccs,MW,5.718641984302024e-10
SWITCH,MISC_to_MISW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,CANO_to_BASN,2030,current_policies_short_low_ccs,MW,5.684341886080802e-14
SWITCH,CANO_to_CASO,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,CANO_to_NWPP,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,TREW_to_TRE,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,TREW_to_SPPS,2030,current_policies_short_low_ccs,MW,916.3463414565334
SWITCH,SPPC_to_SPPS,2030,current_policies_short_low_ccs,MW,4.547473508864641e-13
SWITCH,SPPC_to_MISS,2030,current_policies_short_low_ccs,MW,1.5646500536339732e-09
SWITCH,SPPC_to_SPPN,2030,current_policies_short_low_ccs,MW,2.5011104298755527e-12
SWITCH,SPPC_to_MISW,2030,current_policies_short_low_ccs,MW,3.3668549205167486e-10
SWITCH,FRCC_to_SRSE,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,TRE_to_SPPS,2030,current_policies_short_low_ccs,MW,2.2737367544323206e-12
SWITCH,SRCA_to_PJMW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCA_to_SRCE,2030,current_policies_short_low_ccs,MW,8.526512829121202e-14
SWITCH,SRCA_to_PJMD,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCA_to_SRSE,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,NYUP_to_NYCW,2030,current_policies_short_low_ccs,MW,1415.7956971084595
SWITCH,PJMW_to_SRCE,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,PJMW_to_PJMD,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_RMRG,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_CASO,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_NWPP,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,BASN_to_SRSG,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCE_to_MISS,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,SRCE_to_SRSE,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,SPPS_to_MISS,2030,current_policies_short_low_ccs,MW,782.5246929249793
SWITCH,SPPS_to_SRSG,2030,current_policies_short_low_ccs,MW,2.2737367544323206e-13
SWITCH,SPPS_to_SPPN,2030,current_policies_short_low_ccs,MW,5.061694306853741e-09
SWITCH,RMRG_to_NWPP,2030,current_policies_short_low_ccs,MW,5.684341886080802e-14
SWITCH,RMRG_to_SRSG,2030,current_policies_short_low_ccs,MW,1.1368683772161603e-13
SWITCH,MISS_to_SRSE,2030,current_policies_short_low_ccs,MW,1.1368683772161603e-13
SWITCH,CASO_to_NWPP,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,CASO_to_SRSG,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,SPPN_to_MISW,2030,current_policies_short_low_ccs,MW,0.0
SWITCH,NWPP_to_SPPN,2030,current_policies_short_low_ccs,MW,2.379106950338904e-10
SWITCH,NWPP_to_MISW,2030,current_policies_short_low_ccs,MW,2.842170943040401e-14
SWITCH,RMRG_to_SPPN,2030,current_policies_short_low_ccs,MW,767.7045230005235
